,hemL
Cr_1,0.0030573399457149123
Cr_2,0.008840852968048119
Cr_3,0.01306226723659188
Cr_4,0.014907919203587538
Cr_5,0.018452538760080368
Cr_6,0.015655537213105638
Fe_1,-0.005481038051915294
Fe_2,-0.0070738893284443514
Fe_3,-0.0019734426515507033
Fe_4,-0.0034096063828135898
Fe_5,0.0026365268431323523
Fe_6,0.01215123027936401
Cd_1,-0.0019806583239767705
Cd_2,0.0010164998028614767
Cd_3,0.009489882774670536
Cd_4,0.012169192354455741
Cd_5,0.009799138629643598
Cd_6,0.010628013024982544
Zn_1,0.0001077698801800507
Zn_2,-0.003843562982698411
Zn_3,0.0031095664205429948
Zn_4,0.013558855623368985
Zn_5,0.015538392371551685
Zn_6,0.018215286945486384
Cu_1,0.0001804154774671069
Cu_2,0.007835991815769338
Cu_3,0.022954570123140124
Cu_4,0.029090014737652086
Cu_5,0.03945708806959193
Cu_6,0.04981944302139007
Pb_1,0.011218745415884692
Pb_2,0.017372598467589796
Pb_3,0.0293520233573842
Pb_4,0.03499044263452111
Pb_5,0.042149464645344345
Pb_6,0.048329533299802704
