,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X
0,U01-Set001__USA300 LAC CA-MHB PreCulture,2.2869579595499996,0.3674862939568476,2.0,0.0,2.0271059091,5.0,2.5468100099999997
1,U01-Set001__USA300 LAC CA-MHB Control,2.9389772493499997,0.6339037859286868,2.0,1.0,3.387214915,6.0,2.4907395837
2,U01-Set001__USA300 LAC CA-MHB Nafcillin 0.15,2.64880152955,0.36288469730048395,2.0,2.0,2.3922032993,7.0,2.9053997598
3,U01-Set001__USA300 LAC CA-MHB Nafcillin 0.5 ,1.77660978755,0.5874792426017014,2.0,3.0,1.3611992313,8.0,2.1920203438
4,U01-Set001__USA300 LAC CA-MHB Nafcillin 1,2.41674190215,0.43400473028279085,2.0,4.0,2.1098542143,9.0,2.72362959
5,U01-Set000__USA300 TCH1516 CA-MHB Control,1.7698683986,0.039122087407477336,2.0,10.0,1.7975318919,29.0,1.7422049053
6,U01-Set000__USA300 TCH1516 CA-MHB Nafcillin 0.0625,1.5886600305,0.13590533983953879,2.0,11.0,1.6847596179000002,30.0,1.4925604431
7,U01-Set000__USA300 TCH1516 CA-MHB Nafcillin 0.5,1.7418008474,0.24850799083715966,2.0,12.0,1.5660791619,31.0,1.9175225329
8,U01-Set001__USA300 LAC RPMI+10%LB PreCulture,0.4217507419,0.5964456191358948,2.0,13.0,0.0,14.0,0.8435014838
9,U01-Set001__USA300 LAC RPMI+10%LB Control,0.0,0.0,2.0,15.0,0.0,18.0,0.0
10,U01-Set001__USA300 LAC RPMI+10%LB Nafcillin 0.1,0.6463473601,0.9140732026574667,2.0,16.0,1.2926947202,19.0,0.0
11,U01-Set001__USA300 LAC RPMI+10%LB Nafcillin 0.15,0.0,0.0,2.0,17.0,0.0,20.0,0.0
12,U01-Set000__USA300 TCH1516 RPMI+10%LB Control,0.0,0.0,2.0,21.0,0.0,24.0,0.0
13,U01-Set000__USA300 TCH1516 RPMI+10%LB Nafcillin 0.031,1.2103642949,0.2376657546940765,2.0,22.0,1.3784193617,25.0,1.0423092281
14,U01-Set000__USA300 TCH1516 RPMI+10%LB Nafcillin 0.0625,0.0,0.0,2.0,23.0,0.0,26.0,0.0
15,U01-Set000__USA300 TCH1516 CA-MHB PreCulture,2.12213319795,0.4197564880539529,2.0,27.0,1.8253205388,28.0,2.4189458571
16,U01-Set000__USA300 TCH1516 CA-MHB Nafcillin 1,1.30682200055,0.11300078174320319,2.0,32.0,1.3867256196,33.0,1.2269183815
17,U01-Set004__USA300 LAC CA-MHB Vancomycin 0,1.369865264,1.9372820349726003,2.0,34.0,2.739730528,38.0,0.0
18,U01-Set004__USA300 LAC CA-MHB Vancomycin 0.65,2.14721151505,0.45942433362733603,2.0,35.0,2.4720735768,39.0,1.8223494533
19,U01-Set004__USA300 LAC CA-MHB Vancomycin 0.7,1.76047016245,0.5680646670874296,2.0,36.0,1.3587877842,40.0,2.1621525407
20,U01-Set004__USA300 LAC CA-MHB Vancomycin 0.8,2.7121891507,0.7770398153699014,2.0,37.0,2.162739028,41.0,3.2616392734
21,U01-Set004__USA300 LAC RPMI+10%LB Vancomycin 0,0.0,0.0,2.0,42.0,0.0,45.0,0.0
22,U01-Set004__USA300 LAC RPMI+10%LB Vancomycin 0.6,0.0,0.0,2.0,43.0,0.0,46.0,0.0
23,U01-Set004__USA300 LAC RPMI+10%LB Vancomycin 0.8,0.0,0.0,2.0,44.0,0.0,47.0,0.0
24,U01-Set003__USA300 TCH1516 CA-MHB Control,2.4931157381,0.9850689136811399,2.0,48.0,3.1896646469,52.0,1.7965668293000001
25,U01-Set003__USA300 TCH1516 CA-MHB Vancomycin 0.45,2.2295196388500003,0.6305734897659935,2.0,49.0,1.7836368482,53.0,2.6754024295
26,U01-Set003__USA300 TCH1516 CA-MHB Vancomycin 0.65,2.1160876479999997,1.0148901754212913,2.0,50.0,2.8337233732,54.0,1.3984519228
27,U01-Set003__USA300 TCH1516 CA-MHB Vancomycin 0.7,2.00520460025,0.6874680101841004,2.0,51.0,2.4913178921,55.0,1.5190913084000002
28,ICA-Set001__USA300 LAC RPMI+10%LB Control,0.7883184766,1.1148506810770173,2.0,56.0,0.0,57.0,1.5766369532
29,ICA-Set001__USA300 LAC RPMI+10%LB 1.5mMIle,0.46536907375000003,0.6581312556062552,2.0,58.0,0.0,59.0,0.9307381475000001
30,ICA-Set001__USA300 LAC RPMI+10%LB 4percentNaCl,1.05754291735,0.05020970735201238,2.0,60.0,1.0220392928,61.0,1.0930465419
31,ICA-Set001__USA300 LAC RPMI+10%LB 5.5pH,1.05211317175,0.05222672647549854,2.0,62.0,1.0890430442,63.0,1.0151832993
32,BK-Set001__USA300 TCH1516 THB 0ug-mL Antibiotic,1.33608573565,0.09522970524622254,2.0,64.0,1.403423306,65.0,1.2687481653
33,BK-Set001__USA300 TCH1516 THB 0.25ug-mL Linezolid,0.55225609845,0.7810080643312413,2.0,66.0,1.1045121969,67.0,0.0
34,BK-Set001__USA300 TCH1516 THB 2.5 ug-mL Nafcillin,1.83737347145,0.0685195429305577,2.0,68.0,1.8858241049000002,69.0,1.788922838
35,BK-Set001__USA300 TCH1516 THB 0.5ug-mL Vancomycin,1.76164440025,0.6326071247674667,2.0,70.0,2.208965188,71.0,1.3143236125
36,ICA-Set002__USA300 LAC CA-MHB 25mMNaCHO3,0.9861380899000001,0.3824774990082435,2.0,72.0,1.2565905231,73.0,0.7156856567000001
37,ICA-Set002__USA300 LAC CA-MHB 2gLglucose,2.0097216546,0.4173159892553072,2.0,74.0,2.3048086205000002,75.0,1.7146346887
38,ICA-Set002__USA300 LAC CA-MHB Control,2.6013752122,0.7163206847628465,2.0,76.0,3.1078904259,77.0,2.0948599985
39,ICA-Set002__USA300 LAC RPMI+10%LB 25ugmLadenine,0.55396296975,0.7834219448729266,2.0,78.0,1.1079259395,79.0,0.0
40,ICA-Set002__USA300 LAC RPMI+10%LB 25ugmLguanine,1.1637688809,0.8250987446634029,2.0,80.0,1.7472017984,81.0,0.5803359634
