,btuC
Cr_1,-0.0032169960345508107
Cr_2,-0.0004198761865270056
Cr_3,0.00372128380306639
Cr_4,0.0011448408363482795
Cr_5,-0.0008415625418217268
Cr_6,-0.00771020291572232
Fe_1,-0.017242331777713858
Fe_2,-0.02840284352381896
Fe_3,-0.022786071129744054
Fe_4,-0.02419768578918003
Fe_5,-0.02129202487675757
Fe_6,-0.017924693008148862
Cd_1,0.003639449664011429
Cd_2,0.004429038547989752
Cd_3,0.007976895041817094
Cd_4,0.010714579230684005
Cd_5,0.008969521455839655
Cd_6,0.01324945027741652
Zn_1,-0.010936223307841695
Zn_2,-0.01170067878006818
Zn_3,-0.002543000891423863
Zn_4,0.0051608405708785145
Zn_5,0.008934235871639487
Zn_6,0.004085861096867423
Cu_1,0.004222178929441213
Cu_2,0.005933198728796311
Cu_3,0.00647707495089943
Cu_4,0.0019964759644179307
Cu_5,0.001485692893211559
Cu_6,0.000447754248647743
Pb_1,-0.0036205750128329205
Pb_2,-0.003646702376609128
Pb_3,0.001315636707264806
Pb_4,0.009856157934344622
Pb_5,0.01807496240823815
Pb_6,0.02395695358936933
