,gatY
Cr_1,0.002590657769914731
Cr_2,0.0066793191288694025
Cr_3,0.008147348714671621
Cr_4,0.010708493383295315
Cr_5,0.0139264440918874
Cr_6,0.01578367954151823
Fe_1,-0.003573762240558128
Fe_2,-0.012672442583623472
Fe_3,-0.02487854897556089
Fe_4,-0.04404775925863034
Fe_5,-0.05662630513944378
Fe_6,-0.06474608599977315
Cd_1,0.00022400825250548447
Cd_2,0.0034140338759028987
Cd_3,0.0071750837115215176
Cd_4,0.009616811944909268
Cd_5,0.009621863469863478
Cd_6,0.012110457778866148
Zn_1,0.0005145325338263308
Zn_2,-0.0043357064684945495
Zn_3,-0.010239245600728874
Zn_4,-0.014354122604561419
Zn_5,-0.013944540451121869
Zn_6,-0.011814533946416492
Cu_1,0.004464682464644301
Cu_2,0.007670492123330924
Cu_3,0.01120106698126275
Cu_4,0.013762745591604234
Cu_5,0.01575137443949979
Cu_6,0.01895483593672081
Pb_1,0.008625927662183036
Pb_2,0.015238733968829637
Pb_3,0.02110765580340171
Pb_4,0.028984151541116537
Pb_5,0.03603904968603741
Pb_6,0.04555066675437372
