,A,LldR,ArcA
R2,,0.795769567494222,0.006129092547877857
xmin,,-2.942851428,-1.6314585560000001
xmid,,-2.098879688850114,1.9577526045424751
xmax,,4.891325013,2.531055996
ystart,,-3.187192839214286,0.3873725770851273
yend,,8.38499166361081,3.340282858662789
ecoli_00001,-0.1822202504,-0.157822078,0.036636971000000004
ecoli_00002,0.1822202504,0.157822078,-0.036636971000000004
ecoli_00003,1.4576200963,0.540133803,1.058304126
ecoli_00004,1.8081876091,0.754174395,1.126720666
ecoli_00005,-0.5630820096,-0.11469320200000001,-0.05264584
ecoli_00006,-0.5264519984,-0.251774648,-0.129847039
ecoli_00007,0.8208799823,0.379710798,1.122678696
ecoli_00008,0.7180185114000001,0.432073596,1.043829066
ecoli_00009,0.7853378365,0.22229737300000002,0.038872322
ecoli_00010,0.4906707518,0.348076759,0.005759822
ecoli_00011,-0.1330087213,-0.490235976,0.9077065660000001
ecoli_00012,0.1996904479,0.017457589000000003,0.8854765760000001
ecoli_00014,1.4865336456,0.21715266700000002,0.6386470710000001
ecoli_00015,0.5069303956,-0.037453601,0.774188486
ecoli_00016,0.3882662074,0.046550628000000004,0.8036499260000001
ecoli_00017,0.5251534795,-0.074558515,0.499338233
ecoli_00018,0.4433805965,0.036306345000000004,0.48226117700000004
ecoli_00019,1.0804498285,0.305001587,2.161495396
ecoli_00020,0.9067775771000001,0.587940435,2.173902676
ecoli_00021,0.3489771379,0.213412072,2.132592106
ecoli_00022,0.5967508308,0.223248678,2.155119376
ecoli_00023,1.921112645,0.538885846,2.114133386
ecoli_00024,2.0173122931,0.18739924500000002,2.045519786
ecoli_00025,1.0708833267,0.465038437,2.3445910960000003
ecoli_00026,1.5492905546,0.44683883300000005,2.405278176
ecoli_00027,0.2359576712,0.462051484,0.614107743
ecoli_00028,-0.4063695865,0.23892839999999999,0.560547789
ecoli_00029,-1.1030622459,0.175287153,0.279501977
ecoli_00030,-0.7632300246,0.184965391,0.286099773
ecoli_00031,-1.1722491074,-0.6176010550000001,0.8913351260000001
ecoli_00032,-1.2041117762,-0.31645634300000003,0.8662795560000001
ecoli_00033,1.3830403653,0.822121571,0.9463078960000001
ecoli_00034,1.516786604,0.69822615,1.058494226
ecoli_00035,-0.5016611474,0.020044189,0.9694913660000001
ecoli_00036,0.026768568700000002,0.155366571,0.9866688160000001
ecoli_00037,-0.4649704898,-0.129554404,1.779034016
ecoli_00038,-0.8986809421,-0.283220291,1.7441336060000001
ecoli_00039,0.1285241764,-0.642517393,0.532564653
ecoli_00040,0.5438304364000001,-0.673487905,0.613698527
ecoli_00041,0.2879261656,0.452326382,0.985523586
ecoli_00042,0.670755753,0.19704617100000002,0.614279137
ecoli_00043,0.8889916448,0.419295291,0.12568636
ecoli_00044,0.2205281841,0.38255193600000004,0.035046911
ecoli_00045,0.7407582092,-0.19489056100000002,-0.24226446100000001
ecoli_00046,0.3825054363,-0.10783574,-0.291546346
ecoli_00047,0.7736322026,-0.054084545000000005,0.639510641
ecoli_00048,0.2916556051,0.20997141600000002,0.6575469140000001
ecoli_00049,0.0622016411,0.187139422,1.407530216
ecoli_00050,1.1680347848000001,-0.38214609600000005,-0.273254272
ecoli_00051,0.9293756679,-0.153644578,-0.267923509
ecoli_00052,1.2087299727,0.045094013,-0.30586483000000003
ecoli_00053,0.6612791332,-0.255397043,-0.24486246900000003
ecoli_00054,0.22959711200000002,-0.227696429,-0.121007954
ecoli_00055,-0.4763570662,-0.642709473,-0.04399066
ecoli_00056,3.0577631784,1.911713561,-0.048029848
ecoli_00057,2.3706226908,1.7661192140000002,-0.076148239
ecoli_00058,3.4514800297,1.515566583,-0.046794311000000005
ecoli_00059,3.9308298927000003,1.622858877,-0.08552493700000001
ecoli_00060,0.9222047923000001,0.720418118,0.12043444
ecoli_00061,0.5058233361,0.268903805,0.131540097
ecoli_00062,3.3054710507,1.511459351,-0.350962926
ecoli_00063,3.707976901,1.652751762,-0.34418755100000004
ecoli_00064,-0.44960895100000003,-0.060331821,1.828340046
ecoli_00065,-0.4651119958,-0.296208183,1.957742426
ecoli_00066,-1.0212857366,-0.15123762100000002,1.3682953260000001
ecoli_00067,-0.6202283638,-0.40348705100000004,1.419179516
ecoli_00068,-0.2965226422,-0.186124275,0.393576953
ecoli_00070,-0.7949865069000001,-0.18932775000000002,0.444636982
ecoli_00071,-1.4394275477,-0.518144845,0.371492769
ecoli_00072,-1.312280827,-0.192025829,0.331090588
ecoli_00073,-2.612052714,-1.9228344810000002,0.7573820960000001
ecoli_00074,-3.3038902521,-2.386072989,0.696397778
ecoli_00075,-3.3576639,-1.372541579,0.37565932
ecoli_00077,-2.170524805,-1.06660931,0.476845821
ecoli_00078,-3.050859612,-1.5667515060000001,0.5289642950000001
ecoli_00079,-1.7536360206000001,-0.870717928,0.487748006
ecoli_00080,0.54345986,0.6495088330000001,0.105543914
ecoli_00081,-0.7305020701,-0.06583443900000001,0.32585684400000003
ecoli_00082,3.4465866174,1.579579421,0.075213946
ecoli_00083,3.282400965,1.371591076,0.040042087000000004
ecoli_00084,2.2577250896,0.552956187,-0.27503787900000004
ecoli_00085,1.4932723697,0.576928177,-0.23072129300000002
ecoli_00086,3.5249059358,1.761889729,0.252433879
ecoli_00087,3.6614662528,2.032531152,0.273945205
ecoli_00088,-0.2030535775,-0.079793398,0.519048295
ecoli_00089,-0.0122147325,-0.188709324,0.512524654
ecoli_00090,0.6682479461,0.081531594,0.126573136
ecoli_00091,0.2247913837,-0.124550406,0.126137254
ecoli_00092,2.5484282155,1.241601862,0.396646588
ecoli_00093,-0.12640962490000002,0.426927926,0.45351927500000005
ecoli_00094,0.16002372010000002,0.680256614,1.5404025159999999
ecoli_00095,0.7237525816,0.8506728050000001,1.449866066
