locus,gene_weight,gene_name,gene_product,cog,operon,regulator,ArcA,LldR,link
b3603,0.3709628501,lldP,lactate/glycolate:H(+) symporter LldP,Energy production and conversion,lldPRD,"RpoD,YdcI,ArcA,LldR,spf",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11961
b3604,0.35066955240000003,lldR,DNA-binding transcriptional dual regulator LldR,Transcription,lldPRD,"RpoD,ArcA,LldR",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11962
b3605,0.32157961420000003,lldD,L-lactate dehydrogenase,Energy production and conversion,lldPRD,"RpoD,ArcA,LldR",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11963
