,-0.13481984972140465,-0.1168438697585507,-0.09886788979569675,-0.08089190983284279,-0.06291592986998884,-0.04493994990713489,-0.026963969944280936,-0.00898798998142697,0.00898798998142697,0.026963969944280908,0.044939949907134874,0.06291592986998884,0.08089190983284278,0.09886788979569672,0.11684386975855071,0.13481984972140465,0.1527958296842586,0.17077180964711253,0.18874778960996647,0.20672376957282046
thresh,-0.07190391985141581,0.07190391985141581,3,,,,,,,,,,,,,,,,,
unreg,1,1,0,4,3,22,161,2692,2464,185,17,7,3,1,1,0,0,0,0,0
AtuR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
LaoR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
unreg_genes,['lldD'],['PA4772'],[],['PA4364' 'PA4365' 'lldP' 'desB'],[],[],[],[],[],[],[],[],['esrC' 'PA4435' 'laoR'],['PA0534'],['PA1535'],[],[],[],[],[]
AtuR_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['atuE' 'atuG' 'atuC' 'atuD' 'atuF' 'atuB'],['atuA'],[]
LaoR_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],['PA0366' 'PA0364' 'PA0365'],[],[],[],[],[]
