,nanA
Cr_1,0.007333190448663464
Cr_2,0.017731023699397462
Cr_3,0.029059846880936036
Cr_4,0.037839509943450464
Cr_5,0.04636292078641314
Cr_6,0.05039475565599315
Fe_1,-0.003018559113288629
Fe_2,-0.008995775941795714
Fe_3,-0.018603328283780283
Fe_4,-0.0354907034190083
Fe_5,-0.0508783144779227
Fe_6,-0.0681131524885903
Cd_1,0.015670234824183584
Cd_2,0.03652308289558366
Cd_3,0.0588639659345649
Cd_4,0.07984440412133348
Cd_5,0.09924865281929872
Cd_6,0.1255917525844873
Zn_1,0.003911721195812104
Zn_2,0.00466974205149117
Zn_3,0.015014980420553685
Zn_4,0.023984807858276586
Zn_5,0.0337336475679208
Zn_6,0.0371582024724282
Cu_1,0.010054578859633095
Cu_2,0.025434849093288997
Cu_3,0.05113652631076605
Cu_4,0.06917597772956942
Cu_5,0.08181779174060774
Cu_6,0.09591665724928687
Pb_1,0.005637394608590384
Pb_2,0.01523896218356064
Pb_3,0.021218238112244468
Pb_4,0.03001404299389378
Pb_5,0.03492276400120642
Pb_6,0.050694630802082766
