,-0.18590868586201822,-0.16267010012926594,-0.13943151439651366,-0.11619292866376138,-0.0929543429310091,-0.06971575719825682,-0.046477171465504535,-0.023238585732752254,2.7755575615628914e-17,0.02323858573275231,0.04647717146550459,0.06971575719825687,0.09295434293100915,0.11619292866376144,0.13943151439651372,0.162670100129266,0.18590868586201828,0.20914727159477056,0.23238585732752284,0.2556244430602751
thresh,-0.0580964643318807,0.0580964643318807,1,,,,,,,,,,,,,,,,,
unreg,2,1,0,0,1,4,12,286,3702,208,6,1,7,9,11,6,1,0,0,0
unreg_genes,['kduI' 'kdgT'],['kduD'],[],[],['kdgK'],['yiiM' 'hyi' 'gpr' 'tabA'],[],[],[],[],[],['pphA'],['yebS' 'ptrB' 'rsmF' 'edd' 'yobB' 'yebW' 'yebT'],['rlmA' 'yebE' 'yebZ' 'purT' 'exoX' 'holE' 'yebK' 'lpxM' 'yobH'],['yobA' 'yebO' 'yebV' 'kdgR' 'proQ' 'zwf' 'prc' 'yebG' 'yebY' 'eda' 'pykA'],['htpX' 'yobF' 'mgrB' 'msrC' 'yebF' 'cspC'],['mepM'],[],[],[]
