,yciK
Cr_1,-0.004179717946613764
Cr_2,-0.0049524589907737285
Cr_3,-0.0029214589473397353
Cr_4,0.00038604243995827696
Cr_5,0.0040923051291171545
Cr_6,0.0039124710700638365
Fe_1,-0.0018218522630150747
Fe_2,-0.009440363843582636
Fe_3,-0.019063545748899176
Fe_4,-0.030764532586863614
Fe_5,-0.038792624384512135
Fe_6,-0.04173373384359346
Cd_1,-0.006358836155411721
Cd_2,-0.012822932814920142
Cd_3,-0.017752527758869725
Cd_4,-0.022984078230120816
Cd_5,-0.030584280101424326
Cd_6,-0.034467612950507036
Zn_1,0.0012172265046069275
Zn_2,0.011030493625729393
Zn_3,0.01407171623527888
Zn_4,0.02075398894647509
Zn_5,0.020809797069685373
Zn_6,0.01915282271047948
Cu_1,-3.004707811993599e-05
Cu_2,0.01008284790961092
Cu_3,0.015167039054114137
Cu_4,0.02224681111215913
Cu_5,0.021927166081099483
Cu_6,0.02551655117090211
Pb_1,-0.006822154483565307
Pb_2,-0.02408530742210794
Pb_3,-0.03258218032907995
Pb_4,-0.03783486309978127
Pb_5,-0.036777592278564086
Pb_6,-0.03415192769723613
