,aldH
Cr_1,0.0036704531471393642
Cr_2,0.009420172820485413
Cr_3,0.013519548864625643
Cr_4,0.016676848149075614
Cr_5,0.02550001251211075
Cr_6,0.02401373950671222
Fe_1,-0.027101947914912345
Fe_2,-0.047025520998372296
Fe_3,-0.06937521829213311
Fe_4,-0.1020078337600834
Fe_5,-0.11779483198629437
Fe_6,-0.1305168188446406
Cd_1,0.0028859912744625613
Cd_2,0.008141556746115795
Cd_3,0.0160166284544969
Cd_4,0.02069845691512809
Cd_5,0.022123670709295367
Cd_6,0.029847446903281963
Zn_1,0.02694703656073475
Zn_2,0.030241541007340562
Zn_3,0.2628967856083437
Zn_4,0.5089303501650626
Zn_5,0.6210828349928529
Zn_6,0.7459807216613544
Cu_1,0.00806655264320677
Cu_2,0.008836938160870741
Cu_3,0.010620451638381654
Cu_4,0.02107549394261984
Cu_5,0.016667089617143173
Cu_6,0.01430571564103189
Pb_1,-0.007500307853429459
Pb_2,-0.004805201812621535
Pb_3,0.003720961704580647
Pb_4,0.020616108823469845
Pb_5,0.01763821179505889
Pb_6,0.02222485549519031
