,SP5448_00050
SRX1726505,0.0594930981
SRX1726506,-0.30016793680000003
SRX1726507,0.2406748387
SRX1726508,-2.5543492007
SRX1726509,-2.499352374
SRX1726510,-1.4130676771
SRX1726511,-2.6206333841
SRX1726512,-2.4373325888
SRX1726513,-2.1567561544
SRX1081650,-0.1743873183
SRX1081651,-0.1769631938
SRX1081652,0.0729723002
SRX1081653,-0.0688034392
SRX1081654,-0.08540829870000001
SRX1081655,-0.07171929120000001
SRX1081656,0.0892313341
SRX1081657,0.2138692207
SRX1081658,0.2643138854
SRX1081659,0.0715980556
SRX1081660,-0.2340368116
SRX1081661,-0.041467827000000006
SRX1081662,0.009997151000000001
SRX1081663,0.0595407098
SRX1081664,0.014213422600000001
SRX1081665,-0.1547979647
SRX1081666,0.0181073248
SRX1081668,-0.1409572529
SRX1081669,0.1832258746
SRX1081670,-0.0707026989
SRX1081671,0.2221748175
SRX1081672,-1.1953407674
SRX1081673,-1.6247386441
SRX1081674,-1.3642812396
SRX1081675,-1.3073436322
SRX1081676,-0.8790230787000001
SRX1081677,-1.099108222
SRX1081678,-0.9403860585
SRX1081679,-1.2317417205
SRX1081680,-1.2665306502
SRX1081681,-1.0840231801
SRX1081682,-1.0895365406
SRX1081683,-1.6561008968
SRX1081684,-1.1159512531
SRX1081685,-1.7696084099
SRX1081686,-1.7764332459
SRX1081687,-1.3200501104
SRX1081688,-2.7892482944
SRX1081689,-1.4908621874999999
SRX1081690,-1.4209911911
SRX1081691,-1.4399702492
SRX1081692,-1.6272387491
SRX1962715,-0.1113260759
SRX1962716,0.0172989651
SRX1962717,0.09402711080000001
SRX1962718,-0.4800612292
SRX1962719,-0.6969357235
SRX1962720,-0.5433661194
SRX1962721,-0.4419392857
SRX4892146,0.0748711713
SRX4892147,-0.022514894400000002
SRX4892148,-0.06859850020000001
SRX4892149,0.016242223400000002
SRX4892150,-0.0113097423
SRX4892151,0.0991978163
SRX4892152,0.0529523401
SRX4892153,0.10188007830000001
SRX4892154,0.0800657089
SRX4892155,0.0135376605
SRX4892156,0.09923837960000001
SRX4892157,0.066277851
SRX4892158,-0.36624845980000004
SRX4892159,-0.3253363742
SRX4892160,-0.29089728730000003
SRX4892161,-0.3355556501
SRX7620814,0.0619441053
SRX7620815,-0.1473639718
SRX7620816,-0.1768053258
SRX7620817,-1.4965953558
SRX7620818,-1.3571292021999999
SRX7620819,-1.4387753475
SRX7620856,0.5686686489
SRX7620857,-1.4715709287
SRX7620858,0.1574717168
SRX7620859,-1.1998845191
SRX7620860,0.6951334521
SRX7620861,-1.4929399621
SRX7620862,0.4853774393
SRX7620863,-0.3334604845
SRX7620864,0.0619308728
SRX7620865,-0.4768501176
SRX7620866,-0.2850831197
SRX7620867,-0.356599374
SRX2161502,-0.0240906481
SRX2161503,0.0716998162
SRX2161504,-0.047609168
SRX2161505,0.2748638982
SRX2161506,0.2769276764
SRX2161507,0.2563004346
SRX2161508,0.39305618130000003
SRX2161509,0.5777992432
SRX2161510,0.4732087453
SRX2161511,0.5686051644
SRX2161512,0.383875995
SRX2161513,0.40410892930000003
SRX2161514,-1.1151248162
SRX2161515,-1.1531510665
SRX2161516,-1.1509696876
SRX2161517,-1.0988373737
SRX2161518,-0.8366485611000001
SRX2161519,-0.6740742807
SRX2161520,-0.3693083461
SRX2161521,-0.4482112978
SRX2161522,-0.36378701150000003
SRX2161523,-0.8152152646
SRX2161524,-0.8770360449
SRX2161525,-1.0146264979
