,yfbE
Cr_1,-0.003162088821673923
Cr_2,-0.0019282954467489985
Cr_3,0.027794395274668843
Cr_4,0.07728239662502913
Cr_5,0.1456297870157005
Cr_6,0.21079533256329
Fe_1,0.021113794073327592
Fe_2,0.11101154576823702
Fe_3,0.20553917992363552
Fe_4,0.2621490886985734
Fe_5,0.2962069030589166
Fe_6,0.34272746886587424
Cd_1,0.004404936739325563
Cd_2,0.01403908722811092
Cd_3,0.017860676882953886
Cd_4,0.027073015194721804
Cd_5,0.036289839354018624
Cd_6,0.04855670421174061
Zn_1,-0.02343740320925556
Zn_2,-0.024603639227091217
Zn_3,-0.020505538758972028
Zn_4,-0.015927783681095126
Zn_5,-0.008763637415253978
Zn_6,-0.002580576591223718
Cu_1,0.011613130434608305
Cu_2,0.029782293369770237
Cu_3,0.04881917275421117
Cu_4,0.08157414161986287
Cu_5,0.09351389535995627
Cu_6,0.10240176104612952
Pb_1,0.008604504178891964
Pb_2,0.02307873376725774
Pb_3,0.03184672256981475
Pb_4,0.053794736120744105
Pb_5,0.0748527772644867
Pb_6,0.09074419072854754
