,ybgC
Cr_1,-0.002308809264474761
Cr_2,-0.001402868137005114
Cr_3,0.0007182007961038185
Cr_4,0.00286200548652596
Cr_5,0.005950514827648043
Cr_6,0.007121200852728627
Fe_1,-0.006029745155349365
Fe_2,-0.01375877519934807
Fe_3,-0.01713358714260187
Fe_4,-0.018265980956552453
Fe_5,-0.017399861813922248
Fe_6,-0.02135948530545346
Cd_1,-0.002275575618151931
Cd_2,-0.0025161665589073377
Cd_3,-0.0031272531330349754
Cd_4,-0.004205759165827867
Cd_5,-0.009268821091999805
Cd_6,-0.0069012283349247855
Zn_1,0.0037600858685747493
Zn_2,0.011661189092512408
Zn_3,0.029129569138513663
Zn_4,0.04777383935383464
Zn_5,0.060164009285013524
Zn_6,0.06819553873337866
Cu_1,0.0058606705606927155
Cu_2,0.009517970488274036
Cu_3,0.013647844424324979
Cu_4,0.01592622906854858
Cu_5,0.023108724266629032
Cu_6,0.03029016736887936
Pb_1,-0.0014877743737301248
Pb_2,-0.0038296621255631174
Pb_3,0.0012617478769989064
Pb_4,0.004869588083073259
Pb_5,0.0017797326912804136
Pb_6,0.00870403581417786
