,yjhF
Cr_1,0.000592986465218072
Cr_2,0.0032288058182154103
Cr_3,0.00573744580424705
Cr_4,0.005871890692190384
Cr_5,0.003763827730075858
Cr_6,0.0011835662620295158
Fe_1,-0.003499780098780005
Fe_2,-0.002646381359651196
Fe_3,0.003984511796253919
Fe_4,0.004956212727389992
Fe_5,0.008536186966212096
Fe_6,0.007868036782849865
Cd_1,0.0005257441282796898
Cd_2,0.0005587386406188745
Cd_3,0.0006758157906721639
Cd_4,0.0011782890176766836
Cd_5,-0.0039774133798843115
Cd_6,-0.00375751427036024
Zn_1,0.008541341577684849
Zn_2,0.022468875050469374
Zn_3,0.03960780062207887
Zn_4,0.06366837671941945
Zn_5,0.0829642795292972
Zn_6,0.09790613895094104
Cu_1,0.00810491834201217
Cu_2,0.013382382991294637
Cu_3,0.018294009724703887
Cu_4,0.021301179199431242
Cu_5,0.023617301425370715
Cu_6,0.030675133452881805
Pb_1,0.003703941008144137
Pb_2,0.006645102617785466
Pb_3,0.004298648493685411
Pb_4,0.0019877439331646134
Pb_5,0.004725777965101233
Pb_6,0.013278641565339836
