,rrlH
Cr_1,-0.0006229769792815119
Cr_2,0.0013156113644491678
Cr_3,0.005455443658247639
Cr_4,0.008634056883124522
Cr_5,0.012665690781697587
Cr_6,0.016184187257785882
Fe_1,-0.0012442210304406962
Fe_2,-0.015458308319678878
Fe_3,-0.025330197636798543
Fe_4,-0.032937805767515274
Fe_5,-0.03478983240212731
Fe_6,-0.02826319442104783
Cd_1,0.0005419132745643016
Cd_2,0.0016938505187282394
Cd_3,0.00323888659926427
Cd_4,0.00849030026014625
Cd_5,0.010006241752705414
Cd_6,0.01521078163404606
Zn_1,-0.004636097635452358
Zn_2,-0.008184522609854517
Zn_3,-0.012119423150362869
Zn_4,-0.0068725949176763855
Zn_5,-0.000216289612873301
Zn_6,-0.001996733748454872
Cu_1,-0.0017003865806830927
Cu_2,-0.00178496295598863
Cu_3,0.00283063653403148
Cu_4,0.00535256890723009
Cu_5,0.010734024994286504
Cu_6,0.016075322530009237
Pb_1,0.02228005587924221
Pb_2,0.046785839838738116
Pb_3,0.0744129649852308
Pb_4,0.0991548629121981
Pb_5,0.12438290097046267
Pb_6,0.14637848688920035
