,yodB
Cr_1,0.0018224610524977007
Cr_2,0.0011106050055845775
Cr_3,0.005772780535076422
Cr_4,0.006996266444222285
Cr_5,0.004313429997914565
Cr_6,0.00188411245320985
Fe_1,-0.001960587068537781
Fe_2,-0.02282692314524046
Fe_3,-0.05660448153106056
Fe_4,-0.09116345336836773
Fe_5,-0.12815106657414546
Fe_6,-0.16460506028579508
Cd_1,0.004745445394773729
Cd_2,0.009867845650311085
Cd_3,0.013894728635719774
Cd_4,0.012253016041701635
Cd_5,0.010426994179910056
Cd_6,0.013956906765642372
Zn_1,-0.049264187755238525
Zn_2,-0.11724593939357232
Zn_3,-0.16520294798173654
Zn_4,-0.18180359114234107
Zn_5,-0.23067435704509506
Zn_6,-0.08487005236833553
Cu_1,0.01043853750569396
Cu_2,0.021230056172906943
Cu_3,0.025911013042844558
Cu_4,0.0316162433649291
Cu_5,0.032585235825793424
Cu_6,0.034591313667690686
Pb_1,-0.0007816585230630706
Pb_2,0.002702706862678061
Pb_3,0.012101462100270846
Pb_4,0.019422387591900136
Pb_5,0.024896325226802414
Pb_6,0.03374526304906412
