,adhE
Cr_1,0.00757676750463557
Cr_2,0.01092010756174829
Cr_3,0.009627730508350208
Cr_4,0.006955882146669972
Cr_5,0.0006330881986372452
Cr_6,-0.005885126724311361
Fe_1,-0.007901096063010623
Fe_2,-0.02744712019933535
Fe_3,-0.052366725360426296
Fe_4,-0.07690650784651319
Fe_5,-0.0962674584139634
Fe_6,-0.1081675717702794
Cd_1,-0.0020122348735224977
Cd_2,-0.005645191683237164
Cd_3,-0.010864274451269428
Cd_4,-0.01770444447026308
Cd_5,-0.03108940569724902
Cd_6,-0.03865987091095471
Zn_1,-0.004186805827488625
Zn_2,-0.011912103369431505
Zn_3,-0.013605566674665469
Zn_4,-0.01248889983095789
Zn_5,-0.006727084991511663
Zn_6,-1.7958646916878698e-05
Cu_1,0.00044298655991874687
Cu_2,0.0011666689286034715
Cu_3,2.2146217237817227e-05
Cu_4,-0.0019675066602370733
Cu_5,-0.005426000758354864
Cu_6,-0.007297547212823944
Pb_1,0.0041335442859149136
Pb_2,0.007077049532538017
Pb_3,0.0061276146426909464
Pb_4,0.002596958765273744
Pb_5,0.0013708660626531415
Pb_6,-0.0006591568822184068
