,sfmA
Cr_1,0.004018555836509759
Cr_2,0.004074182314202541
Cr_3,0.009260322399345534
Cr_4,0.016456884526722247
Cr_5,0.02095481800733641
Cr_6,0.02629790733224788
Fe_1,-0.005478835240386861
Fe_2,-0.02091769119389806
Fe_3,-0.04470763594406081
Fe_4,-0.0641798151274757
Fe_5,-0.08381414801158216
Fe_6,-0.09851485605244976
Cd_1,0.010743109940475556
Cd_2,0.022326764062424155
Cd_3,0.029082640687565633
Cd_4,0.03610245591121093
Cd_5,0.04100616419271212
Cd_6,0.045587080740658696
Zn_1,-0.0046273251941156045
Zn_2,-0.01829811280471386
Zn_3,-0.03286977971374662
Zn_4,-0.04790378049385765
Zn_5,-0.0645807184736351
Zn_6,-0.0825843701103931
Cu_1,0.007269567137920634
Cu_2,0.00947369952502308
Cu_3,0.010149828755506969
Cu_4,0.017033175645351138
Cu_5,0.02371797535281506
Cu_6,0.032838109004626886
Pb_1,0.013984731814756877
Pb_2,0.02165569756969773
Pb_3,0.028834409144120925
Pb_4,0.035852959745955135
Pb_5,0.044032683965283835
Pb_6,0.05511120963696898
