,yhfG
Cr_1,0.0022306421320318188
Cr_2,0.006519329687095274
Cr_3,0.013967693736190204
Cr_4,0.024870967766736883
Cr_5,0.035635351784943606
Cr_6,0.04702506625817905
Fe_1,-0.009031557630662095
Fe_2,-0.036260653473250234
Fe_3,-0.0780438927444038
Fe_4,-0.12343171760671615
Fe_5,-0.1645706160639975
Fe_6,-0.20021328977930491
Cd_1,0.004029743903151783
Cd_2,0.008620353291872503
Cd_3,0.012753056626122557
Cd_4,0.015015677645009284
Cd_5,0.012309966081574598
Cd_6,0.016944571190402033
Zn_1,-0.00026269532364376757
Zn_2,-0.0039074134188720605
Zn_3,-0.0018213361819026661
Zn_4,0.006854045357198232
Zn_5,0.017684450727492248
Zn_6,0.03142927458598261
Cu_1,0.00436402892875972
Cu_2,0.00931263831323012
Cu_3,0.01955862840957357
Cu_4,0.027496727534827112
Cu_5,0.03357381419176665
Cu_6,0.04058357687492565
Pb_1,0.0013105387845771205
Pb_2,0.009669693133683974
Pb_3,0.01530364743581631
Pb_4,0.025779765409719185
Pb_5,0.042221556325232716
Pb_6,0.05156942325068852
