,yafL
Cr_1,0.0007771572915445919
Cr_2,-0.004653429049834752
Cr_3,0.004125148174581947
Cr_4,0.0127415060544118
Cr_5,0.03068542912502973
Cr_6,0.03329940691490973
Fe_1,-0.01829295812053252
Fe_2,-0.019938532079193463
Fe_3,-0.014999257087642503
Fe_4,-0.026916914588193758
Fe_5,-0.02036250558611947
Fe_6,-0.008312370173338567
Cd_1,-0.004536093940201465
Cd_2,-0.008073331683956473
Cd_3,-0.00463756499095111
Cd_4,0.0007639023791379371
Cd_5,-0.004680597603789174
Cd_6,-4.593722921516092e-05
Zn_1,-0.07101586161863647
Zn_2,-0.08655344938475783
Zn_3,-0.061466761807295274
Zn_4,-0.06318800619943299
Zn_5,-0.030375770979047707
Zn_6,-0.01248897838349786
Cu_1,0.0039891988951421
Cu_2,0.01053138154165663
Cu_3,0.023587441131415168
Cu_4,0.034872829795316924
Cu_5,0.05542509247788113
Cu_6,0.06890391231682355
Pb_1,0.011832391312112295
Pb_2,0.02789611598275114
Pb_3,0.04129459583911003
Pb_4,0.062138074370048126
Pb_5,0.07840518868893175
Pb_6,0.10193558501688274
