,modF
Cr_1,0.0065735382133102725
Cr_2,0.008789132776503965
Cr_3,0.015799708447804886
Cr_4,0.014525938499101788
Cr_5,0.01211331445408077
Cr_6,0.00474727988769966
Fe_1,-0.010271113168517618
Fe_2,-0.040743758162445916
Fe_3,-0.07170092364397287
Fe_4,-0.1009696056572014
Fe_5,-0.12893916214643705
Fe_6,-0.15287557126837395
Cd_1,0.0002014265600345057
Cd_2,0.00348929591081588
Cd_3,0.01407762374191182
Cd_4,0.025194952425806973
Cd_5,0.028251108168565225
Cd_6,0.03620568330067605
Zn_1,-0.0003183563590844714
Zn_2,-0.002959253462556685
Zn_3,0.0005773560504780419
Zn_4,0.01119099059108695
Zn_5,0.026155467210570015
Zn_6,0.04330673551338097
Cu_1,0.004643823256619654
Cu_2,0.01228400032499595
Cu_3,0.02412339346240368
Cu_4,0.0332507982685848
Cu_5,0.042955916545795315
Cu_6,0.058115782759072185
Pb_1,0.0036570525144012313
Pb_2,0.0062600627336056956
Pb_3,0.011722396975112074
Pb_4,0.02173532037944506
Pb_5,0.027369811269915
Pb_6,0.03790437881003519
