,yhfZ
Cr_1,-0.0033410837785794465
Cr_2,-0.004585837487177284
Cr_3,0.00979732397544878
Cr_4,0.02724403400914838
Cr_5,0.046952794102249035
Cr_6,0.06351363414397655
Fe_1,-0.008084753765555636
Fe_2,-0.0031694807017048185
Fe_3,-0.00487865007582209
Fe_4,-0.015121202768581603
Fe_5,-0.02032566767885864
Fe_6,-0.02380093724528693
Cd_1,0.0049042587216186866
Cd_2,0.01253631470285631
Cd_3,0.022296747046838008
Cd_4,0.02974969906772967
Cd_5,0.03152947883074713
Cd_6,0.036549691662058015
Zn_1,-0.010009523350474529
Zn_2,-0.005069710795963947
Zn_3,0.0016541239575630145
Zn_4,0.0075912217130250145
Zn_5,0.01745433466861501
Zn_6,0.026232898774876983
Cu_1,0.0056979212726031795
Cu_2,0.010578955581578032
Cu_3,0.017670699773906926
Cu_4,0.022664757144078708
Cu_5,0.028376701188753014
Cu_6,0.03498139558360578
Pb_1,0.004302694486021379
Pb_2,0.011454931523054157
Pb_3,0.030385246944550182
Pb_4,0.044565849826317214
Pb_5,0.05460346639830898
Pb_6,0.0685172504866888
