,A,RpoN,flhD
biocide__h2o2_12h__3,-0.9953077166000001,0.043063725000000004,0.2853507763
biocide__2ppoh_12h__1,1.0433417867,0.2214949126,1.2464314569
biocide__2ppoh_12h__2,1.157975076,0.2375757161,1.1156092378
biocide__2ppoh_12h__3,1.0443769114,0.10827356710000001,1.2168093072
biocide__paa_12h__1,-1.3251197059,0.2286456831,0.4531222882
biocide__paa_12h__2,-1.8738201895,0.1293620735,0.0849771821
biocide__paa_12h__3,-1.856764143,0.1015233809,0.0542047061
biocide__phe_12h__1,-0.3867392517,0.025900977300000003,0.3289434834
biocide__phe_12h__2,-0.7191907657000001,-0.0084411047,0.3944177162
biocide__phe_12h__3,-0.5466886705,-0.08752319160000001,0.4093135667
biocide__pvp-i_12h__1,-1.2667673055,-0.14998926270000001,0.007975878
biocide__pvp-i_12h__2,-0.7708434473,0.0412438646,0.45932989300000004
biocide__pvp-i_12h__3,-0.2820498641,-0.0466773335,0.18721650880000001
biocide__bleach_12h__1,-0.5859387311,-0.0868794131,0.6277421682000001
biocide__bleach_12h__2,-0.8246151815,0.0085894929,0.5066951962
biocide__bleach_12h__3,-0.9873667501000001,-0.018567060700000002,0.8243345851
biocide__chx_12h__1,-0.2171411511,0.0355272678,-0.1078819932
biocide__chx_12h__2,-0.9887746312000001,-0.14513015340000002,0.1491508151
biocide__chx_12h__3,-1.0186165718,-0.1740518203,0.23041526040000002
biocide__bzcl_30m__1,0.22097001460000001,0.3011034106,-0.8812699358
biocide__bzcl_30m__2,0.1881610549,0.2568240081,-0.9708382590000001
biocide__bzcl_30m__3,-0.1433528278,0.2176073537,-0.9084985361000001
biocide__phe_30m__1,0.5245666463,-0.0695649644,0.4110527069
biocide__phe_30m__2,-0.34016634770000004,0.27643011100000003,0.30639707580000003
biocide__phe_30m__3,0.9803334439,0.0603497936,0.3262299409
biocide__pvp-i_30m__1,-0.026082949100000002,0.087607533,-0.4982723724
biocide__pvp-i_30m__2,-0.1377955462,0.0913216261,-0.2210559574
biocide__pvp-i_30m__3,-0.2452063674,0.26532415800000003,-0.2832664814
biocide__ctrl_12h__1,-0.5949427198,0.1705345391,0.0401310318
biocide__ctrl_12h__2,0.23026024350000002,0.3225211441,0.0809558508
biocide__ctrl_12h__3,-0.30396685970000004,0.3128917021,-0.13003067910000002
biocide__ctrl_30m__1,-0.4592229557,0.14295592270000002,-0.10910965560000001
biocide__ctrl_30m__2,0.672788167,-0.13966334160000002,0.1763596527
biocide__ctrl_30m__3,-0.2135652114,-0.0032925811,-0.0672499971
clpP__wt__1,0.0505927944,0.0801952651,-0.0074328300000000005
clpP__wt_DPTA__1,-4.7559854796,1.0104096684,-3.4748841017
clpP__wt__2,-0.035409098300000004,-0.15961013970000001,-0.054475716800000004
clpP__wt_DPTA__2,-4.7716893032000005,0.9908922373000001,-5.9938744462999995
clpP__wt__3,-0.015183696100000001,0.0794148746,0.061908546800000006
clpP__wt_DPTA__3,-5.6223272412,0.8979434834000001,-4.4578481581
clpP__delclpP__1,-0.5900306281000001,0.3861377004,-0.48943210740000004
clpP__delclpP_DPTA__1,-3.946076504,1.2033600538,-4.4658949138
clpP__delclpP__2,0.0897798774,0.26954894160000004,-0.40679910680000003
clpP__delclpP_DPTA__2,-3.3330507432,0.7817928164,-3.0120190817
clpP__delclpP__3,-0.8925834483,0.5099844118,-0.6540641608000001
clpP__delclpP_DPTA__3,-5.1834690112,1.154091223,-4.2146658893
colombos2__delydcR__1,-0.059894804,-0.1133370323,-1.5071729202
colombos2__delydcR__2,-0.5183003608,-0.0237831136,0.377584945
colombos2__delydcR__3,1.0110112469,-0.1769844632,0.1348570805
colombos2__delyjiR__1,0.07049255210000001,-0.0023652598,0.48265073740000003
colombos2__delyjiR__2,0.7824605257,0.1417380475,0.8114547412
colombos2__delyjiR__3,-0.0131798651,0.0611544907,1.0881727617
colombos2__wt__1,-0.0815510389,0.08432900630000001,0.4001568474
colombos2__wt__2,-1.5829794706,-0.09368249070000001,-0.3640717017
colombos2__wt__3,1.6645305095,0.0093534845,-0.0360851457
crp_k100__ar1_ar2__1,-1.5211384669,1.0386732648,-1.637379927
crp_k100__ar1_ar2__2,-1.3433398274,1.2993008221,-2.2381857375
crp_k100__ar1_ar2__3,0.50822571,0.7911549408,-1.0404597271
crp_k100__wt__1,0.0812511499,-0.0099408411,0.2374944027
crp_k100__wt__2,-0.0704931434,0.07868816470000001,-0.3636544986
crp_k100__wt__3,-0.0107580065,-0.06874732360000001,0.1261600958
crp_k100__K100Q__1,0.40697651770000004,0.3964592985,0.7431905399000001
crp_k100__K100Q__2,-1.5023760503,0.5109733348000001,-0.2684952144
crp_k100__K100R__1,-0.08205173860000001,-0.3099313486,0.5216037867000001
crp_k100__K100R__2,0.7552354645,-0.06540984600000001,0.5617394316000001
crp_k100__K100R__3,0.7612424821,-0.2666675979,0.15227617000000002
csrA__wt_t00__1,-0.49959597050000004,-0.10783201240000001,-0.0620986362
csrA__wt_t02_30__1,1.4788036251,0.15824388150000002,-3.2715987926
csrA__wt_t05__1,0.21343964910000002,-0.43737589990000003,-6.0450968358
csrA__wt_t10__1,-2.1888078744,0.6552404767000001,-7.0720007684
csrA__wt_t15__1,-3.4299956211,1.6580148005000002,-5.1016696883
csrA__delcsrA_t00__1,0.7594278937000001,0.22192684740000002,-0.6746072681
csrA__delcsrA_t02_30__1,1.9872732567,0.3839373802,-4.0725182556
csrA__delcsrA_t05__1,0.3030364936,-0.0509269895,-5.2576347235
csrA__delcsrA_t10__1,-1.1247269983,0.574184993,-5.5443298079000005
csrA__delcsrA_t15__1,-1.5155008544,1.3968077029,-4.8742307114
csrA__wt_t00__2,0.49959597050000004,0.10783201240000001,0.0620986362
csrA__wt_t02_30__2,1.0023497534,0.47557474930000004,-3.7668688647
csrA__wt_t05__2,0.2003334679,-0.0979839337,-6.0302114207
csrA__wt_t10__2,-2.165390674,0.9298331089,-5.5678172863
csrA__wt_t15__2,-2.9774314765,1.8507670551,-4.7477775765
csrA__delcsrA_t00__2,0.1685399069,0.0419514728,-0.7532525272
csrA__delcsrA_t02_30__2,1.1053973935,0.1647592964,-4.732968834
csrA__delcsrA_t05__2,0.47725201700000003,-0.3415013979,-5.1708579149
csrA__delcsrA_t10__2,-1.7536748233,0.7882840066,-4.6981933730000005
csrA__delcsrA_t15__2,-2.3698082069,1.4156927451999999,-3.4515412328
cstr_pfr__str_0005m__1,0.3066863998,0.11074358570000001,0.6305341544
cstr_pfr__str_0010m__1,0.0469341109,-0.1624802583,0.7321017639
cstr_pfr__str_0025m__1,0.0480268095,0.0056280402,0.3252885951
cstr_pfr__str_0045m__1,-0.0385668136,0.0412093648,0.4274982942
cstr_pfr__str_0075m__1,0.1872816235,0.040798750200000004,0.5361283461
cstr_pfr__str_0120m__1,0.2225321203,0.0547989027,0.6318168788
cstr_pfr__str_0210m__1,-0.17532453650000002,0.11289490270000001,0.6071850585
cstr_pfr__str_0330m__1,-0.4064138534,0.1531201195,0.6065197727
cstr_pfr__str_1500m__1,-0.3544719174,0.029019826500000002,0.51433006
cstr_pfr__str_1560m__1,-0.3191583456,0.06348461300000001,0.5075289635
cstr_pfr__str_1680m__1,-0.09018709700000001,0.0486880992,0.634679324
cstr_pfr__str_ref1__1,-0.1416753621,0.0225145017,-0.0252230675
cstr_pfr__str_ref2__1,0.1435433854,-0.0079549809,0.04747845
cstr_pfr__str_ref3__1,0.0595744709,0.0673960328,-0.1979675059
cstr_pfr__pfr_P5_0005m__1,0.11609696580000001,0.1478935335,-0.6248068263000001
cstr_pfr__pfr_P5_0010m__1,-0.1049074598,-0.1316371284,-0.37075956600000004
cstr_pfr__pfr_P5_0025m__1,0.1037547585,-0.0203106426,-0.8104292849
cstr_pfr__pfr_P3_0025m__1,0.1662635148,-0.1219099517,-0.0657926006
cstr_pfr__pfr_P1_0025m__1,0.1176167929,-0.1372826141,0.3628757613
cstr_pfr__pfr_P5_0045m__1,0.2088932924,-0.0496341516,-0.4426259799
cstr_pfr__pfr_P5_0120m__1,0.3006086792,-0.0225154233,-0.3104208205
cstr_pfr__pfr_P3_0120m__1,0.1929789245,-0.1018335848,0.5051977362
cstr_pfr__pfr_P1_0120m__1,0.3985385303,-0.075095517,0.4171330754
cstr_pfr__pfr_P5_0210m__1,-0.11581284330000001,-0.033386169300000004,-0.3117686981
cstr_pfr__pfr_P5_1500m__1,0.4301284201,-0.0844885021,0.10120147580000001
cstr_pfr__pfr_P3_1680m__1,0.4544809778,-0.030631214700000003,0.4216950868
cstr_pfr__pfr_P5_1680m__1,0.4407132938,-0.041778117100000005,-0.1548017703
cstr_pfr__pfr_P1_1680m__1,0.3877297072,0.0711012112,0.6177946981
cstr_pfr__str_0005m__2,-0.0469204225,-0.08026113950000001,0.7865745518
cstr_pfr__str_0010m__2,-0.14681052590000002,-0.26228857780000003,0.8053423218
cstr_pfr__str_0025m__2,-0.231195579,-0.13172305,0.5029169254
cstr_pfr__str_0045m__2,-0.2598547151,-0.0641812578,0.6242900961
cstr_pfr__str_0075m__2,-0.3191515501,0.0350225418,0.595249131
cstr_pfr__str_0120m__2,-0.0223633507,0.0293183076,0.6809442082
cstr_pfr__str_0210m__2,-0.3539213174,0.06922512830000001,0.7610391239000001
cstr_pfr__str_0330m__2,-0.2743865112,0.0853775008,0.5955928106
cstr_pfr__str_1500m__2,-0.2355643345,0.1589193183,0.6995829433
cstr_pfr__str_1560m__2,0.18008139180000002,0.15527350280000002,0.6769945952
cstr_pfr__str_1680m__2,-0.0105016742,0.0864250114,0.669946515
cstr_pfr__str_ref1__2,0.1416753621,-0.0225145017,0.0252230675
cstr_pfr__str_ref2__2,0.19331622780000002,0.0451296018,-0.0688508609
cstr_pfr__str_ref3__2,0.0798830982,0.0684111122,-0.0319053948
cstr_pfr__pfr_P5_0005m__2,-0.5120550317,-0.2158820794,-0.3050615162
cstr_pfr__pfr_P5_0010m__2,-0.3008697319,-0.2343129843,-0.15514011260000002
cstr_pfr__pfr_P5_0025m__2,-0.2525049639,-0.2165177666,-0.2239203576
cstr_pfr__pfr_P3_0025m__2,-0.1191527544,-0.28544913050000004,0.4214717503
cstr_pfr__pfr_P1_0025m__2,-0.17691880840000002,-0.26896404300000004,0.6721166978
cstr_pfr__pfr_P5_0045m__2,-0.44729012840000004,0.1158714339,-0.1252875305
cstr_pfr__pfr_P5_0120m__2,-0.1168609171,-0.0810049073,0.0406055782
cstr_pfr__pfr_P3_0120m__2,-0.0671696955,-0.0990417814,0.528919129
cstr_pfr__pfr_P1_0120m__2,0.0219882322,-0.0887430225,0.7251384332
cstr_pfr__pfr_P5_0210m__2,-0.2078923698,-0.088533531,0.00019444970000000002
cstr_pfr__pfr_P5_1500m__2,0.5197131568,-0.14743303530000001,0.1442355921
cstr_pfr__pfr_P3_1680m__2,0.6284238173000001,-0.1087523703,0.0104342788
cstr_pfr__pfr_P5_1680m__2,0.4664091006,-0.1030133887,0.5410979689000001
cstr_pfr__pfr_P1_1680m__2,0.0268337557,-0.023188923,0.7609544561
darobactin__daro_30m__1,0.7617297645000001,0.31318655170000004,1.1983126512
darobactin__daro_30m__2,0.6683612738,0.2077680137,1.2796409945
darobactin__solv_1h__1,-1.0203672647,0.3379162327,1.0055468561
darobactin__solv_1h__2,-0.8797181143,0.208014145,1.8169164696000002
darobactin__daro_1h__1,-0.7542044597,0.1191900048,0.6019301198
darobactin__solv_1h__3,-0.432655104,0.6614127202,0.3289789556
darobactin__daro_1h__2,-0.6589067914,0.5984876075000001,1.21479826
darobactin__daro_1h__3,-0.5680155238,0.4196187712,0.9417218412
darobactin__daro_30m__3,0.6691121595,0.305655263,1.082075994
darobactin__solv_30m__1,0.1924473049,0.0135937062,1.3355452349
darobactin__solv_15m__1,0.5201173082,0.0852694024,0.082218841
darobactin__solv_15m__2,-0.6466816974,-0.0155165013,-0.0267733507
darobactin__daro_15m__1,1.3235940711,-0.0838011282,-0.6681189827
darobactin__solv_15m__3,0.1265643893,-0.0697529011,-0.055445490300000004
darobactin__daro_15m__2,1.7642769147,0.27596232460000003,-0.6006347697000001
darobactin__daro_15m__3,1.9131512072999999,0.45113060850000003,-0.21012570400000002
darobactin__solv_30m__2,-0.1597141104,-0.1525199025,0.2596913435
darobactin__solv_30m__3,-0.4648986262,0.052636634200000004,0.715174627
ddp__pNT3_aroP__1,0.4822636243,0.0194943282,0.8459700075000001
ddp__pNT3_aroP__2,1.9731983466,0.0371448691,0.9456110724000001
ddp__pNT3_bamC__1,-1.13885919,0.7403439074,2.2899728562
ddp__pNT3_bamC__2,0.5011111242,0.7887621109,2.0731044015
ddp__pNT3_cusA__1,-0.9695862882,0.6989246475,2.0611327544
ddp__pNT3_cusA__2,-0.1462552853,0.7712450152,1.8078981024
ddp__pNT3_hemX__1,2.4392702336,0.2989290468,0.7772524248
ddp__pNT3_hemX__2,2.6695549386,0.3438535408,0.8775333473
ddp__pNT3_empty__1,-0.8188480703000001,-0.0442370661,0.1094791516
ddp__pNT3_empty__2,0.8188480703000001,0.0442370661,-0.1094791516
ddp__pNT3_topA__1,0.63863273,0.9965763493,0.3648641044
ddp__pNT3_topA__2,1.8843401306,1.31008916,0.5144848752
ddp__pNT3_yicR__1,1.3691864095000001,0.3495947186,1.7045687863999999
ddp__pNT3_yicR__2,2.5181031269,0.3167987774,1.6085133595999999
ddp__pNT3_yqjD__1,0.7559445733,0.18282576220000002,0.962705735
ddp__pNT3_yqjD__2,2.189235455,0.2745354318,1.0426865592
ecomics__del_gabT__1,-0.0164214402,0.0091526396,-0.0023146620000000003
ecomics__del_gabT__2,0.0164214402,-0.0091526396,0.0023146620000000003
ecomics__del_putP__1,0.1020818292,0.1517960213,-0.5655934254
ecomics__del_putP__2,-0.4586248473,-0.018863395800000002,-0.6554359822
ecomics__del_entF__1,-0.2491379078,-0.3106553576,2.5064163125
ecomics__del_entF__2,-0.13100502760000002,0.0012067599,-0.1308820537
ecomics__del_entF__3,-1.0755661082,-0.1112154671,1.4977573305
ecomics__del_cysA__1,-0.4196634199,-0.44010103,2.1285998607
ecomics__del_cysA__2,-0.2910948544,-0.2791661187,1.5084310508
elyC__wt_21C__1,0.30985703800000003,-0.1132278063,0.9587254089
elyC__wt_21C__2,0.1570532719,-0.29637354460000004,1.0692614583
elyC__wt_21C__3,0.0763840564,-0.21916101030000001,0.9453102423
elyC__wt_37C__1,0.0264233467,-0.1117056741,0.0520437959
elyC__wt_37C__2,-0.1823466174,0.051901757300000004,0.035529673500000004
elyC__wt_37C__3,0.1559232707,0.0598039168,-0.0875734694
elyC__delelyC_21C__1,-0.039583215500000005,-0.2188903626,0.6380236914
elyC__delelyC_21C__2,-0.12597409710000002,-0.17460792120000002,0.2720395288
elyC__delelyC_21C__3,0.1446112398,-0.260555077,0.7190709664
elyC__delelyC_37C__1,-0.0217813887,0.0039868995,0.0691139909
elyC__delelyC_37C__2,0.1234082204,0.0221365934,0.0156791363
elyC__delelyC_37C__3,0.054010901300000004,-0.0647450559,0.0451378189
evo_acid_w__F9_2__1,2.9595989325,0.1463959096,-1.1918849051
evo_acid_w__F11_1__1,0.3601986102,0.1202021206,0.154507897
evo_acid_w__F11_1__2,0.2042820519,-0.0395698956,0.3780809775
evo_acid_w__F11_1__3,0.19459965310000002,0.10572779530000001,0.1079170888
evo_acid_w__wt__1,0.4615727539,-0.19171076280000002,0.21043858310000002
evo_acid_w__F11_2__1,2.4891472195,0.1714003089,-0.1660464283
evo_acid_w__B11_2__1,1.9293113237,0.35457862700000004,0.0053498756
evo_acid_w__F11_2__2,-0.4783332803,0.1930127968,0.0263251549
evo_acid_w__wt__2,-0.6272503743,-0.139414123,0.8326513680000001
evo_acid_w__B11_1__1,-1.5483799574,0.46414260090000004,0.8009660270000001
evo_acid_w__H9_1__1,-1.7759990946,-0.9293460187,-1.0264547518
evo_acid_w__H9_2__1,0.1516983134,-0.2153956048,0.1127490341
evo_acid_w__B11_2__2,1.9154067961,0.307804224,-0.13830729860000002
evo_acid_w__wt__3,-0.5719238075,-0.0441240533,0.9574953462
evo_acid_w__H9_2__2,0.16814946620000001,-0.17407644390000002,0.1312931761
evo_acid_w__B11_2__3,1.1330774292,0.304790481,-0.0524150519
evo_acid_w__F11_2__3,-0.579072384,0.359799287,-0.2824768998
evo_acid_w__F9_2__2,3.0805367806,0.2262852115,-0.9371368422
evo_acid_w__wt__4,-0.039745182500000004,0.1001533352,-0.1596406363
evo_acid_w__wt__5,-0.39334096900000004,0.2215301875,-0.10359187060000001
evo_acid_w__wt__6,0.2212113825,0.0514810393,-0.3854854623
evo_acid_w__H9_1__2,-1.6450667281,-1.1099708241,-1.0508038201
evo_acid_w__F9_1__1,0.9667801438,0.0609907036,0.0422786748
evo_acid_w__F9_1__2,0.6563909938,0.0100256292,-0.1660793317
evo_acid_w__B11_1__2,-1.4696572693,0.38586791800000003,0.6921049122
evo_acid_w__H9_2__3,-0.061578859300000004,-0.2219397992,0.3344350427
evo_acid_w__wt__7,1.0946835091,-0.0058975043,-0.1058811254
evo_acid_w__F9_1__3,1.2109336361,-0.0580505282,0.1196475684
evo_acid_w__F9_2__3,3.2342204617,0.0753342381,-1.1842234076
evo_acid_w__wt__8,0.0484427646,-0.042911954,-0.2773088009
evo_acid_w__B11_1__3,-2.3038590262,0.4089002883,0.7093827666
evo_acid_w__wt__9,-0.19365007680000001,0.050893835500000005,-0.9686774018000001
evo_bz__c3_1_bz__1,0.5119645911,0.14582604870000002,-0.0284297661
evo_bz__c3_1_bz__2,1.7636322658,-0.36678308870000004,-1.3660976772
evo_bz__c3_1_bz__3,2.0575819908,-0.27314160800000004,-1.4339984764
evo_bz__c3_1_bz__4,1.8501396588,-0.2476562635,-1.4205533402000001
evo_bz__g5_1_bz__1,4.3146740568,0.2154759758,0.9551103385
evo_bz__g5_1_bz__2,0.9941741599,0.22949940370000002,0.1613517479
evo_bz__g5_1_bz__3,3.7984411097,0.0752074958,0.7458477271
evo_bz__g5_1_bz__4,2.783857995,-0.0815494787,-0.7308477366
evo_bz__g5_1_bz__5,2.9322153544000003,-0.0341675644,-0.84253698
evo_bz__g5_1_bz__6,2.7883208544,-0.0005939661000000001,-0.6061290140000001
evo_bz__w3110d13__1,-0.0049324556,-0.1195503961,0.9044393439
evo_bz__w3110d13__2,-0.43863487760000003,-0.0933554179,0.4122239176
evo_bz__w3110d13__3,-0.0069064040000000005,0.0592809564,-0.6486220786
evo_bz__w3110d13__4,-0.2163834312,-0.1354329401,0.6113660652
evo_bz__w3110d13__5,0.4514767501,0.07357012090000001,-0.9110849409
evo_bz__w3110d13__6,0.2153804182,0.2154876769,-0.36832230720000003
evo_bz__w3110d13_bz__1,0.8575464041,0.25213877430000003,0.4554868322
evo_bz__w3110d13_bz__2,1.4106705958,0.0389778084,0.6281405172
evo_bz__w3110d13_bz__3,2.4025534375,-0.1834919475,-1.2418591064
evo_bz__w3110d13_bz__4,1.1738114916,0.1589210443,0.4261007157
evo_bz__c3_1_bz__5,0.9845977531000001,0.0801469077,-0.153884866
evo_bz__c3_1_bz__6,0.44590714270000004,0.1380442993,0.1976208807
evo_bz__g5_2_bz__1,-12.5358213432,-0.5813523044000001,-2.2101255307
evo_bz__g5_2_bz__2,-12.496701036,-0.54992883,-1.9840241203
evo_bz__g5_2_bz__3,-12.3120714615,-0.5378679077,-1.9105304851
evo_bz__g5_2_bz__4,-14.2923609694,0.2686142181,-0.4391662283
evo_bz__g5_2_bz__5,-14.744254342,0.3047421518,-0.36651836800000004
evo_bz__g5_2_bz__6,-14.8537708488,0.3251273906,-0.1654303665
evo_bz__w3110d13_bz__5,1.6941439617,-0.009906508100000001,-1.1208830578
evo_bz__w3110d13_bz__6,2.1051977998,-0.2168331962,-1.15724639
evo_bz__a1_1_bz__1,3.0169054923,0.33431169050000004,-0.8672609489
evo_bz__a1_1_bz__2,3.4010782352,0.2116968061,0.1372676591
evo_bz__a1_1_bz__3,3.6914555591,-0.18372571140000002,0.10684434370000001
evo_bz__a1_1_bz__4,2.3408265401,0.4389608913,0.208842662
evo_bz__a1_1_bz__5,3.4032740006,-0.268070719,0.3652264556
evo_bz__a1_1_bz__6,3.7155754048,-0.0870670192,0.0654738448
evo_metab__wt__1,-1.1675595867,0.3443509589,-1.2299549302
evo_metab__del_zwf__1,-0.8149388356,0.1652742451,-1.1008956354
evo_metab__zwf_ale1__1,-0.9698132953,0.211130064,-0.6571667330000001
evo_metab__zwf_ale2__1,-2.6965040445,-0.25708634550000004,-0.1505723588
evo_metab__del_ppk__1,0.2354399913,-0.2066308214,0.2212068878
evo_metab__ppk_ale1__1,0.3892588172,-0.3667514344,-0.23085766130000002
evo_metab__ppk_ale2__1,-0.8223455989,0.3610644347,-0.059246150600000005
evo_metab__ppk_ale3__1,-1.1737827762,0.2649755219,-0.7637277876
evo_metab__del_dapF__1,-2.2307495227,0.0281135955,-1.2146256916
evo_metab__dapF_ale1__1,-2.6592666013,-0.151889398,-1.4020761947
evo_metab__dapF_ale3__1,-0.7578015796,-0.4239051464,-0.3125109274
evo_metab__del_entC__1,1.4514794501,-0.36644120420000004,1.5700668
evo_metab__entC_ale1__1,1.7514342984,-0.2568174776,1.8096862433
evo_metab__entC_ale2__1,-0.0211416419,0.14704410110000002,-0.11740627020000001
evo_metab__del_dgk__1,0.8914864666000001,-0.0739352672,2.761183717
evo_metab__dgk_ale1__1,-0.870590335,-0.10839593850000001,1.9337296151
evo_metab__dgk_ale2__1,-0.5764301373,0.1786819499,0.39678279520000004
evo_metab__dgk_ale3__1,-1.244996241,-0.2122526868,0.8293638741
evo_metab__wt__2,0.6770444126,-0.1839833421,0.5499474830000001
evo_metab__del_zwf__2,-0.304587384,0.4721483286,-0.2587099189
evo_metab__zwf_ale1__2,-0.38301252290000004,-0.3404743149,0.4424755991
evo_metab__zwf_ale2__2,-1.3005700081,-0.3626443479,1.3217322903
evo_metab__del_ppk__2,1.5260980402,-0.2248503926,1.1374367239
evo_metab__ppk_ale1__2,0.0118015481,-0.06316998530000001,0.5193444085
evo_metab__ppk_ale2__2,1.2788920799,-0.1906721357,0.5062309017000001
evo_metab__ppk_ale3__2,0.0959986909,-0.30637156860000003,1.2686471164
evo_metab__del_dapF__2,-0.6220487429,0.3570191827,-0.007919646800000001
evo_metab__dapF_ale1__2,-0.7424557892,0.1025501968,-0.130729483
evo_metab__dapF_ale3__2,-0.5246217333000001,0.4956171905,-1.0299245211
evo_metab__del_entC__2,3.613159417,-0.3591152302,3.0183380648
evo_metab__entC_ale1__2,2.4816989324,-0.3043800538,1.381495502
evo_metab__entC_ale2__2,3.0315165361,-0.2029856726,1.4348586015
evo_metab__entC_ale3__1,1.9789312844,-0.1335952104,1.4770178291
evo_metab__del_dgk__2,1.1226741667,-0.009189183,2.9674845575
evo_metab__dgk_ale1__2,-0.6089108395,-0.3093192174,2.5226452173
evo_metab__dgk_ale2__2,0.1147136031,-0.10083591430000001,2.3594985365
evo_metab__dgk_ale3__2,-0.6351854641,-0.5890277701000001,1.4088817426
evo_metab__wt__3,0.4905151741,-0.1603676168,0.6800074471
evo_metab__del_zwf__3,0.4195255943,-0.5337777167000001,1.302203381
evo_metab__zwf_ale1__3,-0.3561293709,-0.3386101305,0.6358060963000001
evo_metab__zwf_ale2__3,-0.8026345969,-0.5595079862,0.670490683
evo_metab__del_ppk__3,0.6351733425,0.1256745228,0.8191737104
evo_metab__ppk_ale1__3,0.4747393019,-0.1974074602,1.258924046
evo_metab__ppk_ale2__3,0.8050068861,-0.16778095310000002,1.2090729272
evo_metab__ppk_ale3__3,-0.19065839010000002,-0.19864319430000002,0.2788592821
evo_metab__del_dapF__3,-0.4741440443,0.3276570398,-0.10877078230000001
evo_metab__dapF_ale1__3,-1.2869873547,-0.0997289173,0.33176344150000003
evo_metab__dapF_ale3__3,-0.5657466907,0.2640760326,-0.0039158159
evo_metab__del_entC__3,3.5066676055,-0.37235867840000003,2.2042308666
evo_metab__entC_ale1__3,1.8584967537,0.0181046865,1.2175477618000001
evo_metab__entC_ale2__3,2.2419179681,-0.11700042790000001,2.2409832459
evo_metab__entC_ale3__2,2.9574575342,-0.1609804505,2.398065418
evo_metab__del_dgk__3,1.5863831707,-0.3751268578,3.5625693591000003
evo_metab__dgk_ale1__3,-0.4479815883,-0.176205029,3.0342402103
evo_metab__dgk_ale2__3,0.5405164151,-0.1301696154,2.7927278505
evo_metab__dgk_ale3__3,-1.0467254242,-0.351969819,1.3287890051
flag_reg__wt__1,-0.213238127,-0.0092595132,0.0022990941000000003
flag_reg__del_fliA__1,-3.0202989837,-0.0129624738,-0.1514060224
flag_reg__del_flhC__1,1.2992924751000001,0.0793582208,0.42546073710000004
flag_reg__del_flhD__1,2.018473764,0.09250216300000001,-6.0090446105
flag_reg__wt__2,0.213238127,0.0092595132,-0.0022990941000000003
flag_reg__del_fliA__2,1.6170229281,0.1063528264,-6.1787483795
flag_reg__del_flhC__2,-4.3895207806,-0.0175557042,-0.2656098327
flag_reg__del_flhD__2,1.6814045016999999,-0.010842586900000001,0.2675413797
flgM__27C__1,-0.7033609565000001,-0.49386042500000005,-1.3114061791
flgM__27C__2,-0.177388668,-0.4711977559,-0.9384294336000001
flgM__27C__3,-0.1292208543,-0.5876803110000001,-0.8553780524
flgM__32C__1,-0.2302250874,-0.12164353550000001,-0.43148571750000003
flgM__32C__2,-0.5895826820000001,-0.1487269227,-0.5646329653000001
flgM__32C__3,-0.6865910699000001,-0.1490291595,-0.4466742638
flgM__37C__1,0.1310641978,-0.0174158301,0.014229118700000001
flgM__37C__2,-0.1347248104,0.0022036207,-0.0405651074
flgM__37C__3,0.0036606126,0.0152122095,0.0263359887
flgM__42C__1,-0.4822115476,0.1496946106,0.0090260527
flgM__42C__2,-0.43871346370000003,0.1960098835,-0.1966501867
flgM__42C__3,-1.3851399423,0.20566612750000002,0.2027180117
histone__untreated__1,-0.1789072801,-0.0161078514,-0.0980060932
histone__untreated__2,0.47897151,0.07405100270000001,0.2234373654
histone__untreated__3,-0.30006422990000003,-0.0579431513,-0.1254312722
histone__10ug_H2A__1,-0.08287830510000001,-0.11997661750000001,-0.0635723716
histone__10ug_H2A__2,-0.1481025114,0.0025159921,-0.1949145787
histone__10ug_H2A__3,-0.0269174839,-0.0979670931,-0.4946290473
histone__50ug_H2A__1,-0.5421617555,-0.1884766708,-1.4555044618
histone__50ug_H2A__2,-0.6349916807,-0.12810657550000001,-1.2349260254
histone__50ug_H2A__3,-0.9401603213,-0.2565370085,-1.4011506998
histone__100ug_H2A__1,-0.4161928138,-0.19382686740000002,-2.1082884616
histone__100ug_H2A__2,-0.3879946896,-0.2250856863,-2.0259129241
histone__100ug_H2A__3,-0.6759949359,-0.22388611700000002,-1.9886176616000002
hns__del_hns_spike__1,-3.0108103931,0.1137865311,-0.5776622043
hns__del_hns_spike__2,-2.6801036433,0.3119930792,-1.0401679773
hns__del_hns__1,-2.7157615825,0.1210828718,-0.44296944520000003
hns__del_hns__2,-2.2788236761,-0.1089395497,-1.2432488577
hns__wt_spike__1,-0.43377092510000004,0.2134083628,0.7413075978
hns__wt_spike__2,1.793808475,0.1370073363,-1.8651168603000001
hns__wt__1,-0.42951743270000003,0.2411013415,0.5925970952
hns__wt__2,0.42951743270000003,-0.2411013415,-0.5925970952
hns_stpA__evo100G4_delhns_delstpA__1,-3.6436870235,-0.3394563648,-2.9402163159
hns_stpA__evo100G4_delhns_delstpA__2,-3.1185203024,-0.5961681449,-3.1450521333
hns_stpA__evo100G12_delhns_delstpA__1,-1.3631423772,-0.9814461712,-1.8579145807000002
hns_stpA__evo100G12_delhns_delstpA__2,-1.0304675666,-1.2562817839,-1.8031976149000002
hns_stpA__delhns_delstpA_delrpoS__1,-1.5798458797000001,-1.0463528466,-2.8949622407
