,A,RpoN,flhD
abx_mega__nal_naoh__6,0.2947464685,0.1949048065,-0.1895489367
abx_mega__chl_dmso__2,-2.4087178958,-0.2965190891,-2.5762372585
abx_mega__rach_dmso__4,1.6264956430000002,0.9072279491,-0.4694516748
abx_mega__teix_dmso__7,1.2700034664,0.4760578098,0.4069309336
abx_mega__ceru_ethanol__1,2.1509951288,0.5942382494,-0.3228416099
abx_mega__dmso-7__1,0.5707451572000001,0.5502041329,0.3160195196
abx_mega__naoh-6__3,1.0942095133,0.3985351669,0.16985497530000002
abx_mega__phos_ethanol__2,1.4950854470000001,0.4755069677,0.7145446211
abx_mega__metro_dmso__3,-0.5481846896,0.7593384199000001,0.10043686900000001
abx_mega__van_dmso__4,-2.6483962746,-0.9437514518000001,-1.0968315312
abx_mega__h2o-10__1,1.6790649008,-0.0088024738,0.1534776173
abx_mega__h2o-10__2,0.7407427249,0.11731256200000001,0.4429498888
abx_mega__dmso-6__3,0.5486421793,0.4245258925,0.0131545627
abx_mega__mem_dmso__1,-0.146763744,0.0221495772,0.3213024161
abx_mega__ethanol-8__2,1.4818892211,0.1553514222,-0.0302465963
abx_mega__chl_h2o__4,-1.467764542,-0.9067002987,1.1739271801
abx_mega__van_h2o__1,0.0971995632,-0.7663768052000001,-1.6613654743000001
abx_mega__dcs_h2o__1,1.6482180125,0.34302064460000004,0.4405296272
abx_mega__rif_dmso__5,0.26489975930000004,0.5641164744,0.2476099294
abx_mega__dox_dmso__3,-0.09253048900000001,0.3852142324,1.6616152994000002
abx_mega__mem_dmso__2,-0.3415262317,-0.0143963799,-0.4419209753
abx_mega__lvx_dmso__2,-0.0086338631,0.2120925827,0.1712580785
abx_mega__tet_h2o__2,-3.6481966047,-0.0535992765,1.040503405
abx_mega__phos_h2o__5,0.2064081473,1.1368348911,-2.0588765365
abx_mega__monac_dmso__1,-0.44688453720000004,0.2581631515,-1.6912800863
abx_mega__str_h2o__3,0.9370205184,0.2098929226,-0.16340206810000002
abx_mega__zeocin_h2o__2,-2.2491733759,0.716158543,-2.0722140842
