locus,gene_weight,gene_name,gene_product,cog,regulator,RpoN,AtoC,IHF,link
b2221,0.4067470774032381,atoD,acetyl-CoA:acetoacetyl-CoA transferase subunit alpha,Lipid transport and metabolism,"RpoN,AtoC,ppGpp,IHF,spf",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11669
b2222,0.3397494292865371,atoA,acetyl-CoA:acetoacetyl-CoA transferase subunit beta,Lipid transport and metabolism,"RpoN,AtoC,IHF",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11670
b2223,0.2811304119774666,atoE,short chain fatty acid transporter,Lipid transport and metabolism,"RpoN,AtoC,IHF",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11671
b2224,0.2033286997403642,atoB,acetyl-CoA acetyltransferase,Lipid transport and metabolism,"RpoN,AtoC,IHF",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11672
