,A,AtoC,ihfB,RpoN
R2,,0.03070936316485051,0.006470756984459869,0.002282628433168954
xmin,,-3.5693359160000004,-2.3858350260000005,-2.3873792415000006
xmid,,-0.436443190177865,,-0.09885267026897078
xmax,,4.066392929,1.6466498449999991,1.3623595312507586
ystart,,0.802352140562171,1.3980731716171342,0.8821783351350498
yend,,2.668531573137971,0.635501325405819,1.4609375173929355
control__wt_glc__1,0.4233187468383781,-0.016576628999999787,0.08337238499999877,-0.0046102245000003705
control__wt_glc__2,-0.4233187468383827,0.016576628999999787,-0.08337238500000055,0.004610224499998594
fur__wt_dpd__1,0.3691223216192112,0.4642085910000002,0.7158603249999995,0.7030172054999984
fur__wt_dpd__2,0.9622896896001883,0.347168768,0.8566654449999991,0.8161369584999996
fur__wt_fe__1,-0.2784670831567125,-0.2484453609999999,-0.0769950650000002,-0.09844324150000183
fur__wt_fe__2,0.6526355536121135,-0.1343901970000001,-0.08671744500000145,-0.014624519500001654
fur__delfur_dpd__1,-0.1499270474161225,0.214070612,0.6898034449999989,0.5910067834999992
fur__delfur_dpd__2,0.1670248073755348,0.342750106,0.621869414999999,0.7714851734999986
fur__delfur_fe2__1,-0.1474763634564809,0.018525772999999912,0.3658187149999996,0.15829583549999882
fur__delfur_fe2__2,0.1832257486732011,0.17005236699999982,0.33581042499999825,0.09519432949999818
acid__wt_ph5__1,-0.3062584854983073,-0.061954561999999935,0.2842574349999989,0.15184900549999902
acid__wt_ph5__2,0.0274268655258527,0.09958445799999982,0.3016573449999989,0.2254091014999986
acid__delgadx_ph5__2,-0.3593557114518,0.17372739699999995,0.03620512499999862,0.21891853049999987
acid__delgadw_ph5__1,0.3746949481599412,0.3107382919999999,0.19517709499999825,0.18450770449999965
acid__delgadw_ph5__2,-0.127713015995364,-0.011593774999999695,0.1831834249999993,0.14576261749999908
acid__delgade_ph5__1,-0.2973241495598208,0.07877518899999991,0.3321859449999991,0.1606162704999985
acid__delgade_ph5__2,0.2486186211558156,0.10673985900000016,0.2395609849999989,0.23216701249999794
oxidative__wt_pq__1,0.5858542980934304,-0.695512543,0.9466146249999988,0.4468107434999986
oxidative__wt_pq__2,-0.0151731659306971,-0.5816184259999999,0.948808184999999,0.3896680744999994
oxidative__deloxyr_pq__1,-1.4020053721678325,-0.7021368809999999,0.8749087249999992,0.3630092974999979
oxidative__deloxyr_pq__2,-1.1949403551532611,-0.9480549960000002,0.9672342149999996,0.36022816349999864
oxidative__delsoxr_pq__1,-0.4126481764566106,-0.8510813899999996,1.0713253449999982,0.4533836634999986
oxidative__delsoxr_pq__2,-0.7926138775748653,-0.5841456109999998,1.1682316949999991,0.4385974174999987
oxidative__delsoxs_pq__1,0.2423275080772645,-0.5368991919999999,1.1351437949999994,0.6504048324999978
oxidative__delsoxs_pq__2,1.044563969065031,-0.498365899,1.020138574999999,0.6203968144999994
nac_ntrc__wt_csn__1,2.567388920715528,0.01320359499999979,0.17254414499999982,0.3878049414999989
nac_ntrc__wt_csn__2,1.955644581852355,-0.009210204999999584,0.2130251749999985,0.3861706294999987
nac_ntrc__wt_cytd__1,1.5782191800246863,0.08739134599999998,0.4575306549999994,0.17801387349999942
