,A,NagC
R2,,0.07420485624089712
xmin,,-4.111981838
xmid,,0.4097073699217534
xmax,,2.9150698085
ystart,,0.3767807411718117
yend,,8.303559243775172
aat__00m_00s__1,0.28289353570000003,-0.0092356068
aat__00m_30s__1,0.0538996662,-0.011277240800000001
aat__01m_00s__1,0.1157361402,0.1831125201
aat__02m_00s__1,-0.1522494973,-0.0727427819
aat__05m_00s__1,-0.0145938039,-0.0716070736
aat__10m_00s__1,-0.1262245762,-0.1892561649
aat__00m_00s__2,0.08000835170000001,-0.1073138917
aat__00m_30s__2,-0.45458612610000004,-0.0517347388
aat__01m_00s__2,0.5385229479,0.13172830160000001
aat__02m_00s__2,0.16586008200000002,0.042467008800000004
aat__05m_00s__2,0.231797891,-0.01104554
aat__10m_00s__2,0.2559373901,-0.07699831210000001
aat__00m_00s__3,-0.3629018874,0.11654949860000001
aat__00m_30s__3,-0.3112965163,-0.037930941600000004
aat__01m_00s__3,-0.1156054539,0.0372191891
aat__02m_00s__3,-0.0606808335,0.0914273687
aat__05m_00s__3,0.1787542091,-0.0199528884
aat__10m_00s__3,0.1949224102,-0.095244332
abx_mega__dmso-2__1,0.5140392161,1.6269773445
abx_mega__ery_dmso__1,-3.5349431927,-1.081950516
abx_mega__nal_naoh__1,-0.40686243790000004,1.0826720391
abx_mega__dmso-5__1,1.2259055714,0.2668937872
abx_mega__rif_dmso__1,1.4008667241000001,-0.4656958571
abx_mega__novo_h2o__1,0.3881131089,-0.7167168558
abx_mega__rach_dmso__1,0.7803736048000001,0.2810378551
abx_mega__metro_dmso__1,-0.4092267532,0.6192041632
abx_mega__dmso-6__1,3.0286173193,0.6337328935000001
abx_mega__chl_h2o__1,-1.8301735511000001,-2.0538261577
abx_mega__cst_h2o__1,2.5460931122,0.8506870400000001
abx_mega__tec_h2o__1,-3.7441536721,1.1448666082
abx_mega__str_h2o__1,-0.109363372,1.2990239995000001
abx_mega__ctx_h2o__1,2.4936631928,0.8448067231
abx_mega__nal_naoh__2,-0.7737001707000001,-0.0306185905
abx_mega__phos_h2o__1,-0.3140577668,-0.0148224145
abx_mega__dmso-5__2,0.7231103463,0.11680142810000001
abx_mega__polmyx_h2o__1,0.4315742368,0.5068170506
abx_mega__h2o-8b__1,1.9914069790000002,0.7429699565
abx_mega__h2o-6__1,1.1051197169,0.555454063
abx_mega__thio_dmso__1,-1.0739722175,-0.6616906888
abx_mega__phos_h2o__2,1.4232038811,0.5850591669
abx_mega__ctx_h2o__2,1.5568353635999999,0.36553989670000003
abx_mega__lzd_dmso__1,-1.2714464035,-0.5899010449000001
abx_mega__naoh-9__1,0.3666526969,0.8978430859000001
abx_mega__dox_dmso__1,-1.3126503554,-0.46783111850000003
abx_mega__phos_ethanol__1,-0.5152673768,-0.01566169
abx_mega__teix_dmso__1,-0.7320332887000001,0.057036416300000004
abx_mega__dmso-10__1,1.3119316209,0.6443742243
abx_mega__van_dmso__1,-1.7328309264000001,-2.8238857419
abx_mega__ramo_h2o__1,-1.1218228868,0.0187590522
abx_mega__tec_h2o__2,-1.1201270682,0.2901036194
abx_mega__h2o-7__1,0.462604942,0.1866674223
abx_mega__cro_h2o__1,1.1539801773,0.3703709584
abx_mega__tric_ethanol__1,0.4388753295,0.7103196087
abx_mega__nor_naoh__1,0.8110048889,0.3259563981
abx_mega__teix_dmso__2,-0.08791122900000001,-0.1177973429
abx_mega__nal_naoh__3,-0.4183749995,0.1608361171
abx_mega__novo_h2o__2,-0.2352860616,-0.8902225289000001
abx_mega__dmso-10__2,0.9568334371,0.6643368338
abx_mega__phos_h2o__3,1.1868542624,0.4265957848
abx_mega__dmso-6__2,1.5626347248,0.3354364784
abx_mega__rfp_ethanol__1,-0.9852193549,-0.8428066038
abx_mega__dmso-5__3,0.316636552,0.5145304886000001
abx_mega__amyc-d_dmso__1,-2.6171148087000002,-1.2971052233
abx_mega__sxt_dmso__1,-1.1111754834,-0.2397275007
abx_mega__dmso-1__1,0.38669836630000004,-0.159132977
abx_mega__pen_h2o__1,2.4618911427,-0.2374222229
abx_mega__dmso-10__3,1.5056426892,0.6493332757
abx_mega__nal_naoh__4,-0.0109549346,0.3879280118
abx_mega__cip_naoh__1,-0.0955764804,0.47474431990000004
abx_mega__pen_h2o__2,2.2459737872,0.13597547440000002
abx_mega__ery_dmso__2,-3.2136855998,-1.4877988967
abx_mega__dmso-2__2,-1.8687583896,1.9450803012
abx_mega__van_dmso__2,-2.4989520704,-2.4856737214
abx_mega__h2o-1b__1,1.0511310506,-0.1798021777
abx_mega__ery_h2o__1,-1.8708021434000002,-1.15992588
abx_mega__bacit_h2o__1,-1.8997545865,-0.6692442792000001
abx_mega__chl_h2o__2,-1.6347774252,-1.8948048446999999
abx_mega__str_h2o__2,-0.3204117238,1.1983774423
abx_mega__rfp_ethanol__2,-0.9987749504000001,-0.7785826186
abx_mega__polmyx_h2o__2,1.4829796961000001,0.5182227065
abx_mega__tric_h2o__1,0.8791396043,0.7536024934000001
abx_mega__cip_naoh__2,0.0512655967,0.211646566
abx_mega__novo_h2o__3,0.28696087060000003,-0.856840534
abx_mega__bacit_dmso__1,-1.8668614645,-0.1496320968
abx_mega__gen_h2o__1,-2.6086851084,-0.8212364943
abx_mega__bacit_dmso__2,-1.8497131427,-0.506671258
abx_mega__chl_dmso__1,-3.1499481765,-1.2336180156
abx_mega__bacit_h2o__2,-1.5832686905000002,-0.7079814684
abx_mega__lvx_dmso__1,0.2815079875,-0.0076499208
abx_mega__bacit_h2o__3,-2.9143024072,-0.5318694354
abx_mega__nor_naoh__2,0.9626205432,0.2491877017
abx_mega__amyc-d_dmso__2,0.7929316472,-0.6864073031
abx_mega__polmyx_h2o__3,-1.6187169776,1.9276518996
abx_mega__naoh-6__1,0.7954012960000001,0.5940377444
abx_mega__cst_h2o__2,-0.31431542,-0.0361454542
abx_mega__h2o-1b__2,-1.0876269334,-0.2162920575
abx_mega__rfp_h2o__1,0.0744904403,-0.919033296
abx_mega__tet_h2o__1,-1.1234453198,-1.3500222375
abx_mega__flavo_dmso__1,-0.5853047526,-0.0944608504
abx_mega__zeocin_h2o__1,1.2885633779,0.6655179959
abx_mega__nor_naoh__3,0.8220899526000001,0.2237272806
abx_mega__rach_dmso__2,2.0282631511,0.5655686312
abx_mega__thio_dmso__2,-3.4143480041,-1.9964862935
abx_mega__amyc-d_dmso__3,-3.1456005256,-1.6305600009
abx_mega__rif_dmso__2,0.7795927441,0.4720506887
abx_mega__amyc-d_dmso__4,1.5888067611,-0.49530854820000003
abx_mega__teix_dmso__3,0.7348141005000001,0.0929201516
abx_mega__valin_dmso__1,1.2596565812,0.105287958
abx_mega__teix_dmso__4,0.4176137688,0.08839582900000001
abx_mega__ethanol-10__1,2.2979794791,1.1451944752
abx_mega__inh_h2o__1,2.1723941089,0.454112669
abx_mega__rif_dmso__3,0.039833053300000004,-0.9692887776
abx_mega__van_dmso__3,-3.1663174642,-2.3196636178
abx_mega__doxo_dmso__1,4.7745437573,0.9312642226000001
abx_mega__tmp_dmso__1,-0.7239192090000001,0.1669239572
abx_mega__ethanol-10__2,4.4538110937,0.8435389637
abx_mega__tmp_dmso__2,-0.49533593680000004,0.1399575543
abx_mega__amyc-d_dmso__5,-3.2165718926,-1.579024708
abx_mega__novo_h2o__4,-0.21120332020000002,-0.4922423173
abx_mega__cro_h2o__2,1.7039444224,0.5326514096
abx_mega__cro_h2o__3,1.2377465813,0.34195672600000004
abx_mega__gen_h2o__2,-2.7743972907,-0.2107985705
abx_mega__phos_h2o__4,0.9939063195000001,1.5111211754
