,yabI
Cr_1,-0.0032215706410605445
Cr_2,-6.322955938913385e-05
Cr_3,0.005597840807417568
Cr_4,0.011316511238955529
Cr_5,0.011266721482414862
Cr_6,0.012294353783170831
Fe_1,-0.00966365973136683
Fe_2,-0.022904739786938442
Fe_3,-0.029553160567736887
Fe_4,-0.04106875603294845
Fe_5,-0.04421152509019657
Fe_6,-0.051987156588338815
Cd_1,0.0065964908088661425
Cd_2,0.013334338388122886
Cd_3,0.02036853687013463
Cd_4,0.026680291809432603
Cd_5,0.028490307945579437
Cd_6,0.037675154138060586
Zn_1,-0.001450464777889214
Zn_2,0.003439720761687985
Zn_3,0.017309743573324602
Zn_4,0.035251128857035616
Zn_5,0.05154447206555707
Zn_6,0.06474880677748518
Cu_1,0.004303115935442836
Cu_2,0.007047883096780993
Cu_3,0.009425514031279171
Cu_4,0.014372777811763684
Cu_5,0.021608371686118472
Cu_6,0.028124979813188074
Pb_1,0.005881514799519954
Pb_2,0.00993949394850172
Pb_3,0.018665757726644645
Pb_4,0.03228146270046139
Pb_5,0.0436819721934068
Pb_6,0.05370916882421066
