,ydhD
Cr_1,-0.007929774598246186
Cr_2,-0.01628111202893084
Cr_3,-0.025914422139409504
Cr_4,-0.03531698590551827
Cr_5,-0.046864941264020285
Cr_6,-0.058028825278241374
Fe_1,-0.04008298800382178
Fe_2,-0.07988683561511724
Fe_3,-0.109836109683446
Fe_4,-0.13483660915268394
Fe_5,-0.1476118750962091
Fe_6,-0.1610495566595875
Cd_1,0.002134251231439593
Cd_2,0.004263172695464526
Cd_3,0.008617898633506494
Cd_4,0.010102569294445885
Cd_5,0.010721901527845131
Cd_6,0.01720056707627322
Zn_1,0.032015565086641
Zn_2,-0.060885670165464985
Zn_3,-0.09192875330967737
Zn_4,-0.12597274540967815
Zn_5,0.014097654344537112
Zn_6,-0.11930318789648756
Cu_1,0.006368697070635707
Cu_2,0.009182571701109352
Cu_3,0.016050552981627997
Cu_4,0.022918870731401676
Cu_5,0.032511332178272845
Cu_6,0.03811547559602125
Pb_1,0.0031965904987511225
Pb_2,0.007866000600122032
Pb_3,0.017959783446637026
Pb_4,0.03473290317987132
Pb_5,0.04749796369927775
Pb_6,0.05911969339375199
