,yaiN
Cr_1,-0.007849249237773795
Cr_2,0.008913970847402588
Cr_3,0.02668709718327293
Cr_4,0.030173427887846407
Cr_5,0.03092272764379986
Cr_6,0.029366514194130226
Fe_1,-0.030343654699448355
Fe_2,-0.009277043649949076
Fe_3,0.012312710547679542
Fe_4,0.03793580087582042
Fe_5,0.06986220647714862
Fe_6,0.10367105996467024
Cd_1,0.009371299545518054
Cd_2,0.0180364211667973
Cd_3,0.03630156325433129
Cd_4,0.04845830122108388
Cd_5,0.05359865578268015
Cd_6,0.06413795026938063
Zn_1,-0.010398266870262086
Zn_2,0.004691562118871464
Zn_3,0.033888499543716304
Zn_4,0.06329297537606778
Zn_5,0.0844794153738977
Zn_6,0.15701221907937032
Cu_1,0.010471678593197205
Cu_2,0.007552805165101119
Cu_3,0.02417354997488813
Cu_4,0.029953012518432208
Cu_5,0.037000921141582106
Cu_6,0.0517265307452836
Pb_1,-0.002904313230170609
Pb_2,-0.0025512858155326552
Pb_3,0.01180170602322658
Pb_4,0.021612316650170268
Pb_5,0.031120010160194268
Pb_6,0.04123789679778422
