,A,GlpR
R2,,0.041943844206629666
xmin,,-3.687042556
xmid,,
xmax,,2.6445748131
ystart,,5.501087062263206
yend,,-3.194825098288207
aat__00m_00s__1,0.2732055762,0.3336421338
aat__00m_30s__1,-0.2476487404,0.1322853169
aat__01m_00s__1,-0.5076866564,0.1379898731
aat__02m_00s__1,-0.0851708917,-0.1586975422
aat__05m_00s__1,-0.4580678523,0.2136782605
aat__10m_00s__1,-0.5585295896,0.3339229168
aat__00m_00s__2,0.2981204324,-0.1369120458
aat__00m_30s__2,-0.6582543412,0.1840679837
aat__01m_00s__2,0.0860574357,0.26414496330000004
aat__02m_00s__2,-0.2221861862,0.2976973886
aat__05m_00s__2,-0.07646888810000001,0.49745057480000004
aat__10m_00s__2,0.8732636829,0.5138344154
aat__00m_00s__3,-0.5713260086,-0.19673008800000003
aat__00m_30s__3,-0.3247041067,0.19385847920000002
aat__01m_00s__3,-0.4641581951,0.2551159381
aat__02m_00s__3,-0.23800513410000002,0.0812067577
aat__05m_00s__3,0.5895489876000001,0.3435203826
aat__10m_00s__3,0.2601428073,0.34533108960000003
abx_mega__dmso-2__1,0.9180575806,1.0927577769
abx_mega__ery_dmso__1,-9.8220585318,0.5820894339
abx_mega__nal_naoh__1,1.5916206488,0.7684996548
abx_mega__dmso-5__1,-0.3407744615,-0.0875871288
abx_mega__rif_dmso__1,-5.279944743,0.3539827252
abx_mega__novo_h2o__1,-11.0749865208,-0.5285344437
abx_mega__rach_dmso__1,-2.3817015755,0.3928865637
abx_mega__metro_dmso__1,-2.4291888914,0.2413140604
abx_mega__dmso-6__1,-0.5304088989,0.047116248400000005
abx_mega__chl_h2o__1,-12.6639934009,0.7190244456
abx_mega__cst_h2o__1,1.1954369206,0.2991213554
abx_mega__tec_h2o__1,-4.4370772319,1.1501029825
abx_mega__str_h2o__1,-2.2668822824,0.329780507
abx_mega__ctx_h2o__1,1.6019772517000002,0.1734631499
abx_mega__nal_naoh__2,0.3616431404,-0.2563901807
abx_mega__phos_h2o__1,-0.522167811,-0.3659369467
abx_mega__dmso-5__2,-0.6591395171000001,0.0184306477
abx_mega__polmyx_h2o__1,2.0358650283,0.5416867159000001
abx_mega__h2o-8b__1,1.3890573046,0.09483661480000001
abx_mega__h2o-6__1,0.5840964556,0.0234963948
abx_mega__thio_dmso__1,-4.9955402546,0.8349246022
abx_mega__phos_h2o__2,1.777947796,-0.3175334094
abx_mega__ctx_h2o__2,0.9912619218000001,0.7257595673
abx_mega__lzd_dmso__1,-5.5493820232,0.23754655
abx_mega__naoh-9__1,1.2397975181,0.9390116536
abx_mega__dox_dmso__1,-3.1598539873,1.188360869
