,metA
Cr_1,0.007988004709945096
Cr_2,0.0183102145828308
Cr_3,0.027935917084456197
Cr_4,0.0361337412744828
Cr_5,0.041470429441232345
Cr_6,0.0477282634864325
Fe_1,-0.008190490297550871
Fe_2,-0.02121315382051306
Fe_3,-0.035045276137157896
Fe_4,-0.043068008580606096
Fe_5,-0.03824921993267273
Fe_6,-0.028900323386594724
Cd_1,0.009269989689280077
Cd_2,0.01595446446274785
Cd_3,0.02151623554810986
Cd_4,0.025680087448459874
Cd_5,0.027879439483641404
Cd_6,0.03412374645163032
Zn_1,-0.0012422958006989187
Zn_2,-0.005504129563214559
Zn_3,-0.0076049493103346345
Zn_4,-0.00658805133205724
Zn_5,-0.005816238869277234
Zn_6,-0.005598928266553122
Cu_1,0.006188778519526493
Cu_2,0.012136302689581342
Cu_3,0.021009982342416942
Cu_4,0.03123934182906728
Cu_5,0.04042499944965623
Cu_6,0.050050280704992116
Pb_1,0.009675587279240798
Pb_2,0.013546931698719572
Pb_3,0.021822036791280232
Pb_4,0.030394913973800876
Pb_5,0.037511321772187925
Pb_6,0.04674112036384162
