,condition,A_avg,A_std,n,rep1_idx,rep1_A
0,Cr__1,-0.001575445884373039,,1.0,0.0,-0.001575445884373039
1,Cr__2,-0.003359313898254186,,1.0,1.0,-0.003359313898254186
2,Cr__3,0.009763434873893856,,1.0,2.0,0.009763434873893856
3,Cr__4,0.0066143424622714525,,1.0,3.0,0.0066143424622714525
4,Cr__5,0.004798393030650914,,1.0,4.0,0.004798393030650914
5,Cr__6,0.014257869850844145,,1.0,5.0,0.014257869850844145
6,Fe__1,0.0999684467166662,,1.0,6.0,0.0999684467166662
7,Fe__2,0.06987889893352986,,1.0,7.0,0.06987889893352986
8,Fe__3,0.203985748142004,,1.0,8.0,0.203985748142004
9,Fe__4,-0.05084268305450678,,1.0,9.0,-0.05084268305450678
10,Fe__5,-0.17793772727251053,,1.0,10.0,-0.17793772727251053
11,Fe__6,-0.2313500989973545,,1.0,11.0,-0.2313500989973545
12,Cd__1,-0.006664615324698389,,1.0,12.0,-0.006664615324698389
13,Cd__2,-0.005436071436852217,,1.0,13.0,-0.005436071436852217
14,Cd__3,-0.017621742282062768,,1.0,14.0,-0.017621742282062768
15,Cd__4,-0.012813123716041446,,1.0,15.0,-0.012813123716041446
16,Cd__5,-0.021221950203180316,,1.0,16.0,-0.021221950203180316
17,Cd__6,-0.019986065942794083,,1.0,17.0,-0.019986065942794083
18,Zn__1,0.10529721982777117,,1.0,18.0,0.10529721982777117
19,Zn__2,0.3232641136646271,,1.0,19.0,0.3232641136646271
20,Zn__3,0.4843537583947182,,1.0,20.0,0.4843537583947182
21,Zn__4,1.1254776644706723,,1.0,21.0,1.1254776644706723
22,Zn__5,1.6255714249610902,,1.0,22.0,1.6255714249610902
23,Zn__6,-1.3132890117168428,,1.0,23.0,-1.3132890117168428
24,Cu__1,0.0022389534034300594,,1.0,24.0,0.0022389534034300594
25,Cu__2,0.019383611027151342,,1.0,25.0,0.019383611027151342
26,Cu__3,0.012114469017833472,,1.0,26.0,0.012114469017833472
27,Cu__4,-0.019013013783842327,,1.0,27.0,-0.019013013783842327
28,Cu__5,-0.028240230567753318,,1.0,28.0,-0.028240230567753318
29,Cu__6,-0.00886659000068903,,1.0,29.0,-0.00886659000068903
30,Pb__1,0.009363148440606893,,1.0,30.0,0.009363148440606893
31,Pb__2,0.012806790824979543,,1.0,31.0,0.012806790824979543
32,Pb__3,0.01717990847304464,,1.0,32.0,0.01717990847304464
33,Pb__4,0.030071935262531043,,1.0,33.0,0.030071935262531043
34,Pb__5,0.03744418177753687,,1.0,34.0,0.03744418177753687
35,Pb__6,0.048224769979715344,,1.0,35.0,0.048224769979715344
