,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A
0,ALE__GalactoseA5,5.962221444475405,0.1438100304612138,2.0,0.0,5.860532396733637,1.0,6.063910492217174,,,,
1,ALE__GalactoseA6,6.537965445549464,0.5490951797178676,2.0,2.0,6.149696520454114,3.0,6.926234370644814,,,,
2,ALE__GalactoseA8,9.603706905446199,0.2595770032512284,2.0,4.0,9.420158246207173,5.0,9.787255564685225,,,,
3,ALE__IL_Control,-4.57300863843102e-12,0.5340777066561612,4.0,6.0,-0.1954560453207459,7.0,-0.3992259669859948,8.0,-0.1932245878405487,9.0,0.7879066001289974
4,ALE__IL_TEOH_OAc,-1.3683721709128998,0.3238061492780206,2.0,10.0,-1.1394066469685078,11.0,-1.5973376948572915,,,,
5,ALE__IL_TEA_HS,-0.346777595949723,1.6508371384940403,2.0,12.0,0.8205405393140086,13.0,-1.5140957312134546,,,,
6,ALE__IL_Mixed,-2.3593681489014156,0.020463465434221534,2.0,14.0,-2.344898293726301,15.0,-2.3738380040765303,,,,
7,ALE__IL_PP5350,-0.8029967118283796,0.3225996458347282,2.0,16.0,-0.5748843146502648,17.0,-1.0311091090064946,,,,
8,ALE__IL_T8,-0.2579905105312321,0.1427761582622093,2.0,18.0,-0.358948500230204,19.0,-0.1570325208322602,,,,
9,ALE__IL_T9,2.709362305852076,1.0164290456979206,2.0,20.0,3.428086176660047,21.0,1.990638435044105,,,,
10,ALE__IL_Control2,-1.0233327910520909,0.6500725405003792,2.0,22.0,-0.5636620894011061,23.0,-1.4830034927030755,,,,
11,ALE__IL_Glc+Ace,-1.6703174021754634,0.4859944107207671,2.0,24.0,-2.013967345614878,25.0,-1.326667458736049,,,,
12,ALE__XyloseA1,6.665955132329665,0.20410946357043103,2.0,26.0,6.5216279465346645,27.0,6.810282318124665,,,,
13,ALE__XyloseA2,6.388646121143681,0.5046378320645019,2.0,28.0,6.031813288047593,29.0,6.745478954239768,,,,
14,ALE__XyloseA3,6.262074614418329,0.6053805760814314,2.0,30.0,6.690143324964128,31.0,5.83400590387253,,,,
15,ALE__XyloseA4,6.5258252098168,0.42557781730684613,2.0,32.0,6.826754170357041,33.0,6.22489624927656,,,,
16,Aromatic__Coumarate,0.5187048715732153,1.6690214637035625,3.0,34.0,-1.1913349371893187,35.0,0.6040134432857154,36.0,2.1434361086232494,,
