,A,AcoR
R2,,0.6165336649439184
xmin,,-4.177232893000001
xmid,,-3.646948100396652
xmax,,4.5656599333333325
ystart,,-7.657580886113987
yend,,8.787287797907629
ALE:GalactoseA5:1.0,5.860532396733637,3.5965220975000003
ALE:GalactoseA5:2.0,6.063910492217174,3.4412548155
ALE:GalactoseA6:1.0,6.149696520454114,2.8731592425
ALE:GalactoseA6:2.0,6.926234370644814,2.7193614935
ALE:GalactoseA8:1.0,9.420158246207173,3.2089908585
ALE:GalactoseA8:2.0,9.787255564685225,3.0553984655
ALE:IL_Control:1.0,-0.1954560453207459,-0.0670136795
ALE:IL_Control:2.0,-0.3992259669859948,-0.1335154775
ALE:IL_Control:3.0,-0.1932245878405487,0.2316930565000001
ALE:IL_Control:4.0,0.7879066001289974,-0.0311638995
ALE:IL_TEOH_OAc:1.0,-1.1394066469685078,0.6478062725
ALE:IL_TEOH_OAc:2.0,-1.5973376948572915,0.5659151284999999
ALE:IL_TEA_HS:1.0,0.8205405393140086,1.4585231395000005
ALE:IL_TEA_HS:2.0,-1.5140957312134546,0.1185840814999998
ALE:IL_Mixed:1.0,-2.344898293726301,0.8633614444999997
ALE:IL_Mixed:2.0,-2.3738380040765303,0.7888226375
ALE:IL_PP5350:1.0,-0.5748843146502648,-0.7662848035000001
ALE:IL_PP5350:2.0,-1.0311091090064946,-0.8835779105000001
ALE:IL_T8:1.0,-0.358948500230204,-0.4029454145
ALE:IL_T8:2.0,-0.1570325208322602,-0.1230462514999999
ALE:IL_T9:1.0,3.428086176660047,1.0903319925000003
ALE:IL_T9:2.0,1.990638435044105,1.0407555945000002
ALE:IL_Control2:1.0,-0.5636620894011061,-0.0703207665
ALE:IL_Control2:2.0,-1.4830034927030755,-0.4651672154999997
ALE:IL_Glc+Ace:1.0,-2.013967345614878,-0.3157524784999999
ALE:IL_Glc+Ace:2.0,-1.326667458736049,0.0962012725000001
ALE:XyloseA1:1.0,6.5216279465346645,3.2824396795000004
ALE:XyloseA1:2.0,6.810282318124665,3.4450646425
ALE:XyloseA2:1.0,6.031813288047593,3.5945208135
ALE:XyloseA2:2.0,6.745478954239768,3.8821725195
ALE:XyloseA3:1.0,6.690143324964128,3.7072366755
ALE:XyloseA3:2.0,5.83400590387253,3.7525540265
ALE:XyloseA4:1.0,6.826754170357041,3.2921100675000003
ALE:XyloseA4:2.0,6.22489624927656,3.2671781465
