,yfiF
Cr_1,0.0025159916288546237
Cr_2,0.0007019397494689361
Cr_3,-0.0011607442144524127
Cr_4,5.130606209689515e-05
Cr_5,0.003664833300874332
Cr_6,0.0015944551862943314
Fe_1,-0.00918552151669423
Fe_2,-0.018506231422856703
Fe_3,-0.023830244133914102
Fe_4,-0.02654915289758084
Fe_5,-0.02333137785895442
Fe_6,-0.016111847883525324
Cd_1,0.0021340511045720976
Cd_2,0.004848666751266535
Cd_3,0.00829002934687419
Cd_4,0.013627388458892184
Cd_5,0.015885375125873142
Cd_6,0.02396195056101672
Zn_1,-0.004222853916208594
Zn_2,-0.013611312317212208
Zn_3,-0.012682178477801679
Zn_4,-0.004201302961152794
Zn_5,0.008931364486602741
Zn_6,0.01984050888464649
Cu_1,0.010601700733496498
Cu_2,0.021757577636173718
Cu_3,0.03132081445403173
Cu_4,0.03645516120783735
Cu_5,0.04640686956565949
Cu_6,0.05941431066283648
Pb_1,0.0028658968159265053
Pb_2,0.009960968933358806
Pb_3,0.015030371827416225
Pb_4,0.020163573278520933
Pb_5,0.02746516590020456
Pb_6,0.014515388745423475
