,rfaZ
Cr_1,0.008936073495251422
Cr_2,0.02058190617930995
Cr_3,0.0332069242035384
Cr_4,0.04906912121269974
Cr_5,0.06381956853265858
Cr_6,0.07590468294095683
Fe_1,-0.012712598212395563
Fe_2,-0.030210040942266907
Fe_3,-0.043444515693672615
Fe_4,-0.06471162874813409
Fe_5,-0.07365411927815242
Fe_6,-0.08126115375434187
Cd_1,0.006264154264490293
Cd_2,0.012977389196818791
Cd_3,0.01885986515628257
Cd_4,0.02600370027147012
Cd_5,0.030582072142093762
Cd_6,0.03736192921047951
Zn_1,0.0056559825810774105
Zn_2,0.027452578799360267
Zn_3,0.04509374040424306
Zn_4,0.07091878747718451
Zn_5,0.10209507174678677
Zn_6,0.13843113416161926
Cu_1,0.006644542974034899
Cu_2,0.010263085607928732
Cu_3,0.014427940388626525
Cu_4,0.018726848793136797
Cu_5,0.027822212216400816
Cu_6,0.03349813920576528
Pb_1,-0.002014487277720516
Pb_2,0.0029686610189449576
Pb_3,0.0008498495661186789
Pb_4,-0.004290636299953788
Pb_5,-0.0052640772057252535
Pb_6,-0.006842678087975315
