,paaX
Cr_1,-0.0044678586031919425
Cr_2,-0.003418454935559822
Cr_3,0.0010765243557470726
Cr_4,0.012978372481123051
Cr_5,0.02583735437967735
Cr_6,0.03608606498806748
Fe_1,-0.019902462766022144
Fe_2,-0.05620113805771716
Fe_3,-0.0961537810566771
Fe_4,-0.1376431114110184
Fe_5,-0.1727716041826146
Fe_6,-0.2012097688164963
Cd_1,-0.007407675985592642
Cd_2,-0.00621864534993333
Cd_3,-0.0027108596793584717
Cd_4,0.0025949808543419065
Cd_5,0.005225631965922735
Cd_6,0.011045837904404896
Zn_1,0.013177338820096805
Zn_2,0.010675492655850213
Zn_3,0.020641938769910054
Zn_4,0.03002358463021798
Zn_5,-0.0460273873040506
Zn_6,-0.12252001169191548
Cu_1,0.01020829452648076
Cu_2,0.013646757548143106
Cu_3,0.021074444951608123
Cu_4,0.029347736345877444
Cu_5,0.04044770378147382
Cu_6,0.0513812618058318
Pb_1,0.0036015771595781297
Pb_2,0.008325558826161095
Pb_3,0.01874950790213849
Pb_4,0.03215687223406878
Pb_5,0.04367858314398099
Pb_6,0.052406865033174085
