,-0.21825178577068038,-0.189151547667923,-0.1600513095651656,-0.13095107146240823,-0.10185083335965084,-0.07275059525689345,-0.043650357154136066,-0.01455011905137868,0.014550119051378707,0.04365035715413612,0.07275059525689348,0.10185083335965084,0.13095107146240825,0.16005130956516567,0.18915154766792303,0.21825178577068038,0.2473520238734378,0.2764522619761952,0.3055525000789526,0.33465273818170993
thresh,-0.08730071430827216,0.08730071430827216,5,,,,,,,,,,,,,,,,,
unreg,0,0,0,0,0,4,43,1750,1665,54,7,0,1,0,0,0,0,0,0,0
IHF,0,0,0,0,0,0,4,66,69,6,0,0,0,0,0,0,0,0,0,0
Crp,0,0,0,0,0,1,10,216,230,5,1,0,0,0,0,0,0,0,0,0
IHF and Crp,0,0,0,0,0,0,0,48,23,1,0,0,0,0,0,0,0,0,0,0
"TdcR, IHF, Crp, and TdcA",1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],['yggM'],[],[],[],[],[],[],[]
IHF_genes,[],[],[],[],[],[],['nrfG' 'nrfE' 'pspE' 'narI'],"['dppC' 'yeiL' 'hycF' 'nuoN' 'carB' 'norW' 'proW' 'glnQ' 'ubiA' 'hycE'
 'nuoG' 'dppD' 'hycI' 'ilvM' 'nuoB' 'pspC' 'tyrP' 'ompC' 'nrfD' 'nrfA'
 'nuoC' 'cysJ' 'fimD' 'htrE' 'fimA' 'atoB' 'nuoA' 'nuoE' 'glcB' 'ihfB'
 'hypB' 'glcG' 'nrfF' 'pstA' 'glcF' 'ilvG' 'pspG' 'yjbE' 'yjbH' 'proX'
 'ssuC' 'pstC' 'hycC' 'glnP' 'yadV' 'prmC' 'nuoH' 'cysI' 'fimF' 'ihfA'
 'pspB' 'sufC' 'proV' 'uspA' 'cysH' 'rtcB' 'nuoL' 'atoE' 'uspB' 'hycG'
 'pspA' 'fimG' 'narJ' 'narK' 'nuoF' 'sufS']","['norV' 'nuoM' 'folA' 'ssuE' 'yjbG' 'hypC' 'tcyJ' 'hycH' 'hypA' 'ubiC'
 'glcA' 'phoU' 'pstB' 'nuoI' 'dps' 'fimI' 'fimB' 'sra' 'fnr' 'yjbF' 'narG'
 'glnH' 'sufA' 'dppF' 'prfA' 'ilvA' 'ulaG' 'hemF' 'hemA' 'hycB' 'ssuA'
 'patA' 'atoA' 'ibpB' 'rtcA' 'nuoK' 'sufB' 'hycA' 'hycD' 'ilvE' 'pstS'
 'glcE' 'amiA' 'mtr' 'sufD' 'atoD' 'fimC' 'sufE' 'hipA' 'nrfB' 'hypD'
 'osmE' 'hipB' 'dmsA' 'hypE' 'nuoJ' 'dppB' 'dmsC' 'fhlA' 'ssuB' 'ilvD'
 'dppA' 'glcD' 'ssuD' 'ndh' 'nrfC' 'carA' 'dcuD' 'fliZ']",['pspD' 'fimH' 'narH' 'fliA' 'dmsB' 'adiA'],[],[],[],[],[],[],[],[],[],[]
Crp_genes,[],[],[],[],[],['ptsG'],['lsrG' 'melA' 'dctA' 'fucK' 'yjhI' 'putP' 'nanA' 'dpiA' 'yjhG' 'melB'],"['fiu' 'malS' 'hicB' 'rpsI' 'chbC' 'fumB' 'fixC' 'rihA' 'chbA' 'argG'
 'rplM' 'tnaA' 'caiE' 'araD' 'gatY' 'glpA' 'ynfK' 'rof' 'fixB' 'uidC'
 'glpF' 'sgcQ' 'araF' 'yqeF' 'sgcX' 'mglC' 'srlD' 'feaR' 'sgcA' 'fadH'
 'lacZ' 'raiA' 'chbG' 'ugpE' 'entD' 'rbsD' 'ychH' 'fixA' 'puuR' 'rhaD'
 'chbF' 'crp' 'gatD' 'ascB' 'ugpB' 'agaV' 'prpR' 'rspB' 'malG' 'cirA'
 'caiD' 'nlpE' 'gcvP' 'araE' 'casD' 'ascF' 'cspE' 'aspA' 'srlB' 'glpX'
 'mtlD' 'cyaA' 'idnT' 'rpsF' 'mazF' 'ygeW' 'mlc' 'dgoK' 'lsrF' 'bglB'
 'focB' 'modA' 'deoB' 'ugpQ' 'mtlA' 'nadC' 'exuR' 'cyoC' 'tam' 'aaeR'
 'ntrC' 'fucO' 'zraS' 'sdhB' 'hofO' 'priB' 'fucU' 'fepA' 'aceF' 'yhcH'
 'rplI' 'uxuB' 'gntT' 'prpE' 'xylG' 'lacI' 'galS' 'dsdA' 'glpG' 'infB'
 'mhpB' 'lgoR' 'ptsH' 'arfB' 'fadD' 'gadX' 'rbsA' 'proP' 'preA' 'hofB'
 'yaeP' 'ppdD' 'yjhH' 'rpsR' 'dadX' 'hofN' 'dsdX' 'gatC' 'dadA' 'prpC'
 'malE' 'sdhA' 'lhgO' 'caiA' 'marR' 'nrdA' 'deoC' 'agaA' 'agaW' 'chbR'
 'rhaA' 'abgR' 'fucI' 'nagB' 'lacY' 'mhpC' 'malF' 'umpH' 'glnL' 'hfq'
 'yeiW' 'modB' 'deoD' 'nanK' 'malT' 'gadA' 'aceE' 'hicA' 'nanS' 'galM'
 'dcuB' 'preT' 'hflX' 'ebgA' 'gadB' 'rbfA' 'gntU' 'yaeQ' 'relA' 'ortT'
 'mhpE' 'serC' 'trxA' 'citE' 'sgcC' 'deoA' 'acnB' 'fecA' 'citD' 'nrdB'
 'ampE' 'gyrA' 'gatZ' 'fbaA' 'xylH' 'hyfR' 'bglF' 'yfaE' 'gabD' 'idnD'
 'rhaB' 'yahN' 'udp' 'aldA' 'ebgC' 'nagE' 'nanE' 'hyfD' 'citX' 'nanC'
 'xylR' 'crr' 'dgoR' 'ugpA' 'pnp' 'glgA' 'srlE' 'uidA' 'serA' 'hyfC'
 'uxuR' 'pgk' 'araB' 'hyfF' 'glpR' 'marA' 'treB' 'csiE' 'nanT' 'mtlR'
 'nusA' 'rmf' 'uxuA' 'csiD' 'rimP' 'lpd']","['aaeB' 'puuD' 'dksA' 'rbsB' 'mdtF' 'casC' 'cyoD' 'uxaA' 'araJ' 'galK'
 'bglG' 'xylA' 'idnR' 'glgP' 'chbB' 'cas2' 'glpD' 'mokB' 'hyfB' 'hupA'
 'caiC' 'ygeA' 'casE' 'fecC' 'hlyE' 'feaB' 'comR' 'mglA' 'btsT' 'sgcB'
 'gpsA' 'ygcW' 'cyoB' 'lsrR' 'hflK' 'marB' 'ldtB' 'puuE' 'sgcR' 'yhgH'
 'ampD' 'guaA' 'aaeA' 'sohB' 'ubiG' 'gcvH' 'rhaT' 'araA' 'speC' 'cas1'
 'modC' 'metK' 'cdd' 'puuB' 'uxaC' 'manZ' 'guaB' 'bhsA' 'cytR' 'citF'
 'gntK' 'hyfG' 'fecD' 'epd' 'manX' 'idnO' 'nagC' 'fur' 'murQ' 'mhpA'
 'gabP' 'aroA' 'melR' 'rpsO' 'ybiT' 'manY' 'manA' 'citC' 'cstA' 'hflC'
 'glcC' 'rhaR' 'xylE' 'pncB' 'sbmC' 'xylB' 'aldB' 'rspA' 'araG' 'gadC'
 'fumC' 'mpl' 'xylF' 'citG' 'ykgR' 'glpK' 'ppiA' 'entB' 'csqR' 'puuC'
 'fecB' 'cyoE' 'grpE' 'srlR' 'malI' 'gadE' 'sdhC' 'ptsI' 'aegA' 'mhpF'
 'pdhR' 'nagA' 'araC' 'gatB' 'lsrK' 'oxyR' 'uhpT' 'fucR' 'uxaB' 'trg'
 'lsrB' 'entH' 'gatA' 'prpD' 'mhpD' 'fucA' 'lgoD' 'glgS' 'ilvB' 'dpiB'
 'tsx' 'lsrA' 'zraR' 'kbaZ' 'lsrD' 'chiQ' 'nanM' 'hyfH' 'hyfE' 'acnA'
 'entE' 'secB' 'malX' 'sfsA' 'sdhD' 'casA' 'yeiP' 'rbsK' 'caiT' 'hupB'
 'hofM' 'fumA' 'grcA' 'agp' 'cspD' 'mazE' 'mdtE' 'caiF' 'aaeX' 'lsrC'
 'mhpR' 'dgoA' 'entA' 'gdhA' 'entC' 'rpoS' 'araH' 'gcvT' 'gabT' 'glnA'
 'aer' 'glpE' 'ilvN' 'nfuA' 'galE' 'malK' 'ugpC' 'rhaS' 'mdh' 'glpB'
 'malM' 'ycdZ' 'ompW' 'patZ' 'idnK' 'ompA' 'cyoA' 'gutQ' 'treC' 'glgC'
 'psuK' 'galP' 'casB' 'malY' 'hyfI' 'fadL' 'dcuA' 'srlA' 'dgoT' 'gapA'
 'dcuR' 'chiP' 'caiB' 'pck' 'uidB' 'truB' 'hyfJ' 'exuT' 'lamB' 'galT'
 'psuG' 'murP' 'gntP' 'lacA' 'rbsR' 'cpdB' 'narQ' 'cas3' 'psiE' 'mglB'
 'prpB' 'rbsC' 'sgcE' 'xseA' 'fucP' 'yhfA' 'dgoD' 'fecE' 'hofC' 'gutM']",['nupG' 'glpC' 'hyfA' 'tnaB' 'nupC'],['ansB'],[],[],[],[],[],[],[],[],[]
IHF and Crp_genes,[],[],[],[],[],[],[],"['ulaE' 'paaA' 'gltF' 'ulaF' 'yiaO' 'ulaC' 'gcd' 'ulaB' 'ompR' 'lyxK'
 'nirB' 'gltD' 'envZ' 'aceK' 'csgD' 'rseD' 'ulaD' 'glpQ' 'fis' 'ulaA'
 'cysG' 'paaK' 'gltB' 'plaR' 'rseA' 'sgbE' 'yiaL' 'focA' 'yjcH' 'sucA'
 'dusB' 'rpoH' 'sgbU' 'paaB' 'rseB' 'acs' 'rseC' 'sucD' 'csgE' 'paaC'
 'hpt' 'paaG' 'pflB' 'aceB' 'flhC' 'osmY' 'actP' 'sucB']","['csgF' 'csgG' 'flhD' 'paaJ' 'glpT' 'yiaK' 'sucC' 'sodB' 'gltA' 'rpoE'
 'yiaM' 'paaE' 'paaF' 'paaD' 'aceA' 'yiaN' 'paaI' 'ompF' 'nirD' 'sgbH'
 'paaZ' 'sodA' 'paaH']",['nirC'],[],[],[],[],[],[],[],[],[],[]
