sample,BSU_tRNA_51
LBexp_1,13.5138
LBexp_2,13.5832
LBexp_3,12.72
LBtran_1,11.1433
LBtran_2,12.3119
LBtran_3,11.0652
LBstat_1,10.6993
LBstat_2,10.2525
LBstat_3,11.2753
LBGexp_1,14.0292
LBGexp_2,12.4836
LBGexp_3,13.4507
LBGtran_2,10.1708
LBGtran_3,12.5627
LBGstat_1,12.585
LBGstat_2,12.8199
LBGstat_3,12.1273
S0_1,12.7853
S0_2,12.9082
S0_3,13.3796
S1_1,12.6855
S1_2,13.7566
S1_3,12.5802
S2_1,10.8171
S2_2,10.9169
S2_3,10.2487
S3_1,12.2548
S3_2,12.1853
S4_1,11.986
S4_2,11.3862
S4_3,11.3765
S5_1,10.7326
S5_2,11.0123
S5_3,11.315
S6_1,10.1949
S6_2,8.2976
S6_3,9.9174
S6/t_1,10.4308
S6/t_2,8.3597
S6_4,11.3119
S6_5,10.9318
S6_6,10.9075
S7_4,11.5533
S7_5,11.0073
S7_6,11.5045
S8_4,11.6394
S8_5,11.1408
G135_1,13.7195
G135_3,13.1741
G150_1,12.8327
G150_2,13.9471
G150_3,12.3344
G180_1,13.1632
G180_2,13.7274
G180_3,13.8777
C30_1,12.9887
C30_2,13.3651
C90_1,11.9481
C90_2,11.7298
BI_1,10.9213
BI_2,11.5808
BC_2,10.7818
BC/t_1,10.2238
BC/t_2,11.0473
BC_1,9.8288
Sw_1,9.9855
Sw_2,10.5483
BT_1,10.5389
BT_2,9.2851
B36_1,9.6741
B36_2,9.6723
B60_1,9.777
B60_2,10.9736
M9exp_1,14.5626
M9exp_2,13.6293
M9exp_3,13.2363
M9tran_1,13.3861
M9tran_2,13.4128
M9tran_3,13.1091
M9stat_1,10.7849
M9stat_2,10.5972
M9stat_3,11.1001
M+G_1,11.7923
M+G_2,13.6859
M+G_3,12.8835
Glu_1,13.6883
Glu_2,13.3694
Glu_3,14.1793
Fru_1,14.3455
Fru_2,14.0718
Fru_3,12.5502
Mal_1,11.4947
Mal_2,13.7338
Mal_3,12.144
G+S_2,12.0662
G+S_3,12.8051
Pyr_1,12.1338
Pyr_2,13.0793
Pyr_3,12.6319
Gly_1,11.5197
Gly_2,13.1312
Gly_3,11.6811
Glucon_1,12.4719
Glucon_2,12.5299
Glucon_3,13.0574
aero_1,13.8936
aero_2,11.8476
aero_3,13.6489
nit_1,13.3903
nit_2,13.8972
nit_3,12.5435
ferm_1,11.995
ferm_2,13.2402
ferm_3,12.7909
T-5.40H_1,13.8285
T-4.40H_1,13.4494
T-3.40H_1,14.3068
T-2.40H_1,13.2025
T-1.40H_1,13.3377
T-1.10H_1,13.0603
T-0.40H_1,12.8058
T0.0H_1,12.8259
T0.30H_1,11.7702
T1.0H_1,12.1878
T1.30H_1,11.1322
T2.0H_1,12.0426
T2.30H_1,11.6282
T3.0H_1,12.5663
T3.30H_1,11.9173
T4.0H_1,12.1187
T5.0H_1,12.0112
HPh_1,13.5656
HPh_2,13.3226
HPh_3,13.7356
LPh_1,13.0255
LPh_2,13.3436
LPh_3,13.1691
LPhT_1,12.4667
LPhT_2,12.2674
LPhT_3,12.5411
SMMPr_1,13.0621
SMMPr_2,12.4492
SMMPr_3,12.4781
HiTm_1,11.1802
HiTm_2,13.6327
HiTm_3,14.0496
LoTm_1,11.4326
LoTm_2,10.9785
LoTm_3,11.4717
HiOs_1,12.8609
HiOs_2,12.8103
HiOs_3,13.025
BMM_1,13.9743
BMM_2,13.6931
BMM_3,13.704
Heat_1,14.1719
Heat_2,14.2264
Heat_3,13.6092
Cold_1,14.3776
Cold_2,13.7048
Cold_3,13.9402
Etha_1,11.1537
Etha_2,11.2975
Etha_3,10.8283
SMM_1,13.2494
SMM_2,13.8086
SMM_3,13.3893
Salt_1,12.9239
Salt_2,12.6644
Salt_3,12.7928
Mt0_1,14.4099
Mt0_3,13.624
M0t45_1,11.6052
M0t45_2,13.0482
M0t45_3,12.0043
M0t90_1,9.8748
M0t90_2,11.2826
M0t90_3,9.2448
M40t45_1,10.4889
M40t45_2,10.8444
M40t45_3,12.7262
M40t90_1,9.9819
M40t90_2,10.739
M40t90_3,10.1252
dia0_1,13.2816
dia0_2,12.8149
dia0_3,13.2723
dia5_1,12.0312
dia5_2,12.1126
dia5_3,12.6516
dia15_1,12.2341
dia15_2,13.3169
dia15_3,12.5596
Diami_1,12.5531
Diami_2,12.4471
Diami_3,13.2527
Paraq_1,14.01
Paraq_2,14.2592
Paraq_3,12.0163
H2O2_1,12.4778
H2O2_2,13.0292
H2O2_3,12.6966
Oxctl_1,13.998
Oxctl_2,13.2044
Oxctl_3,14.3724
GM-0.1_1,13.4166
GM-0.2_1,13.5614
GM+5_1,13.9008
GM+15_1,13.7557
GM+25_1,14.087
GM+45_1,14.2952
GM+60_1,13.9535
GM+90_1,13.9674
GM+120_1,13.8588
GM+150_1,13.2116
GM-0.1_2,13.7045
GM-0.2_2,13.081
GM+5_2,13.4358
GM+10_2,13.4902
GM+15_2,13.2776
GM+25_2,13.4879
GM+45_2,13.4986
GM+60_2,13.3808
GM+90_2,13.2184
GM+150_2,12.5288
GM-0.1_3,13.2681
GM-0.2_3,13.1506
GM+5_3,13.771
GM+10_3,12.4694
GM+15_3,13.6696
GM+25_3,14.6837
GM+45_3,14.3169
GM+60_3,14.1214
GM+90_3,12.6882
GM+120_3,14.709
GM+150_3,12.8066
MG-0.1_1,13.8725
MG+5_1,14.4564
MG+10_1,14.1549
MG+15_1,12.9104
MG+25_1,13.1342
MG+45_1,15.0082
MG+120_1,13.521
MG+150_1,13.2827
MG-0.1_2,13.0715
MG-0.2_2,13.2219
MG+5_2,13.1617
MG+10_2,13.6783
MG+15_2,13.3274
MG+25_2,13.7017
MG+45_2,12.8597
MG+60_2,13.9597
MG+90_2,13.1222
MG+120_2,12.7538
MG-0.1_3,14.6925
MG-0.2_3,14.3716
MG+5_3,13.0569
MG+10_3,13.9974
MG+15_3,14.2278
MG+25_3,13.8939
MG+45_3,14.0692
MG+60_3,13.6658
MG+90_3,13.602
MG+120_3,12.7809
