,yidR
Cr_1,0.006358699282537561
Cr_2,0.01828909143107175
Cr_3,0.01990608056278009
Cr_4,0.01979726206435636
Cr_5,0.023213177788911857
Cr_6,0.025208797929404603
Fe_1,-0.00914681761949945
Fe_2,-0.015840256662158374
Fe_3,-0.014881123919924187
Fe_4,-0.01254531585675378
Fe_5,-0.0016490537203279515
Fe_6,0.0030083502666780142
Cd_1,0.005671666393428099
Cd_2,0.008172641782441354
Cd_3,0.014344011251058282
Cd_4,0.012360521789971584
Cd_5,0.011297861677093457
Cd_6,0.013400973681789807
Zn_1,0.0026488471214441665
Zn_2,0.0056496870924075855
Zn_3,0.02466836429358283
Zn_4,0.05187933697730738
Zn_5,0.07466427672716633
Zn_6,0.08844861486030522
Cu_1,0.0019249655260233478
Cu_2,0.007699627929860933
Cu_3,0.015072823384388584
Cu_4,0.01786944929390876
Cu_5,0.02322727892863293
Cu_6,0.02576358556652833
Pb_1,-0.00530362249884279
Pb_2,-0.014584825864080568
Pb_3,-0.020715850795334192
Pb_4,-0.02748834215269947
Pb_5,-0.0345419738129653
Pb_6,-0.04642738344673895
