,A,ArcA
R2,,0.03434338538642645
xmin,,8.3328685683
xmid,,9.277940987541232
xmax,,12.2565571494
ystart,,1.8071239048707053
yend,,5.337944510885574
control__wt_glc__1,0.7622583429,9.5479930658
control__wt_glc__2,-0.7622583429,9.560288983
fur__wt_dpd__1,2.6196228158,10.7374775471
fur__wt_dpd__2,2.900696292,10.7886125931
fur__wt_fe__1,3.120724023,9.4700786461
fur__wt_fe__2,2.743634295,9.423209214
fur__delfur_dpd__1,1.9898026444,10.7297105229
fur__delfur_dpd__2,1.5558353266,10.7280613656
fur__delfur_fe2__1,1.7824997247,9.5621983963
fur__delfur_fe2__2,1.530811017,9.5345241815
acid__wt_ph5__1,3.6891805914,10.5650626937
acid__wt_ph5__2,3.8303535105,10.553854197
acid__delgadx_ph5__1,3.5609663791,10.3300999919
acid__delgadx_ph5__2,3.7657161086,10.3653100124
acid__delgadw_ph5__1,3.98662316,10.465560448
acid__delgadw_ph5__2,3.7507649981,10.5032229928
acid__delgade_ph5__1,3.3670210215,10.1320188512
acid__delgade_ph5__2,3.3705690718,10.1277398444
oxidative__wt_pq__1,5.5635044715,11.9407374916
oxidative__wt_pq__2,5.0295115805,11.9176245336
oxidative__deloxyr_pq__1,5.0131120394,11.928162146
oxidative__deloxyr_pq__2,4.9622045378,11.9204286896
oxidative__delsoxr_pq__1,4.4820921306,11.9436789759
oxidative__delsoxr_pq__2,4.9602078888,11.8525851945
oxidative__delsoxs_pq__1,5.2408940491,12.1477377007
oxidative__delsoxs_pq__2,5.0521119145,12.2221403339
nac_ntrc__wt_csn__1,1.9572128688000001,10.0818153171
nac_ntrc__wt_csn__2,1.2901026714000001,10.0457114048
nac_ntrc__wt_cytd__1,2.8157655239,9.7642578442
nac_ntrc__wt_cytd__2,2.47421736,9.7538856783
nac_ntrc__wt_gln__1,3.4616996358,10.4220642014
nac_ntrc__wt_gln__2,3.5221898185000002,10.3535071322
nac_ntrc__bw_delnac_csn__1,3.4292210125,10.5091789181
nac_ntrc__bw_delnac_csn__2,2.7019585978,10.5563581874
nac_ntrc__bw_delnac_cytd__1,1.6385861866,10.5355345426
nac_ntrc__bw_delnac_cytd__2,1.7822796300000001,10.5365672151
nac_ntrc__bw_delnac_gln__1,4.0083456859,11.3144949683
nac_ntrc__bw_delnac_gln__2,3.638577427,11.258541373
nac_ntrc__bw_delnac_nh4__1,-0.4328877142,10.1220919873
nac_ntrc__bw_delnac_nh4__2,-0.6249232069,10.1448629532
misc__wt_no_te__1,2.2503087477,10.7323987651
misc__wt_no_te__2,0.21984763740000002,10.4211605142
misc__bw_delcbl__1,0.27794671330000004,9.94079791
misc__bw_delcbl__2,0.5339513576,9.8831340714
misc__bw_delfabr__1,0.1011363613,9.5789113877
misc__bw_delfabr__2,0.2800933178,9.5494395717
misc__bw_delfadr__1,0.0283052072,10.4804400149
misc__bw_delfadr__2,0.17393765290000002,10.4623214535
misc__nitr_031__1,4.7309299564,11.1330795605
omics__wt_glu__1,1.6671768146,9.4962027824
omics__wt_glu__2,2.3328310447,9.5198653778
omics__wt_gly__1,2.684678146,9.3420102931
omics__wt_gly__2,3.5655292285,9.383765921
omics__wt_thr__1,7.9679344649,9.5985125502
omics__wt_thr__2,5.8071831879,9.6666433666
omics__bw_ac__1,0.3944819865,9.5564040117
omics__bw_ac__2,0.0702707748,9.5354802962
omics__bw_fum__1,2.3015639292,9.63252619
omics__bw_fum__2,2.0212930571,9.6289592524
omics__bw_glc__1,4.5425474928,9.7686212303
omics__bw_glc__2,3.1488104425,9.7754081889
omics__bw_pyr__1,1.1918266216,9.3082459874
omics__bw_pyr__2,1.2270050296,9.2778917337
ompr__wt_nacl__1,4.6589312851999996,11.7451337721
ompr__wt_nacl__2,4.9151626128,11.6837121402
ompr__bw_delompr_nacl__1,4.8350188553999995,11.2198273531
ompr__bw_delompr_nacl__2,5.2477832047,11.2921771825
minspan__wt_ade__1,2.7904150367,9.738883324
minspan__wt_glc__1,0.9455329147,9.7510471494
minspan__wt_glc__2,1.7308124462999999,9.8002891248
minspan__wt_glc__3,1.3683119635,9.6922558138
minspan__wt_glc__4,1.4569034283,9.7475995335
minspan__wt_glc_anaero__1,34.5429348294,10.1795742742
minspan__wt_glc_anaero__2,37.6619856485,9.9858296818
minspan__wt_trp__1,8.4366179455,9.6761309403
minspan__bw_delcra_glc__1,2.3718657271,9.843718953
minspan__bw_delcra_glc__2,2.3193916294,9.8355971443
minspan__bw_delcra_trp__1,12.9550646608,9.8692886365
minspan__bw_delmntr__1,4.7366847955,9.8273054451
minspan__bw_delnac_ade__1,3.6141758407999998,9.3658280821
minspan__bw_delnac_glc__1,4.4802368897000004,9.7700320957
cra_crp__wt_ac__1,2.4498452663,9.7677150012
cra_crp__wt_ac__2,1.4943412425,9.7227176231
cra_crp__wt_fru__1,0.6025989527,9.4615105741
cra_crp__wt_fru__2,0.7605021191,9.5116502089
cra_crp__delcra_ac__1,1.1854782214,9.839425164
cra_crp__delcra_ac__2,1.876900273,9.8813648077
cra_crp__delcra_fru__1,1.2983663797,10.1637846963
cra_crp__delcra_fru__2,1.7707100816999999,10.1540404456
cra_crp__delcra_glc__1,0.9272934573,9.8171420205
cra_crp__delcra_glc__2,0.9115734136,9.7954409958
rpoB__wt_031__1,2.7201573306,9.9054707513
rpoB__wt_044__1,4.208811755,10.0443543201
rpoB__wt_lb__1,2.0015216007,11.1660366743
rpoB__wt_lb__2,1.3010119737,11.1116778855
rpoB__rpoBE546V_031__1,3.9903184676,10.2566773405
rpoB__rpoBE546V_044__1,2.6218931612,10.1069538938
rpoB__rpoBE546V_lb__1,2.1380306265,10.827666197
rpoB__rpoBE546V_lb__2,1.7628475606,10.7458427874
rpoB__rpoBE546V_glc__1,0.6852814029000001,9.4076956592
rpoB__rpoBE672K_glc__1,-1.4784465916,9.2728801171
rpoB__rpoBE672K_glc__2,-1.6250520117,9.3394883579
rpoB__rpoBE672K_lb__1,-0.26231523770000004,9.8311947101
rpoB__rpoBE672K_lb__2,0.6289552199,9.8703728985
crp__wt_fru__1,1.6018603042000001,9.3320605044
crp__wt_glyc__1,0.8090142867000001,9.4778869026
crp__wt_glyc__2,0.4979398143,9.3756306127
crp__delar1_glyc__1,1.8238981093,10.289864189
crp__delar1_glyc__2,2.1577166032,10.3888276055
crp__delar1ar2_glyc__1,2.9199189749,10.3675464246
crp__delar1ar2_glyc__2,2.4691941344,10.4234181273
crp__delar1ar2_glyc__3,2.6984019504,10.3676975111
crp__delar2_glyc__1,5.4460191,9.7620913888
crp__delar2_glyc__2,5.3009767519,9.7962748534
crp__delar2_glyc__3,6.1828532888,9.9068529243
crp__delcrp_fru__1,4.4082742184,11.0219895662
crp__delcrp_fru__2,3.4812244959,10.9547673186
crp__delcrp_fru__3,3.8423774331000002,11.0532050212
crp__delcrp_glc__1,4.4946677298,10.9683207583
crp__delcrp_glc__2,4.2294236275,10.9820453665
crp__delcrp_glc__3,4.1859571167,11.0125974402
crp__delcrp_glyc__1,0.6375340949,10.6151505333
crp__delcrp_glyc__2,0.5840584833,10.7001796819
crp__delcrp_glyc__3,1.3749519991999999,10.6148716238
glu__glu_ale3__1,2.6013434861,10.3826747485
glu__glu_ale4__1,-0.6720718131,9.4359351241
glu__glu_ale5__1,0.0303120619,9.6061515007
