,-0.19264372029946872,-0.17236543395215623,-0.15208714760484374,-0.13180886125753125,-0.11153057491021875,-0.09125228856290626,-0.07097400221559377,-0.05069571586828128,-0.03041742952096879,-0.010139143173656301,0.01013914317365619,0.03041742952096868,0.05069571586828117,0.07097400221559366,0.09125228856290615,0.11153057491021864,0.13180886125753113,0.15208714760484363,0.17236543395215612,0.1926437202994686
thresh,-0.08111314538924999,0.08111314538924999,2,,,,,,,,,,,,,,,,,
unreg,0,0,0,0,0,0,3,19,121,1746,1671,108,17,8,5,1,1,1,0,0
ArcA,1,0,0,1,1,6,4,1,18,90,74,14,4,0,2,4,2,0,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],['nrfD' 'nrfA' 'modA' 'hycF' 'caiF'],['nrfB'],['yghW'],['hycA'],[],[]
ArcA_genes,['ompW'],[],[],['grcA'],['ndh'],['cyoA' 'cyoB' 'cydA' 'cyoD' 'cyoC' 'cydB'],['cyoE' 'sodA' 'putA' 'mqo'],['fadL'],"['sdhD' 'mdh' 'aceE' 'aceF' 'sdhA' 'osmY' 'lpd' 'icd' 'citF' 'acnB' 'betI'
 'pflB' 'cydC' 'argT' 'yncE' 'sdhC' 'yhjE' 'ypdA']","['gadX' 'fumA' 'aldA' 'treC' 'rmf' 'cydD' 'betA' 'glpB' 'yfiF' 'betB'
 'ndk' 'ackA' 'potF' 'msrB' 'glpC' 'sdhB' 'fnr' 'gatY' 'acnA' 'dppA'
 'dcuC' 'kgtP' 'sstT' 'rpmC' 'xylR' 'tpx' 'fumC' 'fadI' 'yncD' 'thrA'
 'fumB' 'rpsS' 'gatZ' 'betT' 'rutE' 'ssb' 'thiC' 'rutC' 'ptsG' 'rplC'
 'nupC' 'rpsJ' 'igaA' 'putP' 'ynaJ' 'ydeA' 'appY' 'dsbB' 'dcuA' 'rplB'
 'glpE' 'treB' 'cadB' 'rutG' 'phoH' 'rpsC' 'focA' 'aceA' 'xthA' 'rutB'
 'rplD' 'rpoS' 'rho' 'rplW' 'glcE' 'gadE' 'rutD' 'rplP' 'dpiB' 'fadH'
 'argR' 'uvrA' 'dcuB' 'nuoM' 'manA' 'nuoL' 'rsd' 'pepN' 'ubiA' 'glcC'
 'yieE' 'yigI' 'moeA' 'aceK' 'yhgE' 'pncB' 'ybiU' 'nuoK' 'nuoJ' 'glcB']","['prfA' 'nuoG' 'gadA' 'feoA' 'glpA' 'rpsQ' 'glcA' 'ybfA' 'csiD' 'citC'
 'sucC' 'nuoF' 'sucD' 'ydgC' 'cadA' 'lldD' 'gatA' 'nuoN' 'sucA' 'folE'
 'sthA' 'fadD' 'pldA' 'dctA' 'rutA' 'acpP' 'moeB' 'puuB' 'nudE' 'gltA'
 'carA' 'dpiA' 'sucB' 'rplV' 'pntA' 'hemA' 'puuP' 'caiT' 'lldP' 'caiB'
 'aceB' 'cycA' 'fadJ' 'lldR' 'prmC' 'nuoC' 'glcG' 'nuoI' 'nuoE' 'glpD'
 'yeiQ' 'nuoH' 'caiC' 'caiA' 'rhaT' 'puuE' 'fadE' 'caiD' 'glcD' 'rutF'
 'nuoB' 'ubiC' 'puuR' 'ybdN' 'arcA' 'rstA' 'puuA' 'glcF' 'yejG' 'nuoA'
 'kdpA' 'yjiR' 'puuC' 'oppA']","['puuD' 'oppB' 'fadA' 'hybE' 'gatB' 'hybD' 'gatD' 'hybC' 'oppD' 'oppC'
 'hybF' 'hybO' 'oppF' 'fadB']",['hybB' 'hybG' 'appA' 'hybA'],[],['appB' 'appC'],['hyaA' 'hyaD' 'hyaC' 'hyaF'],['hyaE' 'hyaB'],[],[],[]
