,A,AlsR
R2,,0.21172586645461722
xmin,,-3.8932346448
xmid,,0.2549452745665004
xmax,,2.691234549
ystart,,0.5794148711554026
yend,,9.277604689783615
aat__00m_00s__1,0.5146031393,-0.0174163007
aat__00m_30s__1,-0.6990270476,-0.18068059590000002
aat__01m_00s__1,-0.334495366,-0.372234679
aat__02m_00s__1,-1.1756490053,-0.6117953525000001
aat__05m_00s__1,-1.0734740831,-0.9175350063000001
aat__10m_00s__1,-2.3104758847,-0.7099837875
aat__00m_00s__2,0.3811385983,0.1289378287
aat__00m_30s__2,-1.3415041181,-0.10612418350000001
aat__01m_00s__2,-0.6594930815000001,-0.36865779870000004
aat__02m_00s__2,-1.3734770524,-0.5365763876
aat__05m_00s__2,-1.4406229586000001,-0.5512279355
aat__10m_00s__2,-1.0069057617,-0.3187976461
aat__00m_00s__3,-0.8957417375000001,-0.11152152800000001
aat__00m_30s__3,-0.46202054670000003,0.1709231048
aat__01m_00s__3,-0.8119832220000001,-0.3212031883
aat__02m_00s__3,-0.9619062935,-0.49294727580000003
aat__05m_00s__3,-0.9776238899,-0.6775587075
aat__10m_00s__3,-1.586127639,-0.47626121120000003
abx_mega__dmso-2__1,-0.3807510804,-0.0928218287
abx_mega__ery_dmso__1,1.8515017946,-0.8855887723
abx_mega__nal_naoh__1,1.0019964415,-0.5535338138
abx_mega__dmso-5__1,1.2446651783,0.17183534820000002
abx_mega__rif_dmso__1,1.8917696156,0.20932708800000002
abx_mega__novo_h2o__1,3.5770733307,-1.5771368201
abx_mega__rach_dmso__1,0.2627783125,-0.037066209100000004
abx_mega__metro_dmso__1,0.8049990169,0.4333901745
abx_mega__dmso-6__1,-0.8192653156,-0.09666391190000001
abx_mega__chl_h2o__1,1.4744451982,-1.7410738590000001
abx_mega__cst_h2o__1,1.7425151367,-0.21516297310000002
abx_mega__tec_h2o__1,3.7217504587,-0.7508604794
abx_mega__str_h2o__1,0.43401859260000003,0.1757146236
abx_mega__ctx_h2o__1,2.2733131795,-0.1292492886
abx_mega__nal_naoh__2,0.0270799582,0.1415680364
abx_mega__phos_h2o__1,4.7353069244,0.0203218912
abx_mega__dmso-5__2,0.39126427620000004,0.1558429469
abx_mega__polmyx_h2o__1,2.2213606371,0.07657683480000001
abx_mega__h2o-8b__1,2.2050101739,-0.2172335538
abx_mega__h2o-6__1,0.1209006777,-0.0322015471
abx_mega__thio_dmso__1,0.07029657610000001,-1.6589279553
abx_mega__phos_h2o__2,2.0750324135,-0.4226603479
abx_mega__ctx_h2o__2,3.6483847466,-0.5956249704000001
abx_mega__lzd_dmso__1,0.8300046622,-1.1533193923
abx_mega__naoh-9__1,1.4713165696,0.07896677740000001
abx_mega__dox_dmso__1,-0.1893635972,-1.4739881363
abx_mega__phos_ethanol__1,1.0560112606,-0.31246347760000004
abx_mega__teix_dmso__1,0.7937403203000001,-0.5288602828
abx_mega__dmso-10__1,0.1352356995,-0.5427373428
abx_mega__van_dmso__1,-0.9512782026000001,-2.2638200015
abx_mega__ramo_h2o__1,2.8443585471,-0.44432179200000005
abx_mega__tec_h2o__2,2.630667704,-0.2466443141
abx_mega__h2o-7__1,2.9105740883,-0.6867534193
abx_mega__cro_h2o__1,3.3440949704,-0.2380974596
abx_mega__tric_ethanol__1,1.0739295172,0.0006216698
abx_mega__nor_naoh__1,0.7787430016,-0.24285206310000002
abx_mega__teix_dmso__2,2.0410834465,0.1790411718
abx_mega__nal_naoh__3,-0.1283878544,-0.0104390918
abx_mega__novo_h2o__2,2.8128168748,-2.3457224652
abx_mega__dmso-10__2,0.2525174422,-0.4447516722
abx_mega__phos_h2o__3,1.0066680593,0.0812450842
abx_mega__dmso-6__2,0.3005214933,0.1432056288
abx_mega__rfp_ethanol__1,-1.1670414414,-0.9715547205
abx_mega__dmso-5__3,0.6704654591,-0.35036571790000004
abx_mega__amyc-d_dmso__1,3.3691287247,-0.1868871077
abx_mega__sxt_dmso__1,1.0419413731,-1.1537893025
abx_mega__dmso-1__1,0.7647948098,0.3241088936
abx_mega__pen_h2o__1,2.6455008876,0.2500761898
abx_mega__dmso-10__3,-0.19545956990000002,-0.5335377290000001
abx_mega__nal_naoh__4,1.7915994284,-0.3694674248
abx_mega__cip_naoh__1,1.7247430562,-0.0941063891
abx_mega__pen_h2o__2,2.2083859386,0.0510802038
abx_mega__ery_dmso__2,4.2952664376,-0.5935720727
abx_mega__dmso-2__2,-2.1450589214,-0.1143668562
abx_mega__van_dmso__2,-0.0629324844,-1.8507467095
abx_mega__h2o-1b__1,1.3870280177,-0.1508553186
abx_mega__ery_h2o__1,0.0784763903,-1.3561245526
abx_mega__bacit_h2o__1,1.9643638145,-1.6218724038999999
abx_mega__chl_h2o__2,0.9893785714000001,-1.7176906419
abx_mega__str_h2o__2,1.1834506012000001,0.36681885670000003
abx_mega__rfp_ethanol__2,2.6036802553,-0.6784444248
abx_mega__polmyx_h2o__2,3.4809525259000003,-0.35821188930000003
abx_mega__tric_h2o__1,-0.7663114565,-0.0557811713
abx_mega__cip_naoh__2,1.3172199006,-0.2012651822
abx_mega__novo_h2o__3,3.467258139,-2.3875953892
abx_mega__bacit_dmso__1,2.9820326606,0.1356684
abx_mega__gen_h2o__1,2.4141549607,-1.461972784
abx_mega__bacit_dmso__2,3.9105068067,-0.09774649490000001
abx_mega__chl_dmso__1,2.7095107209,-0.6467693559000001
abx_mega__bacit_h2o__2,1.2325888579,-0.6051934747000001
abx_mega__lvx_dmso__1,2.3228416123,0.0581218888
abx_mega__bacit_h2o__3,0.22142118100000002,-1.2090717062
abx_mega__nor_naoh__2,0.5952215825,-0.2019690653
abx_mega__amyc-d_dmso__2,2.8257316715,0.0717954636
abx_mega__polmyx_h2o__3,2.3231184536000002,-0.2584222445
abx_mega__naoh-6__1,-0.2648428292,0.1555855705
abx_mega__cst_h2o__2,3.6653061685,0.4706965025
abx_mega__h2o-1b__2,0.7618326197,-0.2340016521
abx_mega__rfp_h2o__1,2.7405466694,-0.2832356676
abx_mega__tet_h2o__1,0.9003015356,-0.34423214010000003
abx_mega__flavo_dmso__1,2.6602191573000002,-0.1011983255
abx_mega__zeocin_h2o__1,1.563471171,-0.30376764710000004
abx_mega__nor_naoh__3,1.1481722317,-0.16797906040000002
abx_mega__rach_dmso__2,0.9618012298,-0.6662360279
abx_mega__thio_dmso__2,1.4256973356,-1.620149378
abx_mega__amyc-d_dmso__3,3.6051054292,0.0543695411
abx_mega__rif_dmso__2,3.7272009603000003,0.6075774627
