locus,comp,gene_name,product,operon,TF,link
b0593,0.493828292784,entC,isochorismate synthase 1,entCEBAH,"crp, fur, rpoD",https://ecocyc.org/gene?orgid=ECOLI&id=EG10261
b2265,0.312185751201,menF,isochorismate synthase 2,menFDHBCE,,https://ecocyc.org/gene?orgid=ECOLI&id=EG12362
b2264,-0.123182433375,menD,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase,menFDHBCE,,https://ecocyc.org/gene?orgid=ECOLI&id=EG10579
