,-0.12925036186913996,-0.08616690791275997,-0.04308345395637997,2.7755575615628914e-17,0.043083453956380025,0.08616690791276002,0.12925036186914002,0.17233381582552,0.2154172697819,0.25850072373828004,0.30158417769466,0.34466763165104,0.38775108560742,0.4308345395638,0.47391799352017994,0.51700144747656,0.56008490143294,0.60316835538932,0.6462518093457,0.68933526330208
thresh,-0.10770863489094999,0.10770863489094999,1,,,,,,,,,,,,,,,,,
unreg,1,5,127,3657,129,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0
unreg_genes,['menD'],[],[],[],[],[],[],[],[],[],['menF'],[],[],[],['entC'],[],[],[],[],[]
