,napF
Cr_1,-0.0006668115209597481
Cr_2,0.0024572474723944227
Cr_3,0.012233631202165843
Cr_4,0.019488529174587186
Cr_5,0.0276471846360756
Cr_6,0.03294755959502744
Fe_1,0.0032753764176461143
Fe_2,0.015698344406795125
Fe_3,0.03887801756743007
Fe_4,0.05976043731267795
Fe_5,0.08899254632574448
Fe_6,0.1121081395593696
Cd_1,-0.005853723313789587
Cd_2,0.06720492616532532
Cd_3,0.07349772883832854
Cd_4,0.032663420761643434
Cd_5,0.04050492479158578
Cd_6,0.033017910490147635
Zn_1,-0.007246387601336476
Zn_2,-0.0028008034037811237
Zn_3,0.015107436512340687
Zn_4,0.02277642201082193
Zn_5,0.021295172149189863
Zn_6,0.019232738923491564
Cu_1,0.004063134035704188
Cu_2,0.011183199391744407
Cu_3,0.021277203797965688
Cu_4,0.03153544880625978
Cu_5,0.03991138729496632
Cu_6,0.04855371842389622
Pb_1,0.15255119865929792
Pb_2,0.18111976879784425
Pb_3,0.12972200149636742
Pb_4,0.08691429521604274
Pb_5,0.07141692339598872
Pb_6,0.03842568343127432
