,yafD
Cr_1,-0.00742928333300145
Cr_2,-0.01568668578980939
Cr_3,-0.02562306760708787
Cr_4,-0.028289489399428658
Cr_5,-0.026072236000601042
Cr_6,-0.030518934962536912
Fe_1,-0.01764963900522455
Fe_2,-0.033568691011824164
Fe_3,-0.04073416003015168
Fe_4,-0.055403316713368685
Fe_5,-0.058819869949587815
Fe_6,-0.06585433798284218
Cd_1,0.0008389699063217993
Cd_2,0.0018471202195113894
Cd_3,-0.003100964381821193
Cd_4,-0.011105988355350843
Cd_5,-0.024477933256780743
Cd_6,-0.02680331279193145
Zn_1,-0.0362475169828409
Zn_2,-0.058042868735272
Zn_3,-0.08036280368009029
Zn_4,-0.06237474447704151
Zn_5,-0.0938588394517742
Zn_6,-0.12839801272823706
Cu_1,-0.0027921706363716143
Cu_2,-0.0028334440344007783
Cu_3,0.0037819753486831283
Cu_4,0.014028621088679563
Cu_5,0.023155621853512626
Cu_6,0.03323537499765565
Pb_1,0.006538543664590332
Pb_2,0.011349470463653654
Pb_3,0.022138982040071174
Pb_4,0.03299335617744712
Pb_5,0.04881397791904445
Pb_6,0.06689929675994641
