,-0.15956046325335302,-0.1396154053466839,-0.11967034744001478,-0.09972528953334567,-0.07978023162667655,-0.059835173720007434,-0.03989011581333832,-0.0199450579066692,-8.326672684688674e-17,0.019945057906669034,0.03989011581333815,0.05983517372000727,0.07978023162667638,0.0997252895333455,0.11967034744001462,0.13961540534668374,0.15956046325335285,0.17950552116002197,0.19945057906669109,0.2193956369733602
thresh,-0.04986264476667282,0.04986264476667282,3,,,,,,,,,,,,,,,,,
unreg,0,0,0,0,0,1,15,575,2851,354,34,17,6,7,2,2,1,2,0,0
CsgD,0,0,0,0,0,0,0,4,16,3,1,3,0,1,0,0,0,0,0,0
Fnr,1,0,0,0,2,1,4,45,190,44,13,12,1,3,0,0,0,0,0,0
unreg_genes,[],[],[],[],[],['grxA'],[],[],[],[],[],"['srlR' 'uspF' 'yohJ' 'yieP' 'hybO' 'pagP' 'yehB' 'pfkA' 'yfcC' 'rraA'
 'mdtM' 'yoeA' 'yliI' 'mocA' 'gadE' 'hypA' 'yccM']",['yjjI' 'tqsA' 'iprA' 'yehC' 'aegA' 'yidF'],['gldA' 'yjjP' 'yehD' 'bssR' 'yaaJ' 'yfbS' 'yejG'],['ycbJ' 'abrB'],['yqgA' 'yqiD'],['ttdR'],['ysaA' 'ghoS'],[],[]
CsgD_genes,[],[],[],[],[],[],[],['csgE' 'fliF' 'csgG' 'fliG'],"['fliA' 'fliE' 'fliJ' 'csgA' 'fliK' 'fliI' 'pepD' 'csgB' 'dgcC' 'iraP'
 'flgM' 'yccT' 'fliH' 'csgF' 'flgN' 'csgD']",['fliZ' 'csgC' 'tcyJ'],['nlpA'],['yhbS' 'yhbT' 'yccJ'],[],['wrbA'],[],[],[],[],[],[]
Fnr_genes,['grcA'],[],[],[],['fnr' 'ompW'],['ndh'],['nirD' 'glpT' 'napG' 'gadW'],"['napA' 'glpQ' 'ynfG' 'napH' 'pflB' 'napB' 'citX' 'bcsZ' 'hmp' 'nac'
 'dcuR' 'ydfZ' 'norV' 'cydA' 'iraM' 'dmsD' 'nrfG' 'ytfE' 'aceE' 'rplT'
 'citG' 'ynfF' 'gnd' 'bcsB' 'caiT' 'aspC' 'cydB' 'fhlA' 'tdcC' 'tdcD'
 'pdhR' 'prmC' 'thrA' 'amtB' 'nikR' 'hemA' 'glnD' 'hyfJ' 'ubiC' 'nrfF'
 'citE' 'frdD' 'puuA' 'dcuS' 'rpsQ']","['caiB' 'citD' 'ybdZ' 'fdnH' 'frdC' 'scpC' 'yeiL' 'hyfA' 'fumA' 'ygbA'
 'prfA' 'rplP' 'feoC' 'ychO' 'aceF' 'gcvT' 'tdcE' 'aroP' 'sodA' 'scpA'
 'caiC' 'cyoA' 'xdhB' 'norW' 'acrE' 'nuoG' 'nikD' 'nuoL' 'moaD' 'nrfC'
 'narI' 'cydD' 'sucA' 'citF' 'nrdG' 'ssuD' 'gadX' 'fumB' 'cheZ' 'ydhX'
 'ynfH' 'nrfE' 'sucB' 'rpmC' 'gltD' 'narH' 'gltB' 'dppB' 'cydC' 'poxB'
 'garK' 'nuoE' 'uxaA' 'nikC' 'tpx' 'ydhU' 'fes' 'ompX' 'nuoI' 'hyfD'
 'fixB' 'dppF' 'nuoN' 'napD' 'sdhA' 'garL' 'dpiB' 'dppD' 'upp' 'ung' 'tar'
 'xdhA' 'nfeR' 'fixA' 'sdhD' 'fumC' 'cysG' 'hyfH' 'soxR' 'cadC' 'aldA'
 'ydhT' 'ccmG' 'pstC' 'nuoH' 'nrfD' 'gcvP' 'ssuA' 'narJ' 'moaE' 'fdnI'
 'focA' 'puuP' 'mltA' 'rplV' 'dppC' 'hyfI' 'nuoM' 'scpB' 'yffS' 'lpd'
 'hyfF' 'gcvH' 'acrF' 'rplD' 'moeA' 'aer' 'gadA' 'ydfO' 'caiE' 'fdnG'
 'ssuE' 'xdhC' 'rpsI' 'dmsC' 'moeB' 'sdhB' 'rplB' 'emrK' 'argK' 'moaB'
 'ybdN' 'nikE' 'hyfR' 'narL' 'glpC' 'fixC' 'hyfC' 'rpsS' 'gdhA' 'nuoF'
 'dcuA' 'garR' 'rpsC' 'nuoC' 'nuoJ' 'nuoK' 'purN' 'trmD' 'ycaC' 'hyfB'
 'rpsJ' 'nirC' 'cyoD' 'rplC' 'rplW' 'ssuC' 'acnA' 'ccmF' 'tap' 'glnK'
 'moaC' 'tdcA' 'tdcB' 'dmsB' 'ccmD' 'gapC' 'rimM' 'cheR' 'yibN' 'ydhW'
 'ccmC' 'ysgA' 'cyoB' 'pstS' 'soxS' 'tdcG' 'ubiA' 'entF' 'sucC' 'frdB'
 'tdcF' 'cheY' 'sdhC' 'dpiA' 'rpsP' 'nikB' 'glpB' 'ccmH' 'pitA' 'yecR'
 'caiA' 'cheB' 'rplS' 'pstB' 'purM' 'hyfE' 'uraA' 'ccmE' 'adhE']","['rplM' 'phoU' 'narG' 'nrdD' 'sucD' 'pstA' 'uxaC' 'narK' 'gltF' 'dppA'
 'emrY' 'nikA' 'focB' 'citC' 'hypE' 'cyoE' 'ssuB' 'cyoC' 'narX' 'caiD'
 'malQ' 'ydeJ' 'ymjE' 'nuoA' 'arcA' 'nuoB' 'hyfG' 'nrfB' 'ackA' 'garP'
 'nirB' 'zwf' 'fepE' 'pykA' 'hlyE' 'dcuB' 'msrB' 'glpA' 'hypD' 'malP'
 'garD' 'katG' 'feoB' 'hypC']","['iraD' 'ortT' 'pdeF' 'moaA' 'ccmB' 'pepT' 'napF' 'viaA' 'ydhV' 'yfcZ'
 'caiF' 'ansB' 'ynfE']","['frdA' 'napC' 'fdhF' 'hcr' 'ccmA' 'aspA' 'feoA' 'dmsA' 'hcp' 'nrfA'
 'hypB' 'ccp']",['ynfK'],['dcuC' 'ravA' 'ydhY'],[],[],[],[],[],[]
