,A,Fnr,CsgD
R2,,0.25964571733905617,0.03642039123214358
xmin,,-7.8525940196,-6.009046678
xmid,,-1.8100489772802721,-3.1234253879805927
xmax,,4.4171410107,4.8901811673
ystart,,9.032157375953982,3.2011733580283335
yend,,-23.7627656381141,-4.345628798233181
SRX1125282,-1.0250693344,-0.0825740115,0.0036177747
SRX1125283,-2.3721181689,0.16485310350000001,0.2645701079
SRX1125284,-5.3370654964,0.7752711503,-0.38219790130000003
SRX1125285,-8.125840222,0.9066270852,-0.050566325
SRX1125286,-10.5529578745,0.95171602,0.1646331933
SRX1125287,-11.3781367248,1.0192587317,-0.5030838703
SRX1125288,0.5129949022,0.1234264677,0.3720119215
SRX1125289,-4.4174949932,0.4334180231,0.009007590900000001
SRX1125290,-7.4857281779000004,0.7979562918,0.27563954900000004
SRX1125291,-9.5635619932,0.8964971719,0.2717081946
SRX1125292,-11.3361746065,0.9047534472000001,0.4618697452
SRX1125293,-10.3619505333,0.9185125141,1.2327634552
SRX1125294,0.5120744322,-0.040852456200000005,-0.37562969620000003
SRX1125295,-2.6746350015,0.2208704434,0.2024676498
SRX1125296,-5.6600256388,0.7920547098,0.1759879541
SRX1125297,-8.168191718,0.8818752216,0.1541861963
SRX1125298,-10.1958874903,0.9825066807,0.5315456418
SRX1125299,-10.5753118347,0.9444446514,0.8214591691
SRX5694250,-2.330132932,0.0403637158,-3.8035863592
SRX5694251,-16.9434284988,0.5459244040000001,-0.7166257097000001
SRX5694252,-0.42737124590000003,-0.6791990309,-1.7839696729
SRX5694253,-1.9725108915,0.0078028844000000005,0.5660622276
SRX5694254,-6.5182530263,-1.3129271236,1.1056009732
SRX5694255,-6.4801607061,0.20689053170000002,-3.8035863592
SRX5694256,-4.9366844666,-0.045048951000000004,-0.8583243878
SRX5694257,-9.6437771835,0.4656249649,0.10108170200000001
SRX5694258,-1.1968447266,-0.3784852643,0.7110959760000001
SRX5694259,-19.4371704642,0.3019332691,0.5695138550000001
SRX5694260,0.6640200999,0.0320312785,0.0055247115000000005
SRX5694261,-14.1492628699,-2.6112045671,-3.8035863592
SRX5694262,-2.0647102311,0.2482154852,-3.8035863592
SRX5694263,-1.2889439352,0.0230880885,-0.9338011531
SRX5694264,-1.2114354191,0.3075812793,-0.7812399146
SRX5694265,-0.8959318140000001,-0.7038356709,-0.7979231229
SRX5694267,-2.331741556,-0.2244639849,0.3805908327
SRX5694268,-0.6962253334,0.32801548280000004,-0.9281653360000001
SRX5694269,0.7853794924,-0.0363903054,-0.32518759
SRX5694271,-0.1168807776,0.1539794799,-0.048975996300000005
SRX5694273,-7.3684303511,-0.315089026,-1.5763571868000001
SRX5694274,2.7430536687,-0.19593564700000002,-0.42855633120000003
SRX5694275,-3.0041921545,0.1826918599,-1.9333589897999999
SRX5694276,-11.6757405882,0.6125076868,0.0565813649
SRX5694277,-1.8324401993000001,0.518483773,-0.9728672207000001
SRX5694278,-10.9546333319,0.6077452839,-0.60952588
SRX5694279,-1.5303722027000002,0.7489705412000001,-0.0118639398
SRX5694280,-10.2005838227,-1.2905505804000001,-2.7944500845
SRX5694281,-0.8032773241000001,0.4743514224,-0.6859801606
SRX5694282,-11.4344119542,0.8302627999000001,-1.4822714105
SRX5694283,-6.0693715308,-0.8002749045,-1.5524666292
SRX5694284,-9.4754125165,-1.6551107114999999,-2.4677417141
SRX5694285,-1.3639017996,0.21844817860000001,-1.4908646234
SRX5694286,-2.0781356277,0.0879280571,-2.1499572104
SRX5694287,-9.1520108758,0.8900785727,-0.7610449290000001
SRX5694288,1.3277750686,-0.0313845657,-0.0943918608
SRX5694289,-1.9182240964,-0.4150383489,-0.35097127170000003
SRX5694290,-0.8340808018,0.2272209504,-0.4406242094
SRX5694291,-7.6025208981,0.16806743940000002,-1.6884157783
SRX5694292,-2.1102009819,0.40832126950000003,-0.4184638712
SRX5694293,2.0564275791,0.0877333852,-0.7793058811
SRX5694294,-2.0244310935,-0.1654402185,0.5234934216
SRX5694295,-17.8401374466,-0.12067474560000001,0.3772179222
SRX5694296,-2.6021798087,0.1613415464,0.31732973130000003
SRX5694297,-8.7135509883,0.257224454,2.046383611
SRX5694298,0.2217776619,0.047755995,-0.7625776861
SRX5694299,-1.37309694,-0.1308553567,0.0026493451
SRX5694300,-1.0446573633,-0.3609283863,-0.6930830632
SRX5694301,-0.9328660553,0.20815252,-0.8736160716
SRX5694302,-0.748010469,0.0028938907,-0.7537422546
SRX5694303,-1.0989904581,0.11078089020000001,-1.3039937645
SRX5694304,-1.9734086856,-0.2836689398,-1.4613857058
SRX5694305,-17.7472815323,0.0804674744,0.4468004195
SRX5694306,-3.3963704458,-0.2221077391,-3.8035863592
SRX5694307,-7.0068571545,0.6605546913,-2.1900250866
SRX5694308,-3.2088800425,0.030807355300000002,-1.1024250953
SRX5694309,-13.6200148209,0.1635488437,-0.4957724546
SRX5694310,-22.7645995846,-0.4774994905,-2.4043351032
SRX5694311,-15.8082270953,0.0987552064,0.34460963370000003
SRX5694312,-1.8193477307,0.2741965069,-2.1156277592
SRX5694313,-14.2158545625,0.12295077100000001,-2.3129867217
SRX5694315,0.9503897178,-0.3737381984,-0.7284323071000001
SRX5694317,-6.9160993023,1.3424886167,1.0797717597
SRX5694319,-0.8316841436,0.09932130680000001,-0.0984657592
SRX5694320,-8.7266242845,0.0559133562,-1.7047539075
SRX5694321,-7.9015091274,-0.2242105774,-0.4301593496
SRX5694322,-9.129531738,0.41129122560000003,-3.0953916814
SRX5694323,-9.7736588593,-0.2049744387,-0.09917364050000001
SRX5694324,-20.8016662594,0.1866328231,-0.6997080999
SRX5694325,-11.3081077943,-0.8589924069,-1.8716278891
SRX5694326,-3.0601235412,-0.18501779240000002,-0.9304748568000001
SRX5694327,-19.5361897263,-0.3986390476,-2.000114135
SRX5694328,0.3563764091,-0.11461450370000001,0.27059285040000003
SRX5694329,-7.3574655729,0.1534325597,1.3512193368
SRX5694330,-5.9251751702,0.4256416268,-0.9744037716
SRX5694331,-0.3355587845,0.1918842788,-0.1838270472
SRX5694332,-5.6359014827,0.2575678173,0.1351455778
SRX5694334,-10.3481947987,0.7809611414000001,-1.1854857380000001
SRX5694335,-12.357076712,-1.0905972262999999,1.990320888
SRX5694336,-9.1319602662,0.0295461953,-0.1923906872
SRX5694337,-6.8306845185,-0.9098451584,-0.3018407222
SRX5694338,0.0770243535,0.11093211330000001,-1.1041569323
SRX5694339,0.6023825565,-0.2660034833,0.2316793765
SRX5694340,-5.0325124113,0.1360391327,-1.0449605995
SRX5694341,-20.0226698356,0.3253789217,0.3972276413
SRX5694342,-8.5498398553,0.33467356740000004,0.9377681066
SRX5694343,-5.2156072292,-0.7654036895,1.1147979541
SRX5694344,-2.9436084825,0.0720316185,1.3668197432
SRX5694345,-1.1677577722999999,-0.1127364899,-1.2856143744000001
SRX5694346,-8.5551212425,-0.1452747475,0.0159763307
SRX5694347,-0.6416005122,-0.2103049645,-0.17060810040000002
SRX5694348,-2.8399766735,0.6194313426,-0.30863375120000003
SRX5694349,0.6085231413000001,-0.0340580552,-1.5956671107
SRX5694350,-8.6111724781,-1.5589165824,-0.12933230310000002
SRX5694351,-8.4996780091,0.2389667466,0.5654120453
SRX5694352,-3.1189152835,-0.1301723133,-2.0741881581
SRX5694353,0.346658791,0.0567992999,-0.407538869
SRX5694354,-2.0749653086,0.4463184544,-0.2843349638
SRX5694356,0.6814738583000001,-0.011770757000000001,-0.3321392553
SRX5694357,-8.7537056917,0.4703427457,1.2752564573
SRX5694358,-6.9771506717000005,0.7891519738,-3.8035863592
SRX5694359,-2.4135642111,0.0823465979,-2.7245380481
SRX5694360,-1.5096740277,-0.21446519260000002,-1.6708471195999999
SRX5694361,-9.8910610866,0.5545946817,-3.8035863592
SRX5694362,0.3945110157,-0.1556899832,-3.8035863592
SRX5694363,-11.0375490167,0.40866825960000003,0.2814219423
SRX5694364,-10.8792621166,-0.0307498051,-0.20027825970000002
SRX5694365,-15.5311556423,1.8984960352,-2.4751979649
SRX5694366,-0.6576993064000001,0.11935505780000001,-0.9461237601
SRX5694367,-13.4462712551,-0.7716038602,-2.1007340297
SRX5694368,-1.9506955396,-0.1062377801,-1.3071686394
SRX5694369,1.8649550448,-0.0429042057,-1.3252033813000001
SRX5694370,-2.5471341236000002,-0.1697118587,0.2343315599
SRX5694371,-11.0950136844,-0.046749594000000005,-0.914980279
SRX5694372,-3.0964987374,0.060263538500000005,-2.5139062477
SRX5694373,-9.703304393,-1.4686879149,0.0469713217
SRX5694374,-8.1801923438,0.2258676651,-1.9058063914
SRX5694375,-0.9650012145,-0.0180107938,-0.6803221012
SRX5694376,-3.1487863494,0.12440957970000001,-2.1944694033
SRX5694377,-10.2797466031,0.7205527484,-1.8578497174000002
SRX5694378,-2.0965564615,-0.064859922,-2.2472650376
SRX5694379,-4.7485534362,-0.0946227506,-1.1420452738
SRX5694380,-9.5448899859,-0.1504039911,0.5122115787
SRX5694381,-19.7923213574,1.0932260792,1.8295725113999999
SRX5694382,-0.8675536065,-0.3495048284,-0.1784524331
SRX5694383,-0.7939661759000001,-0.19216870800000002,-1.2097410504
SRX5694384,-0.1321491432,0.2508705046,-0.3545437273
SRX5694385,-16.3501307673,1.0236963855,-1.6387528747
SRX5694386,-21.0840225171,0.8645055481,0.1526841392
SRX5694387,-1.0215493613,0.1051428429,-0.5959028851
SRX5694388,-20.1106824491,0.2708431966,-0.5742778426
SRX5694389,-2.2739400558,0.2606390819,-1.2737479848
SRX5694390,-2.4322006847,0.3504676022,-1.1363005873
SRX5694391,-5.8782256366,1.4535275098,0.7535446667
SRX5694392,-1.4701485042,0.0944210472,-0.5703735367
SRX5694393,0.1207075538,0.2067024995,-0.3051400824
SRX5694394,-0.9135242227,0.5219782296000001,-0.8589084081
SRX5694395,-10.5400632968,0.5121052174,-1.448590102
SRX5694396,-6.3001131617,0.28659288180000003,0.1902424069
SRX5694397,-6.1895529512,0.2130377387,-0.5335429981
SRX5694398,-2.6056534829,0.1522575818,-0.7445352831000001
SRX5694399,-1.1297541362,-0.35454569550000004,-0.2295948009
SRX5694400,-1.3440773246,-0.3062884087,-1.799923663
SRX5694401,2.6607582752,-0.0252304237,-0.4904980236
SRX5694402,-20.1045662804,0.7271274121,-0.5026009468
SRX5694403,-5.926931763,-0.903332961,-2.5881630541
SRX5694404,-3.2530104238,0.6936041281,-0.7991531455
SRX5694405,-2.8407788258,-0.7666040526,0.6256341865
SRX5694406,-7.2514026448,0.2468405504,0.1841982251
SRX5694407,-3.1045250749,-0.4892115863,-0.9258081836000001
SRX5694408,-1.6277103667000001,-0.129152751,-0.5325597056
SRX5694409,-14.3852718925,0.2983443387,2.4316031193
SRX5694410,-1.4214659529,0.12871355610000002,-3.8035863592
SRX5694411,-8.0369859529,1.4088048351,-2.3307375589
SRX5694412,-2.474385348,0.08708125080000001,-1.9072195688
SRX5694413,-4.4412895733,-0.42460153910000004,1.1251739385
SRX5694414,-19.2011964205,0.9037219768,2.1627550057000002
SRX5694415,-1.4394258136,0.35278275610000004,-1.092279709
SRX5694416,0.1103100874,-0.1301828894,0.2577954626
SRX5694417,0.33212997920000004,0.1499766492,-0.2460656376
SRX5694418,-22.074892589,0.8640746426,-0.6725479160000001
SRX5694419,-6.8649777342,-0.014793680600000001,-0.6525089331
SRX5694420,-2.2481445344,-0.0468660871,-0.3823752871
SRX5694421,-5.5700244735,0.1322961821,0.033435643
SRX5694422,-2.5335513133000003,0.619159111,-1.0975409224
SRX5694423,-4.6246133573,-0.0780351353,-1.2745951467
SRX5694424,-7.1543906671,-0.5733023752,-2.1808499714
SRX5694425,-0.1240251463,0.3346755523,-1.8639860766
SRX5694426,-6.6343409487,0.6157335293,-0.5113041475
SRX5694427,-0.3997416848,-0.029816820400000003,-0.039047067000000005
SRX5694428,3.3659779819,-0.1057688244,-0.5302035385
SRX5694429,-10.942901303,1.4863412037,-2.0793780699
SRX5694430,-0.2662626247,-0.0200467158,0.0188566301
SRX5694431,-10.398819955,0.6682181821000001,0.4974981807
SRX5694432,-2.4064084611,0.1093383753,-3.4110518813
SRX5694433,-7.1049132051,-0.42024945410000003,0.7543284676
SRX5694434,-12.1320091753,-1.0686406259,-0.2782705144
SRX5694435,-18.37768627,0.2624442987,0.35285363280000004
SRX5694436,-14.3260537237,0.1838410419,2.186143597
SRX5694437,-20.8096617867,1.4458719120999999,1.8978195677
SRX5694438,-0.7714811687,0.061060066100000004,-0.8586396603
SRX5694439,-9.1472158547,0.8339819837,-1.7839412551
SRX5694440,0.0447028177,0.2749615761,-0.3219760521
SRX5694441,-5.6383552991,0.1675077619,1.7282439915999999
SRX5694442,-19.1549372406,0.2359552994,0.530560868
SRX5694443,0.47205134330000004,-0.1143720156,-0.43892627830000003
SRX5694444,-1.7896628708,0.19924687600000002,-1.4841859962
SRX5694445,-12.4766745003,-0.1930182149,0.2717606219
SRX5694446,0.5420061734,0.021624803,-1.0103368896
SRX5694447,-0.8774156159000001,0.1404174962,-3.8035863592
SRX5694448,-5.6025882916,0.7190717129,-1.4291541599
SRX5694449,-1.7259326308,-0.106792127,-0.2438814892
SRX5694450,-1.4239209386,-0.5226446066,-3.8035863592
SRX5694451,1.7294758027000001,-0.9448240483,-1.6297344846000001
SRX5694452,-6.4443718071,0.3519942873,-1.3618281253
SRX5694453,-4.0448517998,-0.3420308308,0.6822123874
SRX5694454,0.27739299170000004,0.2237971175,-0.0318674347
SRX5694455,-6.8460063479,-0.09366302650000001,-0.5471928957000001
SRX5694456,-1.4445588032,0.1884711132,-0.1633806277
SRX5694457,-0.6636717564,0.1897163396,0.6914570568
SRX5694459,-0.8986892006,0.46955750020000003,0.0469576385
SRX5694460,-13.9285095231,0.079054857,-0.1068003472
SRX5694461,-2.4783948635,0.1562169847,-1.2639391866
SRX5694462,-12.1145833191,0.5560831223,-0.5561126042
SRX5694463,-2.5025565273,0.16093619850000002,-0.0099143007
SRX5694464,-2.351332701,0.21465859110000002,-1.5881864121
SRX5694465,-2.3159748597,-0.4506960218,-0.9374519004
SRX5694466,-12.2110189514,1.4078249743,0.2242957224
SRX5694467,-2.1365743146,-0.024926434900000002,-0.2822929062
SRX5694468,-8.5174774822,0.28331731590000003,-1.0966288723
SRX5694469,-2.1235306865,0.1656484172,0.24264208550000002
SRX5694470,0.9344389448,0.0397621094,-0.5119682401
SRX5694471,-3.2271751874,0.0295181061,-0.17637521520000002
SRX5694472,-6.8139952123,0.6765520599,0.1618024161
SRX5694474,-2.2139256913,-0.1313395527,-1.7281741593
SRX5694475,-0.8082032541,-1.1849000443,-1.1487585203
SRX5694476,2.5052417482,0.1917764428,-0.6413780236000001
SRX5694477,-10.0127811661,-0.1254083886,-1.006493863
SRX5694478,-1.6139391314,0.0413045956,-1.2513445461
SRX5694479,-12.744085867,-1.2130654544000001,1.634032853
SRX5694480,-7.2236563659,-1.1475451275,1.3582901054
SRX5694481,-1.3304662882,0.23990241980000002,-1.6745394532
SRX5694482,1.3976235742,-0.042177127,-0.5047007987000001
SRX5694483,-1.8880335556999999,-0.341587067,-0.314612491
SRX5694484,-1.9490226685,0.1067217318,-0.4959432709
SRX5694485,-5.5449089884,1.3284647298,0.412170702
SRX5694486,1.8241143523,0.13667702310000002,-1.1498512966
SRX5694487,-0.3438419406,0.0400555976,-2.0677669007
SRX5694488,-2.6179061149000002,0.1579017148,-0.5575835156
SRX5694489,-2.4189728511,-0.2295144067,-0.1165699711
SRX5694491,-5.5036272834,-0.40999634500000004,-1.8755443224000001
SRX5694492,-8.3776520107,0.41635551470000004,-0.3177967044
SRX5694493,-17.8691925028,0.8852669989,-0.6981223961
SRX5694494,-8.6439651028,0.47019160320000003,-1.2417498732
SRX5694495,-2.6220359111000002,0.4263555999,0.1790257492
SRX5694496,0.0822216444,0.0158778074,-1.2947763943
SRX5694497,-3.9788815507,-0.353805546,-1.6522151214
SRX5694498,-4.1911571389,-0.0949833372,-1.7728426538000002
SRX5694499,0.12406251,-0.0402154183,0.1669566183
SRX5694500,-6.868049018,-1.0545825032,-2.550918359
SRX5694501,-0.4782803333,0.0329465014,-1.0868987995
SRX5694502,-5.1533826945,0.49062571110000003,-0.32791586170000003
SRX5694503,-19.0868372027,-2.5030278976,-3.3941269716
SRX5694504,0.5428100858,0.22288803100000001,-0.5319905843
SRX5694505,-18.6875728295,0.35465275100000004,0.6097783413
SRX5694506,-6.9935771033,0.49303985780000004,-3.8035863592
SRX5694507,-0.6709098049000001,0.0909615292,-1.3799920405
SRX5694508,-5.5809395445,-0.6050113022,1.6012727177000001
SRX5694509,-7.171081504,-0.9469901951,-1.0690668768
SRX5694510,-3.294944867,0.0893514383,-0.08689971120000001
SRX5694511,-2.9701657659,0.533781862,-1.4462464601
SRX5694512,-4.8692729606,-0.5504288499000001,-1.6259827749
SRX5694513,-8.2472516402,-1.5708370051,1.0767733576
SRX5694514,-13.9754196331,0.025528003,-0.7619147201
SRX5694515,-20.005144916,1.1960883277,-1.6002644412
SRX5694516,-5.2377534525,0.7337960436000001,-1.5848566739
SRX5694517,-1.9248979969,0.16543111060000001,-0.824698877
SRX5694518,-0.2648463747,-0.3013275018,-0.3609850956
SRX5694519,-8.1287905852,0.0524331097,-1.5997377917
SRX5694520,-1.4712004391,-0.1296792457,-3.8035863592
SRX5694521,-0.6365284022000001,-0.1166385846,-0.451415222
SRX5694522,-2.123602719,0.5228202102,-1.3944990376
SRX5694523,-0.401099794,0.0620767183,-0.8745466268000001
SRX5694524,-2.7817207056,-0.1670867104,-0.3660968773
SRX5694525,0.5398405403000001,-0.023023933200000003,-0.38299014270000004
SRX5694526,-3.0490538888,-0.1780022674,-0.6444142064
SRX5694527,-7.6532461923,-1.288192235,-2.5462059898
SRX5694528,-15.2435377232,-1.1735091948,1.9183675337000001
SRX5694529,-0.3071084887,0.4256665049,-0.24429411920000002
SRX5694530,-1.1541448963,-0.14596955720000002,-2.5840177578
SRX5694532,-6.6767332595,-0.6767342955,-1.404802914
SRX5694533,-16.5697417361,1.5844404703000001,-3.8035863592
SRX5694534,-14.2189475847,1.4941188956,-2.0974743045
SRX5694535,0.7363526741,-0.0048985968,-3.8035863592
SRX5694536,-1.1418720150000001,0.23466406990000002,-1.3027899348
SRX5694537,-3.3098910141,0.10958004780000001,-1.0607966321
SRX5694538,-1.6426221123,0.2428538366,-0.3640580392
SRX5694539,-2.8332335524000003,0.0122195926,-1.2052297568
SRX5694540,-8.247603069,-0.7705289413,-2.2875290597999998
SRX5694541,-2.1973770602,0.14097936390000002,-1.4661955675
SRX5694543,-7.7535207874,0.7008066596,-1.7283532982
SRX5694544,-1.9422956604000001,-0.2315847967,-0.9040962437000001
SRX5694545,-0.6992082015000001,0.0029379619,-0.9848746002000001
SRX5694546,-2.7022228432,0.2023907492,-2.5038852501
SRX5694547,-4.0514962111,0.1023474546,-0.0919298515
SRX5694548,-1.0447490322,0.09042078,0.2541727775
SRX5694550,-7.8927348693,-0.36047292010000004,0.56234044
SRX5694551,-3.315163178,-0.15851963700000002,-3.8035863592
SRX5694552,-0.6887409082,-0.47527159550000003,-0.5156026465
