,A,Nac
R2,,0.6287349658615375
xmin,,0.0
xmid,,7.378535402031583
xmax,,12.648111739099999
ystart,,-0.40505272260618597
yend,,20.775801215409782
control__wt_glc__1,0.0477244291,4.8862531201
control__wt_glc__2,-0.0477244291,5.1027953634
fur__wt_dpd__1,-3.2774489618000002,2.9305512532
fur__wt_dpd__2,-3.6119165802,2.6273466943
fur__wt_fe__1,-1.0822504647,5.3563338399
fur__wt_fe__2,-0.9215587342,5.134662408
fur__delfur_dpd__1,-2.7576595819,3.17233863
fur__delfur_dpd__2,-2.7980427786,3.0675977759
fur__delfur_fe2__1,-1.6480859165,4.1197513334
fur__delfur_fe2__2,-1.7796374491,3.8500018222
acid__wt_ph5__1,-1.8526695243,4.061432416
acid__wt_ph5__2,-2.2197312456000002,4.1567036607
acid__delgadx_ph5__1,-1.9983792504000002,4.0619690599
acid__delgadx_ph5__2,-1.9926598603999999,4.0441091528
acid__delgadw_ph5__1,-1.6061708751000001,3.8617785207
acid__delgadw_ph5__2,-1.6358094898000002,4.3126428767
acid__delgade_ph5__1,-1.5863657856,4.4055237461
acid__delgade_ph5__2,-2.0882396276,3.9843046409
oxidative__wt_pq__1,-1.7287435150000001,3.1183573056
oxidative__wt_pq__2,-1.9067425709,3.3250326827
oxidative__deloxyr_pq__1,-2.4870626932,3.038721009
oxidative__deloxyr_pq__2,-2.4239295422,2.9926123191
oxidative__delsoxr_pq__1,-2.4050334047,2.353452495
oxidative__delsoxr_pq__2,-2.1294615571,2.8595907265
oxidative__delsoxs_pq__1,-2.2795425274,3.0372089668
oxidative__delsoxs_pq__2,-2.4234153587,3.0293781286
nac_ntrc__wt_csn__1,19.0731529367,12.6028059162
nac_ntrc__wt_csn__2,19.3213766445,12.5740215957
nac_ntrc__wt_cytd__1,19.3283562983,12.0644791765
nac_ntrc__wt_cytd__2,19.5400842305,12.1405238722
nac_ntrc__wt_gln__1,22.7154580835,12.648111739099999
nac_ntrc__wt_gln__2,23.0421831484,12.6372447246
nac_ntrc__bw_delnac_csn__1,-8.1079862966,0.0
nac_ntrc__bw_delnac_csn__2,-8.2450933766,0.0
nac_ntrc__bw_delnac_cytd__1,-7.0679373466,0.2623003934
nac_ntrc__bw_delnac_cytd__2,-6.9577631016,0.0
nac_ntrc__bw_delnac_gln__1,-7.6464925196,0.0
nac_ntrc__bw_delnac_gln__2,-6.9674791984,1.0608737462
nac_ntrc__bw_delnac_nh4__1,-3.5791721348000003,0.0
nac_ntrc__bw_delnac_nh4__2,-2.665337107,0.0
misc__wt_no_te__1,-1.8537882719,3.3975203102
misc__wt_no_te__2,-2.2082122677,3.5906198426
misc__bw_delcbl__1,-0.3960146116,4.0941960411
misc__bw_delcbl__2,-0.36599681700000003,4.1850834915
misc__bw_delfabr__1,-0.9602859851000001,3.9958103829000002
misc__bw_delfabr__2,-1.1800618581,3.8059085709
misc__bw_delfadr__1,-2.0050756156,2.6837211292000003
misc__bw_delfadr__2,-1.2980055487,3.2701985897
misc__nitr_031__1,15.345332009,11.5370732993
omics__wt_glu__1,-0.5032797051,4.1735187068
omics__wt_glu__2,-0.43166886390000003,4.257950109
omics__wt_gly__1,2.233593193,7.7293851436
omics__wt_gly__2,1.8889374540000001,7.6971992957
omics__wt_thr__1,1.7974745841000002,6.4196989394
omics__wt_thr__2,1.4935229697,6.6864708839
omics__bw_ac__1,2.3320077,3.1198143713
omics__bw_ac__2,2.4654641205,3.2887920867
omics__bw_fum__1,1.5859916424,2.9710291263
omics__bw_fum__2,2.1199322629,2.9190157067999998
omics__bw_glc__1,-0.48064503010000004,4.3815202249
omics__bw_glc__2,-0.437751781,4.6330602413
omics__bw_pyr__1,2.06380427,2.8736057458
omics__bw_pyr__2,2.6190482126,3.2471508242000002
ompr__wt_nacl__1,-0.7823649065,3.2469096286
ompr__wt_nacl__2,-1.1391588158000001,2.9317370908
ompr__bw_delompr_nacl__1,-0.8010771084,2.9267735839
ompr__bw_delompr_nacl__2,-0.5516051939000001,3.0698641354
minspan__wt_ade__1,-1.7476785418,3.660744134
minspan__wt_glc__1,-0.7406983065,3.249759475
minspan__wt_glc__2,-0.6823682563,3.7749944787
minspan__wt_glc__3,-0.3849087543,3.8296527499
minspan__wt_glc__4,-0.09413187170000001,3.5699164717
minspan__wt_glc_anaero__1,-3.1040949996,2.8388699264
minspan__wt_glc_anaero__2,-4.6053470028,2.1494332883
minspan__wt_trp__1,1.0010041223,4.7861204575
minspan__bw_delcra_glc__1,-0.2884134873,4.4731851109
minspan__bw_delcra_glc__2,-0.3123498027,4.501068431
minspan__bw_delcra_trp__1,1.6212040225000002,5.3498522273999995
minspan__bw_delmntr__1,-0.6427839262,4.9136233162
minspan__bw_delnac_ade__1,-3.1250903545,0.0
minspan__bw_delnac_glc__1,-2.5667721855,0.40414882820000003
cra_crp__wt_ac__1,3.9827539669,3.4615737642
cra_crp__wt_ac__2,4.3137215936,3.7583634064
cra_crp__wt_fru__1,2.6124774642,3.7090502161
cra_crp__wt_fru__2,2.8808309178,3.9718672942
cra_crp__delcra_ac__1,0.9680043649000001,2.7728241393
cra_crp__delcra_ac__2,1.0997835785,2.8305202723000003
cra_crp__delcra_fru__1,-2.2316230159,3.6137628834999997
cra_crp__delcra_fru__2,-2.0827420581,3.6240971849
cra_crp__delcra_glc__1,-1.8516004219000002,3.7476514046
cra_crp__delcra_glc__2,-2.1962632029,3.6882505546
rpoB__wt_031__1,9.815432634,9.7712781358
rpoB__wt_044__1,6.1502820177,9.8600592884
rpoB__wt_lb__1,6.6580852526,2.0255168429
rpoB__wt_lb__2,6.7215988146,2.6732898522
rpoB__rpoBE546V_031__1,13.0172263428,10.9380941261
rpoB__rpoBE546V_044__1,12.9443532477,10.9114583067
