,Value,list
TF,nac,
reg_genes,518,"['oppF' 'ppiB' 'thiL' 'yegR' 'argG' 'cmtA' 'moaC' 'ispB' 'ygcS' 'yafP'
 'srkA' 'thrS' 'glpQ' 'wcaH' 'leuB' 'ydiV' 'tsf' 'cfa' 'yebQ' 'napA'
 'gudX' 'gatA' 'yhcH' 'ybeZ' 'argO' 'waaL' 'cobS' 'ccmE' 'aroF' 'fbaA'
 'abgA' 'wcaE' 'ynfF' 'gatZ' 'yceG' 'focB' 'lpxH' 'rutG' 'ybjQ' 'ygiS'
 'mdtF' 'uspB' 'yaiZ' 'wcaI' 'elfC' 'sbcB' 'napG' 'hyfI' 'gcvP' 'lolC'
 'leuD' 'pabC' 'gmk' 'ubiC' 'parE' 'waaF' 'ybhI' 'dsbE' 'yfcO' 'uspG'
 'curA' 'rplU' 'ccmB' 'waaZ' 'srlR' 'srlM' 'leuS' 'chrR' 'usg' 'mreC'
 'ribD' 'ftnB' 'hyfG' 'ompR' 'yafO' 'hemL' 'waaP' 'uspC' 'fklB' 'torC'
 'yfcA' 'lrp' 'gltA' 'ogt' 'yieH' 'pntA' 'dtpA' 'mnmG' 'ygeX' 'tolR'
 'torA' 'ydeJ' 'napH' 'yobA' 'truA' 'phoH' 'glcF' 'ymjA' 'sucC' 'tsaE'
 'rutB' 'rutC' 'tdcC' 'ibpB' 'speC' 'pgaA' 'tamB' 'rpoZ' 'yggD' 'wecC'
 'malY' 'pdxB' 'waaR' 'ihfA' 'yncG' 'ccmC' 'yfeK' 'pck' 'deoR' 'rplT'
 'mdtG' 'waaG' 'osmB' 'srlD' 'ppc' 'ddpA' 'tolB' 'tolA' 'recF' 'gudP'
 'mepS' 'recG' 'rutF' 'yjbQ' 'dmsD' 'htpG' 'dsbA' 'pyrB' 'yjjZ' 'lysR'
 'ydiB' 'sucD' 'moaE' 'amiD' 'pgaB' 'cysQ' 'tdcF' 'lolE' 'ccmH' 'ypdC'
 'napF' 'spoT' 'cobU' 'oppD' 'yejG' 'wecE' 'wcaD' 'ibpA' 'nrdR' 'smrA'
 'codA' 'xapR' 'raiA' 'glcD' 'napC' 'glmM' 'rutD' 'rfbC' 'wzxE' 'pyrL'
 'wcaJ' 'csiE' 'mntS' 'ddpF' 'rlmL' 'torD' 'leuA' 'napB' 'wzb' 'yfcL'
 'ytjB' 'amiB' 'yidQ' 'waaC' 'gcvT' 'lepA' 'lepB' 'pheS' 'yqfB' 'leuC'
 'waaO' 'bfd' 'prmB' 'glcA' 'ybaL' 'marC' 'cysS' 'yhbU' 'yihP' 'yhbY'
 'lolD' 'moaB' 'wza' 'oppB' 'nadD' 'pgk' 'ccmF' 'yaiY' 'waaY' 'rpmH'
 'rutA' 'cdaR' 'yojI' 'napD' 'mioC' 'mntH' 'yqiA' 'rhsO' 'lhgO' 'oppC'
 'pldA' 'aroD' 'mdtL' 'rpmA' 'yfeS' 'yjcO' 'gspK' 'waaU' 'nusB' 'gmd'
 'yjeH' 'mreD' 'insH1' 'ratA' 'ycbU' 'yafE' 'holA' 'yigI' 'yccJ' 'folP'
 'yecE' 'yraQ' 'secG' 'sdiA' 'cpsB' 'wzc' 'srlB' 'rffG' 'dppC' 'rep'
 'xanQ' 'yihO' 'yffR' 'wzxC' 'ugd' 'hupA' 'dmsC' 'wecF' 'ybfC' 'metR'
 'ebgR' 'csiD' 'envZ' 'yijO' 'ycdT' 'mglA' 'miaA' 'cobC' 'ypdA' 'uup'
 'wcaF' 'pfkA' 'moaD' 'yggP' 'yjgM' 'waaQ' 'ansB' 'gspF' 'gadE' 'yiaD'
 'map' 'glcG' 'nudF' 'tdcE' 'tdcG' 'ompT' 'gcvH' 'cpdB' 'yghF' 'hldD'
 'hyfR' 'marA' 'lplA' 'dnaA' 'ilvL' 'rlmF' 'ddpC' 'ycbF' 'ribE' 'mutL'
 'ycgY' 'oppA' 'yqiB' 'ccmA' 'caiF' 'srlA' 'abgT' 'ydiF' 'glxK' 'sdhB'
 'envY' 'rsd' 'aaeR' 'tmk' 'rpmI' 'stfR' 'ynfH' 'yegH' 'nupC' 'ybeY'
 'sdhC' 'hyfF' 'pyrI' 'ppiC' 'wecA' 'yebZ' 'araG' 'mreB' 'yafD' 'znuC'
 'tamA' 'pal' 'pheT' 'tusA' 'yhbV' 'srlQ' 'wecD' 'ybdK' 'msrA' 'metE'
 'wcaG' 'yafN' 'dsbB' 'yjcB' 'infC' 'ybgC' 'prfC' 'ycfH' 'cpsG' 'asnC'
 'ivy' 'ubiA' 'ratB' 'yecD' 'lptE' 'sdhA' 'wcaC' 'epmC' 'yjbB' 'ydiO'
 'hflK' 'aroC' 'glpT' 'ddpB' 'adeP' 'gspL' 'pgpA' 'abgB' 'nanE' 'lysP'
 'cobT' 'narK' 'pntB' 'gspD' 'ybgF' 'hflC' 'araF' 'gltF' 'allR' 'ydeP'
 'ompA' 'ynfE' 'malX' 'sucB' 'yihD' 'ygdH' 'trxB' 'hyfD' 'yggC' 'rpsB'
 'yraH' 'yaeI' 'tdcA' 'nanK' 'epd' 'tyrA' 'ynfB' 'ecnB' 'kduI' 'elfG'
 'bfr' 'mglC' 'hyfB' 'gspO' 'yfgG' 'rfbA' 'dmsA' 'glcE' 'yhbT' 'rnpA'
 'gatB' 'gltP' 'gudD' 'cydA' 'trmH' 'wzzE' 'gatD' 'nanT' 'rffH' 'dapD'
 'yobF' 'sucA' 'moaA' 'ypdB' 'pgaC' 'queE' 'borD' 'waaS' 'ybdR' 'cynT'
 'ycgJ' 'wzyE' 'cynS' 'cydB' 'ldtC' 'gspG' 'yhjD' 'ddpD' 'ytfP' 'srlE'
 'cpdA' 'tdcD' 'fhuF' 'glnD' 'dedA' 'ycbV' 'mdtE' 'infA' 'sdhD' 'yebY'
 'bglX' 'tdcB' 'pfkB' 'araH' 'dld' 'ddpX' 'hflX' 'dmsB' 'rutE' 'speG'
 'znuB' 'holB' 'tolQ' 'wecG' 'mepA' 'lysA' 'ydcJ' 'yjbR' 'waaB' 'cspC'
 'ddlA' 'yfbV' 'marR' 'wecB' 'dnaN' 'glcB' 'yhbS' 'mglB' 'gdhA' 'wzxB'
 'wrbA' 'ynfG' 'pgaD' 'yggF' 'hfq' 'phr']"
comp_genes,37,['ybeQ' 'csiR' 'cycA' 'yrhB' 'yrdE_2']
both_genes,32,"['ompF' 'dppF' 'patD' 'asnA' 'ydcU' 'ydcT' 'ghxQ' 'gabD' 'gabP' 'serA'
 'codB' 'dppB' 'ygiL' 'gltB' 'nanA' 'gltD' 'feaR' 'shiA' 'gabT' 'nac'
 'gspE' 'gspC' 'yedL' 'dppA' 'yhjE' 'ydcV' 'yieE' 'dppD' 'abgR' 'cynR'
 'ydcS' 'guaD']"
reg_genes2,0,
comp_genes2,0,
both_genes2,0,
reg_ops,243,
comp_ops,25,
both_ops,20,
