,yiiR
Cr_1,-0.007914435250572978
Cr_2,-0.014354519563757582
Cr_3,-0.011813858825306084
Cr_4,-0.004921497424256415
Cr_5,0.0029200330433506324
Cr_6,0.005838528708505568
Fe_1,-0.006627902519116085
Fe_2,-0.01999832910109534
Fe_3,-0.031837640026481845
Fe_4,-0.053931991234403134
Fe_5,-0.06206211972336696
Fe_6,-0.0500073621049323
Cd_1,0.004213863861362327
Cd_2,0.0020548216654965846
Cd_3,0.005135044594081767
Cd_4,0.004488988255289659
Cd_5,0.004728460249737339
Cd_6,0.01075192423931044
Zn_1,-0.01874740059659551
Zn_2,-0.020324114700749903
Zn_3,-0.0031520161172842675
Zn_4,0.0045581254009117046
Zn_5,0.02075196281575064
Zn_6,0.02091279706788014
Cu_1,0.0036018062485729968
Cu_2,0.00565295008562406
Cu_3,0.019002585297052642
Cu_4,0.03635066558766432
Cu_5,0.053487208128927585
Cu_6,0.06442096549758268
Pb_1,-0.003310923486100745
Pb_2,-0.006660947716623144
Pb_3,-0.002860254193182839
Pb_4,0.0017095855379538193
Pb_5,-0.0002447291605538875
Pb_6,0.008064569623021652
