,rhaB
Cr_1,0.00738185838100855
Cr_2,0.004737418905094606
Cr_3,0.015552351346788984
Cr_4,0.023805744207961558
Cr_5,0.027414861486934842
Cr_6,0.021903981577874047
Fe_1,0.00992183556512276
Fe_2,0.02010661214106977
Fe_3,0.05503995452143935
Fe_4,0.07849214276122937
Fe_5,0.09950364242893578
Fe_6,0.1080498226156206
Cd_1,0.007384420791067722
Cd_2,0.01849981377538354
Cd_3,0.025434272072137405
Cd_4,0.03597206769821958
Cd_5,0.02977913532222517
Cd_6,0.037959400151343886
Zn_1,0.07460299143314625
Zn_2,0.04078863926619188
Zn_3,-0.05407318030925681
Zn_4,-0.04287891286138549
Zn_5,-0.0017522346941107006
Zn_6,0.07353193841337564
Cu_1,0.014126168428137397
Cu_2,0.03586205915860654
Cu_3,0.05112813656838637
Cu_4,0.07126879152503841
Cu_5,0.07809542573806141
Cu_6,0.09090161943090004
Pb_1,0.0006918871392104611
Pb_2,0.0024017415305634233
Pb_3,0.010143052064353352
Pb_4,0.020657268220525903
Pb_5,0.03371073205309364
Pb_6,0.04295899688016165
