,A,OmpR
R2,,0.09929744671700447
xmin,,-7.3287963615
xmid,,-0.9804141319175498
xmax,,3.1898666866
ystart,,-0.6273278040361063
yend,,5.0337538484449444
aat__00m_00s__1,0.0180126284,0.2497692515
aat__00m_30s__1,-0.40032958630000004,0.28065399900000004
aat__01m_00s__1,0.0603971312,0.23529942180000002
aat__02m_00s__1,0.4366227038,0.2356387398
aat__05m_00s__1,0.3395726181,0.24470173650000002
aat__10m_00s__1,-0.4218499907,0.040896054200000004
aat__00m_00s__2,-0.4159500356,-0.2747716412
aat__00m_30s__2,-1.9612367014,0.093119
aat__01m_00s__2,0.5982794813,0.0729251304
aat__02m_00s__2,0.2129776022,0.3581703524
aat__05m_00s__2,0.6443498355,0.4398804308
aat__10m_00s__2,0.5852312487,0.600781589
aat__00m_00s__3,0.39793740720000004,0.0250023898
aat__00m_30s__3,-0.20470569730000002,0.1892559365
aat__01m_00s__3,0.1124201814,0.13355006560000002
aat__02m_00s__3,0.4852751879,0.0493795467
aat__05m_00s__3,0.502098232,0.252283246
aat__10m_00s__3,0.4365157757,0.6175674846
abx_mega__dmso-2__1,1.3338369333,0.5512269408
abx_mega__ery_dmso__1,0.5957017840000001,0.19084988490000002
abx_mega__nal_naoh__1,0.7325907531,-0.1662381186
abx_mega__dmso-5__1,0.4317563232,0.17057843350000002
abx_mega__rif_dmso__1,2.0666505962,0.3753594524
abx_mega__novo_h2o__1,0.2935432781,-0.2004741858
abx_mega__rach_dmso__1,-0.3905634933,-0.047666706600000004
abx_mega__metro_dmso__1,0.9242631972,0.1902554142
abx_mega__dmso-6__1,1.3735198923,0.2704939628
abx_mega__chl_h2o__1,1.0954105566,-1.4364410385
abx_mega__cst_h2o__1,-0.8065775150000001,0.0831805821
abx_mega__tec_h2o__1,-1.4173828245,0.9366768202
abx_mega__str_h2o__1,0.49651834640000003,-0.0854510456
abx_mega__ctx_h2o__1,-1.5348600437000002,-0.1833382698
abx_mega__nal_naoh__2,-0.6600708236,0.0680341922
abx_mega__phos_h2o__1,-1.2040693983,-0.7069581067
abx_mega__dmso-5__2,-0.2230316678,0.3107996135
abx_mega__polmyx_h2o__1,-1.2200846217,0.38625837220000003
abx_mega__h2o-8b__1,-0.7245222959000001,-0.0664744293
abx_mega__h2o-6__1,-0.6634691706,0.22516114
abx_mega__thio_dmso__1,0.3913950618,-0.6563530731
abx_mega__phos_h2o__2,-0.5058013358,-0.0896789156
abx_mega__ctx_h2o__2,-1.7314279435,0.27857363300000004
abx_mega__lzd_dmso__1,0.7019691344,-0.7353871311
abx_mega__naoh-9__1,-0.9017322056,0.3609948972
abx_mega__dox_dmso__1,0.5571244860000001,0.0071867107000000005
abx_mega__phos_ethanol__1,-1.1210748629,0.0655605725
abx_mega__teix_dmso__1,1.4921660438,-0.019153321100000002
abx_mega__dmso-10__1,0.8380789103,0.1080997051
abx_mega__van_dmso__1,2.4973688211000002,1.8100974600000002
abx_mega__ramo_h2o__1,0.17277504870000002,-0.12353837790000001
abx_mega__tec_h2o__2,-1.6627633946,-0.21433275870000001
abx_mega__h2o-7__1,-0.6626004332000001,-0.09583014940000001
abx_mega__cro_h2o__1,-0.9723426526000001,-0.0601121022
abx_mega__tric_ethanol__1,2.4965680486,0.9240665007000001
abx_mega__nor_naoh__1,-0.6869889170000001,0.0910367456
abx_mega__teix_dmso__2,0.3992493814,-0.0980784631
abx_mega__nal_naoh__3,-0.7377245038,-0.057151718500000004
abx_mega__novo_h2o__2,0.8793209192,-0.1720156404
abx_mega__dmso-10__2,0.6497185904,0.10161821280000001
abx_mega__phos_h2o__3,-0.2222723573,0.3218156103
abx_mega__dmso-6__2,0.5627374599,-0.0033687667000000003
abx_mega__rfp_ethanol__1,2.8303942779,-0.5438908621
abx_mega__dmso-5__3,0.1954618015,0.2173257979
abx_mega__amyc-d_dmso__1,0.5663518368,-0.0077695386000000005
abx_mega__sxt_dmso__1,0.4388065814,-0.1402548023
abx_mega__dmso-1__1,0.6883393493000001,-0.2185436949
abx_mega__pen_h2o__1,-0.8381755952000001,-0.5186667481
abx_mega__dmso-10__3,1.5843413705,0.291166345
abx_mega__nal_naoh__4,-1.4208169335,-0.07297965590000001
abx_mega__cip_naoh__1,-1.6526716288,-0.0293658589
abx_mega__pen_h2o__2,-1.116748231,-0.46615090750000004
abx_mega__ery_dmso__2,2.1386884082,0.1872470703
abx_mega__dmso-2__2,-1.411386865,0.3429906437
abx_mega__van_dmso__2,0.8432183893,1.9570831285999999
