,kdsB
Cr_1,0.00798281756542022
Cr_2,0.01091845803436572
Cr_3,0.012050546224854752
Cr_4,0.011608686327997456
Cr_5,0.00894990364111139
Cr_6,0.0036222781505601547
Fe_1,-0.010079364328233862
Fe_2,-0.02488233651607969
Fe_3,-0.0365711105458411
Fe_4,-0.0478242492725357
Fe_5,-0.05376493248370645
Fe_6,-0.05226897261315591
Cd_1,-0.0002519520058153518
Cd_2,0.0010284988782287249
Cd_3,-0.0010791091067447994
Cd_4,-0.004354499449654496
Cd_5,-0.00937764461834535
Cd_6,-0.010929660274779608
Zn_1,-0.006090290078498726
Zn_2,-0.011537427445794623
Zn_3,-0.01184126830538028
Zn_4,-0.005432563890850436
Zn_5,-0.00013847968031451352
Zn_6,0.002241844514956396
Cu_1,-0.00014141488676001204
Cu_2,-0.002350167538938869
Cu_3,-0.0003690748132929824
Cu_4,-0.002409969715139148
Cu_5,-0.000633207924431599
Cu_6,0.00037532471610102127
Pb_1,0.003946490013565309
Pb_2,0.0050182221664392315
Pb_3,0.01173218905366874
Pb_4,0.011793073197287722
Pb_5,0.012438805925924534
Pb_6,0.010130447322955594
