,slyX
Cr_1,0.00827964755880093
Cr_2,0.01552452096990022
Cr_3,0.02274706010674036
Cr_4,0.02864453956887577
Cr_5,0.023010563472845788
Cr_6,0.017012464498569732
Fe_1,-0.009939008069654396
Fe_2,-0.007062656559950119
Fe_3,0.0198623228882478
Fe_4,0.050896619252593464
Fe_5,0.07919113395598268
Fe_6,0.10546390786078848
Cd_1,0.008211560062271583
Cd_2,0.014063131234374759
Cd_3,0.019060421779590324
Cd_4,0.022866025783075374
Cd_5,0.02180688314132236
Cd_6,0.022999346952827883
Zn_1,-0.0025408733743280273
Zn_2,0.0037063612959992867
Zn_3,0.008930992519564454
Zn_4,0.014363671272123141
Zn_5,0.020082925884216486
Zn_6,0.028058042118965516
Cu_1,0.00814738252867115
Cu_2,0.017846731412680374
Cu_3,0.029627402400113717
Cu_4,0.03940727757978375
Cu_5,0.048820514058091326
Cu_6,0.05999217028487663
Pb_1,0.009365049929285857
Pb_2,0.01826754131533081
Pb_3,0.03213857347704288
Pb_4,0.05145164322042562
Pb_5,0.06720888644297622
Pb_6,0.08288817099590479
