,mdtG
Cr_1,0.008426671463896489
Cr_2,0.018206791903309625
Cr_3,0.028604987451269357
Cr_4,0.03886094035967614
Cr_5,0.05355982462322601
Cr_6,0.06482881576681906
Fe_1,0.0046166277155140715
Fe_2,-0.03447502221733253
Fe_3,-0.08304497856665259
Fe_4,-0.13124952080189287
Fe_5,-0.1657577487573149
Fe_6,-0.18582830282640786
Cd_1,0.0037382018263806337
Cd_2,0.011659805362022971
Cd_3,0.027438424466881443
Cd_4,0.04032459816854225
Cd_5,0.04435638966590247
Cd_6,0.04742581834926927
Zn_1,0.027498695664013462
Zn_2,0.06178690900128402
Zn_3,0.10471125753843427
Zn_4,0.1434186666195351
Zn_5,0.18787206971803375
Zn_6,0.20338249082189505
Cu_1,0.004367425246520207
Cu_2,0.0062364700216945715
Cu_3,0.008942983969263015
Cu_4,0.0039284579170687185
Cu_5,-0.0006140314195472803
Cu_6,0.004400534136744784
Pb_1,0.013198090167091956
Pb_2,0.02443841513922786
Pb_3,0.03594738654950741
Pb_4,0.04353700601938319
Pb_5,0.0544035319552442
Pb_6,0.06731069525772104
