,yjiW
Cr_1,0.009363229873065395
Cr_2,0.020816796141992437
Cr_3,0.04180585254299004
Cr_4,0.06713529741128811
Cr_5,0.09700231112851128
Cr_6,0.12904169510165187
Fe_1,-0.04434604135768037
Fe_2,-0.07595180738115496
Fe_3,-0.09390282384410037
Fe_4,-0.1077952730202288
Fe_5,-0.11405704535232662
Fe_6,-0.11329693843825832
Cd_1,0.006170153283011512
Cd_2,0.012333166483003295
Cd_3,0.01678672015229068
Cd_4,0.02080535491648795
Cd_5,0.019833059297010874
Cd_6,0.025717737973910998
Zn_1,-0.0008396829173979945
Zn_2,0.0007736631478114763
Zn_3,0.00539123023275062
Zn_4,0.015545880003172044
Zn_5,0.02434956128917751
Zn_6,0.02805780430027072
Cu_1,0.007412058109193277
Cu_2,0.017961753287980192
Cu_3,0.026462506222209158
Cu_4,0.031575370909570966
Cu_5,0.040903490890421966
Cu_6,0.04678533215957102
Pb_1,0.007937449892970395
Pb_2,0.012951546271293864
Pb_3,0.020672674521175213
Pb_4,0.027776416386258242
Pb_5,0.03537423847035204
Pb_6,0.04379608955064464
