,-0.05197099056666667,6.938893903907228e-18,0.05197099056666668,0.10394198113333335,0.1559129717,0.20788396226666672,0.2598549528333334,0.3118259434000001,0.36379693396666674,0.4157679245333334,0.4677389151000001,0.5197099056666667,0.5716808962333334,0.6236518868,0.6756228773666668,0.7275938679333335,0.7795648585000001,0.8315358490666668,0.8835068396333334,0.9354778302000002
thresh,-0.07795648585,0.07795648585,4,,,,,,,,,,,,,,,,,
unreg,31,3998,43,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RpoN,1,83,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NtrC,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RpoN and NtrC,1,32,8,5,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
unreg_genes,[],[],[],[],[],['yedL'],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
RpoN_genes,['glpQ'],"['pspE' 'pspC' 'hycA' 'hypE' 'norV' 'acrD' 'xapB' 'hyfD' 'hypA' 'ssnA'
 'ygfK' 'nikA' 'fhlA' 'pspA' 'hyfE' 'hyfC' 'atoA' 'rhaD' 'hyfJ' 'pspG'
 'zraR' 'hypD' 'xdhA' 'atoE' 'nikD' 'actP' 'pspB' 'focB' 'hycI' 'hyfH'
 'rtcB' 'nikB' 'fdhF' 'hyfI' 'hypF' 'flhC' 'zraS' 'rpoH' 'yahE' 'htpG'
 'pspD' 'dcuD' 'nikR' 'aslB' 'hyfF' 'norW' 'chaC' 'hycH' 'yaaU' 'hyfG'
 'radD' 'flhD' 'nikE' 'prpD' 'rtcR' 'gnsA' 'atoB' 'xdhC' 'rtcA' 'puuP'
 'hycE' 'xdhB' 'atoD' 'hyfR' 'emrD' 'prpE' 'ymjE' 'hyfA' 'hycG' 'hyfB'
 'hycB' 'prpB' 'prpC' 'hypB' 'hycD' 'zraP' 'ibpB' 'hypC' 'nikC' 'yhjC'
 'hycF' 'gltJ' 'gltK']",['hycC' 'gltI' 'gltL' 'hydN'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
NtrC_genes,[],['cbl'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
RpoN and NtrC_genes,['rutG'],"['rutF' 'patA' 'rutB' 'rseD' 'astE' 'rutD' 'hisM' 'astB' 'rpoE' 'astD'
 'rutC' 'rseB' 'rseA' 'hisJ' 'potG' 'relA' 'ddpF' 'rseC' 'rutE' 'potI'
 'hisQ' 'glnQ' 'ddpD' 'hisP' 'yhdY' 'yhdZ' 'potF' 'potH' 'astA' 'yhdX'
 'rutA' 'ddpC']",['astC' 'glnP' 'yeaH' 'ddpB' 'argT' 'glnH' 'yeaG' 'ddpA'],['ntrC' 'glnL' 'ddpX' 'yhdW' 'glnA'],[],[],['amtB'],['nac'],[],[],[],[],['glnK'],[],[],[],[],[],[],[]
