,A,RpoN
R2,,0.03179779361370727
xmin,,-2.3873792415
xmid,,-0.32896898704956484
xmax,,1.0586750145
ystart,,-3.1190747129067837
yend,,-0.6432333013460747
ecoli_00001,-0.48412227210000003,-0.0046102245
ecoli_00002,0.48412227210000003,0.0046102245
ecoli_00003,-6.5178925149,0.7030172055
ecoli_00004,-5.6588007942,0.8161369585
ecoli_00005,2.6297960995,-0.0984432415
ecoli_00006,1.7469869360999999,-0.0146245195
ecoli_00007,-7.1615270314,0.5910067835
ecoli_00008,-6.3107099159,0.7714851735
ecoli_00009,-1.9227968481,0.1582958355
ecoli_00010,-2.3637992638,0.09519432950000001
ecoli_00011,-2.1187980729,0.1518490055
ecoli_00012,-2.2443305152,0.22540910150000001
ecoli_00014,-1.4142332965,0.2189185305
ecoli_00015,-2.0497226914,0.1845077045
ecoli_00016,-1.9697857856,0.1457626175
ecoli_00017,-2.0538603353,0.16061627050000002
ecoli_00018,-1.8187293717,0.23216701250000002
ecoli_00019,-5.1907677302,0.4468107435
ecoli_00020,-5.5754898241,0.3896680745
ecoli_00021,-3.8943173051,0.3630092975
ecoli_00022,-3.9332350013,0.36022816350000003
ecoli_00023,-5.8974969983,0.45338366350000003
ecoli_00024,-5.0022225016,0.43859741750000003
ecoli_00025,-5.4927952478,0.6504048325
ecoli_00026,-5.5009739576,0.6203968145000001
ecoli_00027,7.9216254219,0.3878049415
ecoli_00028,7.7080996896,0.38617062950000003
ecoli_00029,9.0060395533,0.1780138735
ecoli_00030,8.8824760007,0.14013047450000002
ecoli_00031,10.0842777048,0.38755840750000004
ecoli_00032,10.2901666509,0.3112008835
ecoli_00033,3.6314756973,0.6216542455
ecoli_00034,3.9127613469,0.8497727805
ecoli_00035,5.6258969789,0.1636119455
ecoli_00036,5.2998001065,0.2066971445
ecoli_00037,6.5933705885,0.3080251985
ecoli_00038,6.4668488825,0.2967956055
ecoli_00039,-3.016944222,-0.2040379745
ecoli_00040,-3.208217725,-0.2513449025
ecoli_00041,-5.4310914599,0.4210455765
