,glpX
Cr_1,0.004142006483105007
Cr_2,0.007738237201363708
Cr_3,0.014790966648540597
Cr_4,0.021479019680530963
Cr_5,0.0244287902517525
Cr_6,0.025904711670519068
Fe_1,0.00044881720888957454
Fe_2,0.006969729830876157
Fe_3,0.01945910936104604
Fe_4,0.028288003699202476
Fe_5,0.039375348703350285
Fe_6,0.048681656905968505
Cd_1,-0.00288247057045974
Cd_2,-0.004464756576735076
Cd_3,-0.0033112955682793824
Cd_4,-0.0014245992258827645
Cd_5,-0.0031199348296949985
Cd_6,0.0005618850099516704
Zn_1,0.0035437145687194607
Zn_2,0.011110484960932063
Zn_3,0.024501994106343853
Zn_4,0.039376579630338686
Zn_5,0.04939330983281817
Zn_6,0.0516294207136623
Cu_1,0.00404811091788446
Cu_2,0.009709475450562808
Cu_3,0.020732495743009918
Cu_4,0.022520765899079892
Cu_5,0.028011218937722685
Cu_6,0.032085604098750074
Pb_1,-8.369448902218385e-06
Pb_2,0.005306158719265685
Pb_3,0.01563709721347676
Pb_4,0.022389828365308503
Pb_5,0.03658187052786507
Pb_6,0.04916700740901385
