,glgB
Cr_1,0.005107875166823378
Cr_2,0.014943236432344943
Cr_3,0.025778946648535042
Cr_4,0.03819991504220625
Cr_5,0.05060592456834706
Cr_6,0.059717187410285325
Fe_1,-0.011144730230779191
Fe_2,-0.037610423506403916
Fe_3,-0.07615460963525325
Fe_4,-0.12089321117200195
Fe_5,-0.15255140565057118
Fe_6,-0.1760342918793531
Cd_1,0.0031329606787414296
Cd_2,0.006869185200720559
Cd_3,0.013082648382126956
Cd_4,0.01932562762332486
Cd_5,0.023197654565810848
Cd_6,0.030580951599292232
Zn_1,-0.0003258192519330185
Zn_2,0.0047327333665124136
Zn_3,0.022488264061387226
Zn_4,0.025665271703182016
Zn_5,0.034408074794881914
Zn_6,0.047017730567219786
Cu_1,0.0002145137894837507
Cu_2,0.002166979538456905
Cu_3,0.002794859414155385
Cu_4,0.004385013590314129
Cu_5,0.006488280539580475
Cu_6,0.01028964553081544
Pb_1,0.010304983188765594
Pb_2,0.020823764790797013
Pb_3,0.030379832321876545
Pb_4,0.039309040296152065
Pb_5,0.05682872559849456
Pb_6,0.07041993673505771
